[LXX | EL | OT | Sirach | Chapter 40 | Verse 1] Ἀσχολιὰ μεγάλη ἔκτισται παντὶ ἀνθρώπῳ, καὶ ζυγὸς βαρὺς ἐπὶ υἱοὺς Ἀδὰμ, ἀφʼ ἡμέρας ἐξόδου ἐκ γαστρὸς μητρὸς αὐτῶν ἕως ἡμέρας ἐπὶ ταφῇ εἰς μητέρα πάντων.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 2] Τοὺς διαλογισμοὺς αὐτῶν καὶ φόβον καρδίας, ἐπίνοια προσδοκίας, ἡμέρα τελευτῆς·
[LXX | EL | OT | Sirach | Chapter 40 | Verse 3] ἀπὸ καθημένου ἐπὶ θρόνου ἐν δόξῃ, καὶ ἕως τεταπεινωμένου ἐν γῇ καὶ σποδῷ·
[LXX | EL | OT | Sirach | Chapter 40 | Verse 4] ἀπὸ φοροῦντος ὑάκινθον καὶ στέφανον, καὶ ἕως περιβαλλουμένου ὠμόλινον·
[LXX | EL | OT | Sirach | Chapter 40 | Verse 5] θυμὸς καὶ ζῆλος καὶ ταραχὴ καὶ σάλος καὶ φόβος θανάτου καὶ μηνίαμα καὶ ἔρις, καὶ ἐν καιρῷ ἀναπαύσεως ἐπὶ κοίτης ὕπνος νυκτὸς ἀλλοιοῖ γνῶσιν αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 6] Ὀλίγον ὡς οὐδὲν ἐν ἀναπαύσει, καὶ ἀπʼ ἐκείνου ἐν ὕπνοις ὡς ἐν ἡμέρᾳ σκοπιᾶς, τεθορυβημένος ἐν ὁράσει καρδίας αὐτοῦ, ὡς ἐκπέφευγὼς ἀπὸ προσώπου πολέμου.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 7] Ἐν καιρῷ σωτηρίας αὐτοῦ ἐξηγέρθη, καὶ ἀποθαυμάζων εἰς οὐδένα φόβον.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 8] Μετὰ πάσης σαρκὸς ἀπὸ ἀνθρώπου ἕως κτήνους, καὶ ἐπὶ ἁμαρτωλῶν ἑπταπλάσια πρὸς ταῦτα.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 9] Θάνατος καὶ αἷμα καὶ ἔρις καὶ ῥομφαία,. ἐπαγωγαὶ, λιμὸς καὶ σύντριμμα καὶ μάστιξ,
[LXX | EL | OT | Sirach | Chapter 40 | Verse 10] ἐπὶ τοὺς ἀνόμους ἐκτίσθη ταῦτα πάντα, καὶ διʼ αὐτοὺς ἐγένετο ὁ κατακλυσμός.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 11] Πάντα ὅσα ἀπὸ γῆς εἰς γῆν ἀναστρέφει, καὶ ἀπὸ ὑδάτων εἰς θάλασσαν ἀνακάμπτει.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 12] Πᾶν δῶρον καὶ ἀδικία ἐξαλειφθήσεται, καὶ πίστις εἰς τὸν αἰῶνα στήσεται.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 13] Χρήματα ἀδίκων ὡς ποταμὸς ξηρανθήσεται, καὶ ὡς βροντὴ μεγάλη ἐν ὑετῷ ἐξηχήσει.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 14] Ἐν τῷ ἀνοῖξαι αὐτὸν χεῖρας, εὐφρανθήσεται, οὕτως οἱ παραβαίνοντες εἰς συντέλειαν ἐκλείψουσιν.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 15] Ἔκγονα ἀσεβῶν οὐ πληθύνει κλάδους, καὶ ῥίζαι ἀκάθαρτοι ἐπʼ ἀκροτόμου πέτρας.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 16] Ἄχει ἐπὶ παντὸς ὕδατος καὶ χείλους ποταμοῦ πρὸ παντὸς χόρτου ἐκτιλήσεται.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 17] Χάρις ὡς παράδεισος ἐν εὐλογίαις, καὶ ἐλεημοσύνη εἰς τὸν αἰῶνα διαμένει.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 18] Ζωὴ αὐτάρκους ἐργάτου γλυκανθήσεται, καὶ ὑπὲρ ἀμφότερα ὁ εὑρίσκων θησαυρόν.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 19] Τέκνα καὶ οἰκοδομὴ πόλεως στηρίζουσιν ὄνομα, καὶ ὑπὲρ ἀμφότερα γυνὴ ἄμωμος λογίζεται.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 20] Οἶνος καὶ μουσικὰ εὐφραίνουσι καρδίαν, καὶ ὑπὲρ ἀμφότερα ἀγάπησις σοφίας.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 21] Αὐλὸς καὶ ψαλτήριον ἡδύνουσι μέλι, καὶ ὑπὲρ ἀμφότερα γλῶσσα ἡδεῖα.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 22] Χάριν καὶ κάλλος ἐπιθυμήσει ὁ ὀφθαλμός σου, καὶ ὑπὲρ ἀμφότερα χλόην σπόρου.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 23] Φίλος καὶ ἑταῖρος εἰς καιρὸν ἀπαντῶντες, καὶ ὑπὲρ ἀμφότερα γυνὴ μετὰ ἀνδρός.
[LXX | EL | OT | Sirach | Chapter 40 | Verse 24] Ἀδελφοὶ καὶ βοήθεια εἰς καιρὸν θλίψεως, καὶ ὑπὲρ ἀμφότερα ἐλεημοσύνη ῥύσεται.
