[LXX | EL | OT | Sirach | Chapter 27 | Verse 1] Χαρὶν ἀδιαφόρου πολλοὶ ἥμαρτον, καὶ ὁ ζητῶν πληθύναι ἀποστρέψει ὀφθαλμόν.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 2] Ἀναμέσον ἁρμῶν λίθων παγήσεται πάσσαλος, καὶ ἀναμέσον πράσεως καὶ ἀγορασμοῦ συντριβήσεται ἁμαρτία.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 3] Ἐὰν μὴ ἐν φόβῳ Κυρίου κρατήσῃ κατὰ σπουδὴν, ἐν τάχει καταστραφήσεται αὐτοῦ ὁ οἶκος.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 4] Ἐν σείσματι κοσκίνου διαμένει κοπρία, οὕτως σκύβαλα ἀνθρώπου ἐν λογισμῷ αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 5] Σκεύη κεραμέως δοκιμάζει κάμινος, καὶ πειρασμὸς ἀνθρώπου ἐν διαλογισμῷ αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 6] Γεώργιον ξύλου ἐκφαίνει ὁ καρπὸς αὐτοῦ, οὕτως λόγος ἐνθυμήματος καρδίας ἀνθρώπου.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 7] Πρὸ λογισμοῦ μὴ ἐπαινέσῃς ἄνδρα, οὗτος γὰρ πειρασμὸς ἀνθρώπων.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 8] Ἐὰν διώκῃς τὸ δίκαιον, καταλήψῃ, καὶ ἐνδύσῃ αὐτὸ ὡς ποδήρη δόξης.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 9] Πετεινὰ πρὸς τὰ ὅμοια αὐτοῖς καταλύσει, καὶ ἀλήθεια πρὸς τοὺς ἐργαζομένους αὐτὴν ἐπανήξει.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 10] Λέων θήραν ἐνεδρεύει, οὕτως ἁμαρτίαι ἐργαζομένους ἄδικα.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 11] Διήγησις εὐσεβοῦς διαπαντὸς σοφία, ὁ δὲ ἄφρων ὡς σελήνη ἀλλοιοῦται.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 12] Εἰς μέσον ἀσυνέτων συντήρησον καιρὸν, εἰς μέσον δὲ διανοουμένων ἐνδελέχιζε.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 13] Διήγησις μωρῶν προσόχθισμα, καὶ ὁ γέλως αὐτῶν ἐν σπατάλῃ ἁμαρτίας.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 14] Λαλιὰ πολυόρκου ὀρθώσει τρίχας, καὶ ἡ μάχη αὐτῶν ἐμφραγμὸς ὠτίων.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 15] Ἔκχυσις αἵματος μάχη ὑπερηφάνων, καὶ ἡ διαλοιδόρησις αὐτῶν ἀκοὴ μοχθηρά.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 16] Ὁ ἀποκαλύπτων μυστήρια ἀπώλεσε πίστιν, καὶ οὐ μὴ εὕρῃ φίλον πρὸς τὴν ψυχὴν αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 17] Στέρξον φίλον, καὶ πιστώθητι μετʼ αὐτοῦ· ἐὰν δὲ ἀποκαλύψῃς τὰ μυστήρια αὐτοῦ, οὐ μὴ καταδιώξῃς ὀπίσω αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 18] Καθὼς γὰρ ἀπώλεσεν ἄνθρωπος τὸν ἐχθρὸν αὐτοῦ, οὕτως ἀπώλεσας τὴν φιλίαν τοῦ πλησίου·
[LXX | EL | OT | Sirach | Chapter 27 | Verse 19] καὶ ὡς πετεινὸν ἐκ χειρός σου ἀπελύσας, οὕτως ἀφῆκας τὸν πλησίον, καὶ οὐ θηρεύσεις αὐτόν.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 20] Μὴ αὐτὸν διώξῃς, ὅτι μακρὰν ἀπέστῃ, καὶ ἐξέφυγεν ὡς δορκὰς ἐκ παγίδος.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 21] Ὅτι θραῦσμά ἐστι καταδῆσαι, καὶ λοιδορίας ἐστὶ διαλλαγή· ὁ δὲ ἀποκαλύψας μυστήρια ἀπήλπισε.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 22] Διανεύων ὀφθαλμῷ τεκταίνει κακὰ, καὶ οὐδεὶς αὑτὸν ἀποστήσει ἀπʼ αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 23] Ἀπέναντι τῶν ὀφθαλμῶν σου γλυκανεῖ στόμα σου, καὶ ἐπὶ τῶν λόγων σου ἐκθαυμάσει, ὕστερον δὲ διαστρέψει τὸ στόμα αὐτοῦ, καὶ ἐν τοῖς λόγοις σου δώσει σκάνδαλον.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 24] Πολλὰ ἐμίσησα καὶ οὐχ ὡμοίωσα αὐτῷ, καὶ ὁ Κύριος μισήσει αὐτόν.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 25] Ὁ βάλλων λίθον εἰς ὕψος ἐπὶ κεφαλὴν αὐτοῦ βάλλει, καὶ πληγὴ δολία διελεῖ τραύματα.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 26] Ὁ ὀρύσσων βόθρον εἰς αὐτὸν ἐμπεσεῖται, καὶ ὁ ἱστῶν παγίδα ἐν αὐτῇ ἁλώσεται.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 27] Ὁ ποιῶν πονηρὰ εἰς αὐτὸν κυλισθήσεται, καὶ οὐ μὴ ἐπιγνῷ πόθεν ἥκει αὐτῷ.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 28] Ἐμπαιγμὸς καὶ ὀνειδισμὸς ὑπερηφάνων, καὶ ἡ ἐκδίκησις ὡς λέων ἐνεδρεύσει αὐτόν.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 29] Παγίδι ἁλώσονται οἱ εὐφραινόμενοι πτώσει εὐσεβῶν, καὶ ὀδύνη καταναλώσει αὐτοὺς πρὸ τοῦ θανάτου αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 27 | Verse 30] Μῆνις καὶ ὀργὴ, καὶ ταῦτά ἐστι βδελύγματα, καὶ ἀνὴρ ἁμαρτωλὸς ἐγκρατὴς ἔσται αὐτῶν.
