[LXX | EL | OT | Sirach | Chapter 35 | Verse 1] Ἡγούμενων σε κατέστησαν; μὴ ἐπαίρου, γίνου ἐν αὐτοῖς ὡς εἷς ἐξ αὐτῶν· φρόντισον αὐτῶν, καὶ οὕτω κάθισον,
[LXX | EL | OT | Sirach | Chapter 35 | Verse 2] καὶ πᾶσαν τὴν χρείαν σου ποιήσας ἀνάπεσε, ἵνα εὐφρανθῇς διʼ αὐτοὺς, καὶ εὐκοσμίας χάριν λάβῃς στέφανον.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 3] Λάλησον πρεσβύτερε, πρέπει γάρ σοι, ἐν ἀκριβεῖ ἐπιστήμῃ, καὶ μὴ ἐμποδίσῃς μουσικά.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 4] Ὅπου ἀκρόαμα, μὴ ἐκχέῃς λαλιὰν, καὶ ἀκαίρως μὴ σοφίζου.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 5] Σφραγὶς ἄνθρακος ἐπὶ κόσμῳ χρυσῷ, σύγκριμα μουσικῶν ἐν συμποσίῳ οἴνου.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 6] Ἐν κατασκευάσματι χρυσῷ σφραγὶς σμαράγδου μέλος μουσικῶν ἐφʼ ἡδεῖ οἴνῳ.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 7] Λάλησον νεανίσκε εἰ χρεία σου, μόλις δὶς ἐὰν ἐπερωτηθῇς.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 8] Κεφαλαίωσον λόγον, ἐν ὀλίγοις πολλὰ, γίνου ὡς γινώσκων καὶ ἅμα σιωπῶν.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 9] Ἐν μέσῳ μεγιστάνων μὴ ἐξισάζου, καὶ ἑτέρου λέγοντος μὴ πολλὰ ἀδολέσχει.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 10] Πρὸ βροντῆς κατασπεύδει ἀστραπὴ, καὶ πρὸ αἰσχυντηροῦ προελεύσεται χάρις.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 11] Ἐν ὥρᾳ ἐξεγείρου καὶ μὴ οὐράγει, ἀπότρεχε εἰς οἶκον καὶ μὴ ῥαθύμει.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 12] Ἐκεῖ παῖζε καὶ ποίει τὰ ἐνθυμήματά σου, καὶ μὴ ἁμάρτῃς λόγῳ ὑπερηφάνῳ.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 13] Καὶ ἐπὶ τούτοις εὐλόγησον τὸν ποιήσαντά σε, καὶ μεθύσκοντά σε ἀπὸ τῶν ἀγαθῶν αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 14] Ὁ φοβούμενος Κύριον ἐκδέξεται παιδείαν, καὶ οἱ ὀρθρίζοντες εὑρήσουσιν εὐδοκίαν.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 15] Ὁ ζητῶν νόμον ἐμπλησθήσεται αὐτοῦ, καὶ ὁ ὑποκρινόμενος σκανδαλισθήσεται ἐν αὐτῷ.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 16] Οἱ φοβούμενοι Κύριον εὑρήσουσι κρίμα, καὶ δικαιώματα ὡς φῶς ἐξάψουσιν.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 17] Ἄνθρωπος ἁμαρτωλὸς ἐκκλίνει ἐλεγμὸν, καὶ κατὰ τὸ θέλημα αὐτοῦ εὑρήσει σύγκριμα.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 18] Ἀνὴρ βουλῆς οὐ μὴ παρίδῃ διανόημα, ἀλλότριος καὶ ὑπερήφανος οὐ καταπτήξει φόβον, καὶ μετὰ τὸ ποιῆσαι μετʼ αὐτοῦ ἄνευ βουλῆς.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 19] Ἄνευ βουλῆς μηθὲν ποιήσῃς, καὶ ἐν τῷ ποιῆσαί σε μὴ μεταμελοῦ.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 20] Ἐν ὁδῷ ἀντιπτώματος μὴ πορεύου, καὶ μὴ προσκόψῃς ἐν λιθώδεσι.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 21] Μὴ πιστεύσῃς ἐν ὁδῷ ἀπροσκόπῳ,
[LXX | EL | OT | Sirach | Chapter 35 | Verse 22] καὶ ἀπὸ τῶν τέκνων σου φύλαξαι.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 23] Ἐν παντὶ ἔργῳ πίστευε τῇ ψυχῇ σου, καὶ γὰρ τοῦτό ἐστι τήρησις ἐντολῶν.
[LXX | EL | OT | Sirach | Chapter 35 | Verse 24] Ὁ πιστεύων νόμῳ προσέχει ἐντολαῖς, καὶ ὁ πεποιθὼς Κυρίῳ οὐκ ἐλαττωθήσεται.
