[LXX | EL | OT | Sirach | Chapter 41 | Verse 1] Ὦ θάνατε, ὡς πικρόν σου τὸ μνημόσυνόν ἐστιν ἀνθρώπῳ εἰρηνεύοντι ἐν τοῖς ὑπάρχουσιν αὐτοῦ, ἀνδρὶ ἀπερισπάστῳ, καὶ εὐοδουμένῳ ἐν πᾶσι, καὶ ἔτι ἰσχύοντι ἐπιδέξασθαι τροφήν;
[LXX | EL | OT | Sirach | Chapter 41 | Verse 2] Ὦ θάνατε, καλόν σου τὸ κρίμα ἐστὶν ἀνθρώπῳ ἐπιδεομένῳ καὶ ἐλασσουμένῳ ἰσχύϊ, ἐσχατογήρῳ, καὶ περισπωμένῳ περὶ πάντων, καὶ ἀπειθοῦντι, καὶ ἀπολωλεκότι ὑπομονήν.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 3] Μὴ εὐλαβοῦ κρίμα θανάτου· μνήσθητι προτέρων σου καὶ ἐσχάτων, τοῦτο τὸ κρίμα παρὰ Κυρίου πάσῃ σαρκί.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 4] Καὶ τί ἀπαναίνῃ ἐν εὐδοκίᾳ ὑψίστου; εἴτε δέκα, εἴτε ἑκατὸν, εἴτε χίλια ἔτη· οὐκ ἔστιν ἐν ᾅδου ἐλεγμὸς ζωῆς.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 5] Τέκνα βδελυκτὰ γίνεται τέκνα ἁμαρτωλῶν, καὶ συναναστρεφόμενα παροικίαις ἀσεβῶν.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 6] Τέκνων ἁμαρτωλῶν ἀπολεῖται κληρονομία, καὶ μετὰ τοῦ σπέρματος αὐτῶν ἐνδελεχιεῖ ὄνειδος.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 7] Πατρὶ ἀσεβεῖ μέμψεται τέκνα, ὅτι διʼ αὐτὸν ὀνειδισθήσονται.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 8] Οὐαὶ ὑμῖν ἄνδρες ἀσεβεῖς, οἵτινες ἐγκατελίπετε νόμον Θεοῦ ὑψίστου.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 9] Καὶ ἐὰν γεννηθῆτε, εἰς κατάραν γεννηθήσεσθε· καὶ ἐὰν ἀποθάνητε, εἰς κατάραν μερισθήσεσθε.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 10] Πάντα ὅσα ἐκ γῆς, εἰς γῆν ἀπελεύσεται· οὕτως ἀσεβεῖς ἀπὸ κατάρας εἰς ἀπώλείαν.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 11] Πένθος ἀνθρώπων ἐν σώμασιν αὐτῶν, ὄνομα δὲ ἁμαρτωλῶν οὐκ ἀγαθὸν, ἐξαλειφθήσεται.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 12] Φρόντισον περὶ ὀνόματος, αὐτὸ γάρ σοι διαμενεῖ, ἢ χίλιοι μεγάλοι θησαυροὶ χρυσίου.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 13] Ἀγαθῆς ζωῆς ἀριθμὸς ἡμερῶν, καὶ ἀγαθὸν ὄνομα εἰς αἰῶνα διαμένει.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 14] Παιδείαν ἐν εἰρήνῃ συντηρήσατε τέκνα, σοφία δὲ κεκρυμμένη καὶ θησαυρὸς ἀφανὴς, τίς ὠφέλεια ἐν ἀμφοτέροις;
[LXX | EL | OT | Sirach | Chapter 41 | Verse 15] Κρείσσων ἄνθρωπος ἀποκρύπτων τὴν μωρίαν αὐτοῦ, ἢ ἄνθρωπος ἀποκρύπτων τὴν σοφίαν αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 16] Τοιγαροῦν ἐντράπητε ἐπὶ τῷ ῥήματί μου· οὐ γάρ ἐστι πᾶσαν αἰσχύνην διαφυλάξαι καλὸν, καὶ οὐ πάντα πᾶσιν ἐν πίστει εὐδοκιμεῖται.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 17] Αἰσχύνεσθε ἀπὸ πατρὸς καὶ μητρὸς περὶ πορνείας, καὶ ἀπὸ ἡγουμένου καὶ δυνάστου περὶ ψεύδους·
[LXX | EL | OT | Sirach | Chapter 41 | Verse 18] ἀπὸ κριτοῦ καὶ ἄρχοντος περὶ πλημμελείας, ἀπὸ συναγωγῆς καὶ λαοῦ περὶ ἀνομίας· ἀπὸ κοινωνοῦ καὶ φίλου περὶ ἀδικίας, καὶ ἀπὸ τόπου οὗ παροικεῖς περὶ κλοπῆς·
[LXX | EL | OT | Sirach | Chapter 41 | Verse 19] καὶ ἀπὸ ἀληθείας Θεοῦ καὶ διαθήκης, καὶ ἀπὸ πήξεως ἀγκῶνος ἐπʼ ἄρτοις· ἀπὸ σκορακισμοῦ λήψεως καὶ δόσεως,
[LXX | EL | OT | Sirach | Chapter 41 | Verse 20] καὶ ἀπὸ ἀσπαζομένων περὶ σιωπῆς· ἀπὸ ὁράσεως γυναικὸς ἑταίρας,
[LXX | EL | OT | Sirach | Chapter 41 | Verse 21] καὶ ἀπὸ ἀποστροφῆς προσώπου συγγενοῦς· ἀπὸ ἀφαιρέσεως μερίδος καὶ δόσεως, καὶ ἀπὸ κατανοήσεως γυναικὸς ὑπάνδρου,
[LXX | EL | OT | Sirach | Chapter 41 | Verse 22] ἀπὸ περιεργείας παιδίσκης αὐτοῦ, καὶ μὴ ἐπιστῇς ἐπὶ τὴν κοίτην αὐτῆς, ἀπὸ φίλων περὶ λόγων ὀνειδισμοῦ, καὶ μετὰ τὸ δοῦναι, μὴ ὀνείδιζε.
[LXX | EL | OT | Sirach | Chapter 41 | Verse 23] Ἀπὸ δευτερώσεως καὶ λόγου ἀκοῆς, καὶ ἀπὸ ἀποκαλύψεων λόγων κρυφίων·
[LXX | EL | OT | Sirach | Chapter 41 | Verse 24] καὶ ἔσῃ αἰσχυντηρὸς ἀληθινῶς, καὶ εὑρίσκων χάριν ἔναντι παντὸς ἀνθρώπου·
