[LXX | EL | OT | Sirach | Chapter 16 | Verse 1] Μὴ ἐπιθύμει τέκνων πλῆθος ἀχρήστων, μὴ εὐφραίνου ἐπὶ υἱοῖς ἀσεβέσιν.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 2] Ἐὰν πληθύνωσι, μὴ εὐφραίνου ἐπʼ αὐτοῖς, εἰ μή ἐστι φόβος Κυρίου μετʼ αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 3] Μὴ ἐμπιστεύσῃς τῇ ζωῇ αὐτῶν, καὶ μὴ ἔπεχε ἐπὶ τὸν τόπον αὐτῶν· κρείσσων γὰρ εἷς ἢ χίλιοι, καὶ ἀποθανεῖν ἄτεκνον ἢ ἔχειν τέκνα ἀσεβῆ·
[LXX | EL | OT | Sirach | Chapter 16 | Verse 4] ἀπὸ γὰρ ἑνὸς συνετοῦ συνοικισθήσεται πόλις, φυλὴ δὲ ἀνόμων ἐρημωθήσεται.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 5] Πολλὰ τοιαῦτα ἑώρακα ἐν ὀφθαλμοῖς μου, καὶ ἰσχυρότερα τούτων ἀκήκοε τὸ οὖς μου.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 6] Ἐν συναγωγῇ ἁμαρτωλῶν ἐκκαυθήσεται πῦρ, καὶ ἐν ἔθνει ἀπειθεῖ ἐξεκαύθη ὀργή.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 7] Οὐκ ἐξιλάσατο περὶ τῶν ἀρχαίων γιγάντων, οἳ ἀπέστησαν τῇ ἰσχύϊ αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 8] Οὐκ ἐφείσατο περὶ τῆς παροικίας Λὼτ, οὓς ἐβδελύξατο διὰ τὴν ὑπερηφανίαν αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 9] Οὐκ ἠλέησεν ἔθνος ἀπωλείας, τοὺς ἐξῃρμένους ἐν ἁμαρτίαις αὐτῶν·
[LXX | EL | OT | Sirach | Chapter 16 | Verse 10] καὶ οὕτως ἑξακοσίας χιλιάδας πεζῶν τοὺς ἐπισυναχθέντας ἐν σκληροκαρδίᾳ αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 11] Κᾂν ᾖ εἷς σκληροτράχηλος, θαυμαστὸν, τοῦτο εἰ ἀθωωθήσεται, ἔλεος γὰρ καὶ ὀργὴ παρʼ αὐτοῦ· δυνάστης ἐξιλασμῶν· καὶ ἐκχέων ὀργήν.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 12] Κατὰ τὸ πολὺ ἔλεος αὐτοῦ, οὕτως καὶ πολὺς ὁ ἔλεγχος αὐτοῦ· ἄνδρα κατὰ τὰ ἔργα αὐτοῦ κρίνει.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 13] Οὐκ ἐκφεύξεται ἐν ἁρπάγμασιν ἁμαρτωλὸς, καὶ οὐ μὴ καθυστερήσει ὑπομονὴν εὐσεβοῦς.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 14] Πάσῃ ἐλεημοσύνῃ ποιήσει τόπον, ἕκαστος κατὰ τὰ ἔργα αὐτοῦ εὑρήσει.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 17] Μὴ εἴπῃς, ὅτι ἀπὸ Κυρίου κρυβήσομαι, μὴ ἐξ ὕψους τίς μου μνησθήσεται; ἐν λαῷ πλείονι οὐ μὴ μνησθῶ, τίς γὰρ ἡ ψυχή μου ἐν ἀμετρήτῳ κτίσει;
