[LXX | EL | OT | Sirach | Chapter 29 | Verse 1] Ὁ ποιῶν ἔλεος δανειεῖ τῷ πλησιον, καὶ ὁ ἐπισχύων τῇ χειρὶ αὐτοῦ τηρεῖ ἐντολάς.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 2] Δάνεισον τῷ πλησίον ἐν καιρῷ χρείας αὐτοῦ, καὶ πάλιν ἀπόδος τῷ πλησίον εἰς τὸν καιρόν.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 3] Στερέωσον λόγον, καὶ πιστώθητι μετʼ αὐτοῦ, καὶ ἐν παντὶ καιρῷ εὑρήσεις τὴν χρείαν σου.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 4] Πολλοὶ ὡς εὕρεμα ἐνόμισαν δάνος, καὶ παρέσχον πόνον τοῖς βοηθήσασιν αὐτοῖς.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 5] Ἕως οὗ λάβῃ, καταφιλήσει χεῖρα αὐτοῦ, καὶ ἐπὶ τῶν χρημάτων τοῦ πλησίον ταπεινώσει φωνήν· καὶ ἐν καιρῷ ἀποδόσεως παρελκύσει χρόνον, καὶ ἀποδώσει λόγους ἀκηδίας, καὶ τὸν καιρὸν αἰτιάσεται.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 6] Ἐὰν ἰσχύσῃ, μόλις κομίσεται τὸ ἥμισυ, καὶ λογιεῖται αὐτὸ ὡς εὕρεμα· εἰ δὲ μὴ, ἀπεστέρησεν αὐτὸν τῶν χρημάτων αὐτοῦ, καὶ ἐκτήσατο αὐτὸν ἐχθρὸν δωρεάν· κατάρας καὶ λοιδορίας ἀποδώσει αὐτῷ, καὶ ἀντὶ δόξης ἀποδώσει αὐτῷ ἀτιμίαν.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 7] Πολλοὶ χάριν πονηρίας ἀπέστρεψαν, ἀποστερηθῆναι δωρεὰν εὐλαβήθησαν.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 8] Πλὴν ἐπὶ ταπεινῷ μακροθύμησον, καὶ ἐπʼ ἐλεημοσύνην μὴ παρελκύσῃς αὐτόν·
[LXX | EL | OT | Sirach | Chapter 29 | Verse 9] Χάριν ἐντολῆς ἀντιλαβοῦ πένητος, καὶ κατὰ τὴν ἔνδειαν αὐτοῦ μὴ ἀποστρέψῃς αὐτὸν κενόν.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 10] Ἀπόλεσον ἀργύριον διʼ ἀδελφὸν καὶ φίλον, καὶ μὴ ἰωθήτω ὑπὸ τὸν λίθον εἰς ἀπώλειαν.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 11] Θὲς τὸν θησαυρόν σου κατʼ ἐντολὰς ὑψίστου, καὶ λυσιτελήσει σοι μᾶλλον ἢ τὸ χρυσίον.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 12] Σύγκλεισον ἐλεημοσύνην ἐν τοῖς ταμείοις σου, καὶ αὕτη ἐξελεῖταί σε ἐκ πάσης κακώσεως.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 13] Ὑπὲρ ἀσπίδα κράτους, καὶ ὑπὲρ δόρυ ἀλκῆς κατέναντι ἐχθροῦ πολεμήσει ὑπὲρ σοῦ.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 14] Ἀνὴρ ἀγαθὸς ἐγγυήσεται τὸν πλησίον, καὶ ὁ ἀπολωλεκὼς αἰσχύνην καταλείψει αὐτόν.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 15] Χάριτας ἐγγύου μὴ ἐπιλάθῃ, ἔδωκε γὰρ τὴν ψυχὴν αὐτοῦ ὑπὲρ σοῦ.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 16] Ἀγαθὰ ἐγγύου ἀνατρέψει ἁμαρτωλὸς,
[LXX | EL | OT | Sirach | Chapter 29 | Verse 17] καὶ ἀχάριστος ἐν διανοίᾳ ἐγκαταλείψει ῥυσάμενον.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 18] Ἐγγύη πολλοὺς ἀπώλεσε κατευθύνοντας, καὶ ἐσάλευσεν αὐτοὺς ὡς κῦμα θαλάσσης· ἄνδρας δυνατοὺς ἀπῴκισε, καὶ ἐπλανήθησαν ἐν ἔθνεσιν ἀλλοτρίοις.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 19] Ἁμαρτωλὸς ἐμπεσὼν εἰς ἐγγύην, καὶ διώκων ἐργολαβείας ἐμπεσεῖται εἰς κρίσεις.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 20] Ἀντιλαβοῦ τοῦ πλησίον κατὰ δύναμίν σου, καὶ πρόσεχε σεαυτῷ μὴ ἐμπέσῃς.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 21] Ἀρχὴ ζωῆς ὕδωρ, καὶ ἄρτος, καὶ ἱμάτιον, καὶ οἶκος καλύπτων ἀσχημοσύνην.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 22] Κρείσσων βίος πτωχοῦ ὑπὸ σκέπην δοκῶν, ἢ ἐδέσματα λαμπρὰ ἐν ἀλλοτρίοις.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 23] Ἐπὶ μικρῷ καὶ μεγάλῳ εὐδοκίαν ἔχε.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 24] Ζωὴ πονηρὰ ἐξ οἰκίας εἰς οἰκίαν, καὶ οὗ παροικήσει, οὐκ ἀνοίξει στόμα.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 25] Ξενιεῖς καὶ ποτιεῖς εἰς ἀχάριστα, καὶ πρὸς ἐπὶ τούτοις πικρὰ ἀκούσῃ·
[LXX | EL | OT | Sirach | Chapter 29 | Verse 26] πάρελθε πάροικε, κόσμησον τράπεζαν, καὶ εἴτι ἐν τῇ χειρί σου ψώμισόν με·
[LXX | EL | OT | Sirach | Chapter 29 | Verse 27] ἔξελθε πάροικε ἀπὸ προσώπου δόξης, ἐπεξένωταί μοι ὁ ἀδελφὸς, χρεία τῆς οἰκίας.
[LXX | EL | OT | Sirach | Chapter 29 | Verse 28] Βαρέα ταῦτα ἀνθρώπῳ ἔχοντι φρόνησιν, ἐπιτίμησις οἰκίας καὶ ὀνειδισμὸς δανειστοῦ. ΠΕΡΙ ΤΕΚΝΩΝ.
