[LXX | EL | OT | Sirach | Chapter 2 | Verse 1] Τεκνὸν εἰ προσέρχῃ δουλεύειν Κυρίῳ Θεῷ, ἑτοίμασον τὴν ψυχήν σου εἰς πειρασμόν.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 2] Εὔθυνον τὴν καρδίαν σου καὶ καρτέρησον, καὶ μὴ σπεύσῃς ἐν καιρῷ ἐπαγωγῆς.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 3] Κολλήθητι αὐτῷ καὶ μὴ ἀποστῇς, ἵνα αὐξηθῇς ἐπʼ ἐσχάτων σου.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 4] Πᾶν ὃ ἐὰν ἐπαχθῇ σοι, δέξαι, καὶ ἐν ἀλλάγμασι ταπεινώσεώς σου μακροθύμησον.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 5] Ὅτι ἐν πυρὶ δοκιμάζεται χρυσὸς, καὶ ἄνθρωποι δεκτοὶ ἐν καμίνῳ ταπεινώσεως.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 6] Πίστευσον αὐτῷ καὶ ἀντιλήψεταί σου, εὔθυνον τὰς ὁδούς σου καὶ ἔλπισον ἐπʼ αὐτόν.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 7] Οἱ φοβούμενοι τὸν Κύριον, ἀναμείνατε τὸ ἔλεος αὐτοῦ, καὶ μὴ ἐκκλίνητε ἵνα μὴ πέσητε.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 8] Οἱ φοβούμενοι Κύριον πιστεύσατε αὐτῷ, καὶ οὐ μὴ πταίσῃ ὁ μισθὸς ὑμῶν.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 9] Οἱ φοβούμενοι Κύριον ἐλπίσατε εἰς ἀγαθὰ, καὶ εἰς εὐφροσύνην αἰῶνος καὶ ἐλέους.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 10] Ἐμβλέψατε εἰς ἀρχαίας γενεὰς καὶ ἴδετε, τίς ἐνεπίστευσε Κυρίῳ καὶ κατῃσχύνθη; ἢ τίς ἐνέμεινε τῷ φόβῳ αὐτοῦ καὶ ἐγκατελείφθη; ἢ τίς ἐπεκαλέσατο αὐτὸν, καὶ ὑπερεῖδεν αὐτόν;
[LXX | EL | OT | Sirach | Chapter 2 | Verse 11] Διότι οἰκτίρμων καὶ ἐλεήμων ὁ Κύριος, καὶ ἀφίησιν ἁμαρτίας, καὶ σώζει ἐν καιρῷ θλίψεως.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 12] Οὐαὶ καρδίαις δειλαῖς, καὶ χερσὶ παρειμέναις, καὶ ἁμαρτωλῷ ἐπιβαίνοντι ἐπὶ δύο τρίβους.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 13] Οὐαὶ καρδίᾳ παρειμένῃ, ὅτι οὐ πιστεύει, διὰ τοῦτο οὐ σκεπασθήσεται.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 14] Οὐαὶ ὑμῖν τοῖς ἀπολωλεκόσι τὴν ὑπομονὴν, καὶ τί ποιήσετε ὅταν ἐπισκέπτηται ὁ Κύριος;
[LXX | EL | OT | Sirach | Chapter 2 | Verse 15] Οἱ φοβούμενοι Κύριον οὐκ ἀπειθήσουσι ῥημάτων αὐτοῦ, καὶ οἱ ἀγαπῶντες αὐτὸν συντηπήσουσι τὰς ὁδοὺς αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 16] Οἱ φοβούμενοι Κύριον ζητήσουσιν εὐδοκίαν αὐτοῦ, καὶ οἱ ἀγαπῶντες αὐτὸν ἐμπλησθήσονται τοῦ νόμου.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 17] Οἱ φοβούμενοι Κύριον ἐτοιμάσουσι καρδίας αὐτῶν, καὶ ἐνώπιον αὐτοῦ παπεινώσουσι τὰς ψυχὰς αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 2 | Verse 18] Ἐμπεσούμεθα εἰς χεῖρας Κυρίου, καὶ οὐκ εἰς χεῖρας ἀνθρώπων· ὡς γὰρ ἡ μεγαλωσύνη αὐτοῦ, οὕτως καὶ τὸ ἔλεος αὐτοῦ.
