[LXX | EL | OT | Sirach | Chapter 12 | Verse 1] Ἐὰν εὖ ποιῇς, γνῶθι τίνι ποιεῖς, καὶ ἔσται χάρις τοῖς ἀγαθοῖς σου.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 2] Εὐποίησον εὐσεβεῖ, καὶ εὑρήσεις ἀνταπόδομα, καὶ εἰ μὴ παρʼ αὐτοῦ, ἀλλὰ παρὰ ὑψίστου.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 3] Οὐκ ἔστιν ἀγαθὰ τῷ ἐνελεχίζοντι εἰς κακὰ, καὶ τῷ ἐλεημοσύνην μὴ χαριζομένῳ.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 4] Δὸς τῷ εὐσεβεῖ, καὶ μὴ ἀντιλάβῃ τοῦ ἁμαρτωλοῦ.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 5] Εὐποίησον τῷ ταπεινῷ, καὶ μὴ δῷς ἀσεβεῖ· ἐμπόδισον τοὺς ἄρτους αὐτοῦ, καὶ μὴ δῷς αὐτῷ ἵνα μὴ ἐν αὐτοῖς σε δυναστεύσῃ· διπλάσια γὰρ κακὰ εὑρήσεις ἐν πᾶσιν ἀγαθοῖς οἷς ἂν ποιήσῃς αὐτῷ.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 6] Ὅτι καὶ ὁ ὕψιστος ἐμίσησεν ἁμαρτωλούς, καὶ τοῖς ἀσεβέσιν ἀποδώσει ἐκδίκησιν.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 7] Δὸς τῷ ἀγαθῷ, καὶ μὴ ἀντιλάβῃ τοῦ ἁμαρτωλοῦ.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 8] Οὐκ ἐκδικηθησεται ἐν ἀγαθοῖς ὁ φίλος, καὶ οὐ κρυβήσεται ἐν κακοῖς ὁ ἐχθρός.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 9] Ἐν ἀγαθοῖς ἀνδρὸς οἱ ἐχθροὶ αὐτοῦ ἐν λύπῃ, καὶ ἐν τοῖς κακοῖς αὐτοῦ καὶ ὁ φίλος διαχωρισθήσεται.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 10] Μὴ πιστεύσῃς τῷ ἐχθρῷ σου εἰς τὸν αἰῶνα· ὡς γὰρ ὁ χαλκὸς ἰοῦται, οὕτως ἡ πονηρία αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 11] Καὶ ἐὰν ταπεινωθῇ καὶ πορεύηται συγκεκυφὼς, ἐπίστησον τὴν ψυχήν σου καὶ φύλαξαι ἀπʼ αὐτοῦ, καὶ ἔσῃ αὐτῷ ὡς ἐκμεμαχὼς ἔσοπτρον, καὶ γνώσῃ ὅτι οὐκ εἰς τέλος κατίωσε.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 12] Μὴ στήσῃς αὐτὸν παρὰ σεαυτὸν, μὴ ἀνατρέψας σε στῇ ἐπὶ τὸν τόπον σου· μὴ καθίσης αὐτὸν ἐκ δεξιῶν σου, μήποτε ζητήσῃ τὴν καθέδραν σου, καὶ ἐπʼ ἐσχάτῳ ἐπιγνώσῃ τοὺς λόγους μου, καὶ ἐπὶ τῶν ῥημάτων μου κατανυγήσῃ.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 13] Τίς ἐλεήσει ἐπαοιδὸν ὀφιόδηκτον, καὶ πάντας τοὺς προσάγοντας θηρίοις;
[LXX | EL | OT | Sirach | Chapter 12 | Verse 14] Οὕτως τὸν προσπορεύομενον ἀνδρὶ ἁμαρτωλῷ καὶ συμφυρόμενον ἐν ταῖς ἁμαρτίαις αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 15] Ὥραν μετὰ σοῦ διαμενεῖ, καὶ ἐὰν ἐκκλίνῃς, οὐ μὴ καρτερήσῃ.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 16] Καὶ ἐν τοῖς χείλεσιν αὐτοῦ γλυκανεῖ ὁ ἐχθρὸς, καὶ ἐν τῇ καρδία αὐτοῦ βουλεύσεται ἀνατρέψαι σε εἰς βόθρον· ἐν ὀφθαλμοῖς αὐτοῦ δακρύσει ὁ ἐχθρὸς, καὶ ἐὰν εὕρῃ καιρὸν, οὐκ ἐμπλησθήσεται ἀφʼ αἵματος.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 17] Κακὰ ἂν ὑπαντήσῃ σοι, εὑρήσεις αὐτὸν ἐκεῖ πρότερόν σου, καὶ ὡς βοηθῶν ὑποσχάσει πτέρναν σου.
[LXX | EL | OT | Sirach | Chapter 12 | Verse 18] Κινήσει τὴν κεφαλὴναὐτοῦ, καὶ ἐπικροτήσει ταῖς χερσὶν αὐτοῦ, καὶ πολλὰ διαψιθυρίσει, καὶ ἀλλοιώσει τὸ πρόσωπον αὐτοῦ.
