[LXX | EL | OT | Sirach | Chapter 32 | Verse 1] Ὁ συντήρων νόμον πλεονάζει προσφοράς· θυσιάζων σωτηρίου ὁ προσέχων ἐντολαῖς.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 2] Ἀνταποδιδοὺς χάριν προσφέρων σεμίδαλιν, καὶ ὁ ποιῶν ἐλεημοσύνην θυσιάζων αἰνέσεως.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 3] Εὐδοκία Κυρίου ἀποστῆναι ἀπὸ πονηρίας, καὶ ἐξιλασμὸς ἀποστῆναι ἀπὸ ἀδικίας.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 4] Μὴ ὀφθῇς ἐν προσώπῳ Κυρίου κενὸς,
[LXX | EL | OT | Sirach | Chapter 32 | Verse 5] πάντα γὰρ ταῦτα χάριν ἐντολῆς.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 6] Προσφορὰ δικαίου λιπαίνει θυσιαστήριον, καὶ ἡ εὐωδία αὐτῆς ἔναντι ὑψίστου.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 7] Θυσία ἀνδρὸς δικαίου δεκτὴ, καὶ τὸ μνημόσυνον αὐτῆς οὐκ ἐπιλησθήσεται.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 8] Ἐν ἀγαθῷ ὀφθαλμῷ δόξασον τὸν Κύριον, καὶ μὴ σμικρύνῃς ἀπαρχὴν χειρῶν σου.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 9] Ἐν πάσῃ δόσει ἱλάρωσον τὸ πρόσωπόν σου, καὶ ἐν εὐφροσύνῃ ἁγίασον δεκάτην.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 10] Δὸς ὑψίστῳ κατὰ τὴν δόσιν αὐτοῦ, καὶ ἐν ἀγαθῷ ὀφθαλμῷ καθεύρεμα χειρός.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 11] Ὅτι Κύριος ἀνταποδιδούς ἐστι, καὶ ἑπταπλάσια ἀνταποδώσει σοι.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 12] Μὴ δωροκόπει, οὐ γὰρ προσδέξεται· καὶ μὴ ἔπεχε θυσίᾳ ἀδίκῳ, ὅτι Κύριος κριτής ἐστι, καὶ οὐκ ἔστι παρʼ αὐτῷ δόξα προσώπου.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 13] Οὐ λήψεται πρόσωπον ἐπὶ πτωχοῦ, καὶ δέησιν ἠδικημένου εἰσακούσεται.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 14] Οὐ μὴ ὑπερίδῃ ἱκετείαν ὀρφανοῦ, καὶ χήραν ἐὰν ἐκχέῃ λαλιάν.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 15] Οὐχὶ δάκρυα χήρας ἐπὶ σιαγόνα καταβαίνει, καὶ ἡ καταβόησις ἐπὶ τῷ καταγαγόντι αὐτά;
[LXX | EL | OT | Sirach | Chapter 32 | Verse 16] Θεραπεύων ἐν εὐδοκίᾳ δεχθήσεται, καὶ ἡ δέησις αὐτοῦ ἕως νεφελῶν συνάψει.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 17] Προσευχὴ ταπεινοῦ νεφέλας διῆλθε, καὶ ἕως συνεγγίσῃ οὐ μὴ παρακληθῇ, καὶ οὐ μὴ ἀποστῇ ἕως ἐπισκέψηται ὁ ὕψιστος· καὶ κρινεῖ δικαίως, καὶ ποιήσει κρίσιν.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 18] Καὶ ὁ Κύριος οὐ μὴ βραδύνῃ, οὐδὲ μὴ μακροθυμήσει ἐπʼ αὐτοῖς ἕως ἄν συντρίψῃ ὀσφὺν ἀνελεημόνων· καὶ τοῖς ἔθνεσιν ἀνταποδώσει ἐκδίκησιν, ἕως ἐξάρῃ πλῆθος ὑβριστῶν, καὶ σκῆπτρα ἀδίκων συντρίψῃ,
[LXX | EL | OT | Sirach | Chapter 32 | Verse 19] ἕως ἀνταποδῷ ἀνθρώπῳ κατὰ τὰς πράξεις αὐτοῦ, καὶ τὰ ἔργα τῶν ἀνθρώπων κατὰ τὰ ἐνθυμήματα αὐτῶν, ἕως κρινῇ τὴν κρίσιν τοῦ λαοῦ αὐτοῦ, καὶ εὐφρανεῖ αὐτοὺς ἐν τῷ ἐλέει αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 32 | Verse 20] Ὡραῖον ἔλεος ἐν καιρῷ θλίψεως αὐτοῦ, ὡς νεφέλαι ὑετοῦ ἐν καιρῷ ἀβροχίας.
