[LXX | EL | OT | Sirach | Chapter 1 | Verse 1] ΠΟΛΛΩΝ καὶ μεγάλων ἡμῖν διὰ τοῦ νόμου καὶ τῶν προφητῶν καὶ τῶν ἄλλων τῶν κατʼ αὐτοὺς ἠκολουθηκότων δεδομένων. ὑπὲρ ὧν δέον ἐστὶν ἐπαινεῖν τὸν Ἰσραὴλ παιδείας καὶ σοφίας, καὶ ὡς οὐ μόνον αὐτοὺς τοὺς ἀναγινώσκοντας δέον ἐστὶν ἐπιστήμονας γίνεσθαι, ἀλλὰ καὶ τοῖς ἐκτὸς δύνασθαι τοὺς φιλομαθοῦντας χρησίμους εἶναι καὶ λέγοντας καὶ γράφοντας· ὁ πάππος μου Ἰησοῦς ἐπὶ πλεῖον ἑαυτὸν δοὺς εἴς τε τὴν τοῦ νόμου καὶ τῶν προφητῶν καὶ τῶν ἄλλων πατρίων βιβλίων ἀνάγνωσιν, καὶ ἐν τούτοις ἱκανὴν ἕξιν περιποιησάμενος, προήχθη καὶ αὐτὸς συγγράψαι τι τῶν εἰς παιδείαν καὶ σοφίαν ἀνηκόντων, ὅπως οἱ φιλομαθεῖς, καὶ τούτων ἔνοχοι γενόμενοι, πολλῷ μᾶλλον ἐπιπροσθῶσι διὰ τῆς ἐννόμου βιώσεως. Παρακέκλησθε οὖν μετʼ εὐνοίας καὶ προσοχῆς τὴν ἀνάγνωσιν ποιεῖσθαι, καὶ συγγνώμην ἔχειν ἐφʼ οἷς ἂν δοκῶμεν τῶν κατὰ τὴν ἑρμηνείαν πεφιλοπονημένων τισὶ τῶν λέξεων ἀδυναμεῖν· οὐ γὰρ ἰσοδυναμεῖ αὐτὰ ἐν ἑαυτοῖς Ἑβραϊστὶ λεγόμενα, καὶ ὅταν μεταχθῇ εἰς ἑτέραν γλῶσσαν. Οὐ μόνον δὲ ταῦτα, ἀλλὰ καὶ αὐτὸς ὁ νόμος, καὶ αἱ προφητεῖαι, καὶ τὰ λοιπὰ τῶν βιβλίων οὐ μικρὰν ἔχει τὴν διαφορὰν ἐν ἑαυτοῖς λεγόμενα. Ἐν γὰρ τῷ ὀγδόῳ καὶ τριακοστῷ ἔτει ἐπὶ τοῦ Εὐεργέτου βασιλέως παραγενηθεὶς εἰς Αἴγυπτον καὶ συγχρονίσας, εὗρον οὐ μικρᾶς παιδείας ἀφόμοιον· ἀναγκαιότατον ἐθέμην αὐτὸς προσενέγκασθαί τινα σπουδὴν καὶ φιλοπονίαν τοῦ μεθερμηνεῦσαι τήνδε τὴν βίβλον· πολλὴν γὰρ ἀγρυπνίαν καὶ ἐπιστήμην προσενεγκάμενος ἐν τῷ διαστήματι τοῦ χρόνου, πρὸς τὸ ἐπὶ πέρας ἄγοντα τὸ βιβλίον ἐκδόσθαι, καὶ τοῖς ἐν τῇ παροικίᾳ βουλομένοις φιλομαθεῖν, προκατασκευαζομένοις τὰ ἤθη ἐν νόμῳ βιοτεύειν. ΠΑΣΑ σοφία παρὰ Κυρίου, καὶ μετʼ αὐτοῦ ἐστιν εἰς τὸν αἰῶνα.
[LXX | EL | OT | Sirach | Chapter 1 | Verse 2] Ἄμμον θαλασσῶν καὶ σταγόνας ὑετοῦ καὶ ἡμέρας αἰῶνος τίς ἐξαριθμήσει;
[LXX | EL | OT | Sirach | Chapter 1 | Verse 3] Ὕψος οὐρανοῦ καὶ πλάτος γῆς καὶ ἄβυσσον καὶ σοφίαν τίς ἐξιχνιάσει;
[LXX | EL | OT | Sirach | Chapter 1 | Verse 4] Προτέρα πάντων ἔκτισται σοφία, καὶ σύνεσις φρονήσεως ἐξ αἰῶνος.
[LXX | EL | OT | Sirach | Chapter 1 | Verse 6] Ῥίζα σοφίας τίνι ἀπεκαλύφθη; καὶ τὰ πανουργεύματα αὐτῆς τίς ἔγνω;
[LXX | EL | OT | Sirach | Chapter 1 | Verse 8] Εἷς ἐστι σοφὸς φοβερὸς σφόδρα καθήμενος ἐπὶ τοῦ θρόνου αὐτοῦ·
[LXX | EL | OT | Sirach | Chapter 1 | Verse 9] Κύριος αὐτὸς ἔκτισεν αὐτὴν, καὶ εἶδε καὶ ἐξηρίθμησεν αὐτὴν, καὶ ἐξέχεεν αὐτὴν ἐπὶ πάντα τὰ ἔργα αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 1 | Verse 10] Μετὰ πάσης σαρκὸς κατὰ τὴν δόσιν αὐτοῦ, καὶ ἐχορήγησεν αὐτὴν τοῖς ἀγαπῶσιν αὐτόν·
[LXX | EL | OT | Sirach | Chapter 1 | Verse 11] Φόβος Κυρίου δόξα καὶ καύχημα καὶ εὐφροσύνη καὶ στέφανος ἀγαλλιάματος.
[LXX | EL | OT | Sirach | Chapter 1 | Verse 12] Φόβος Κυρίου τέρψει καρδίαν, καὶ δώσει εὐφροσύνην καὶ χαρὰν καὶ μακροημέρευσιν.
[LXX | EL | OT | Sirach | Chapter 1 | Verse 13] Τῷ φοβουμένῳ τὸν Κύριον εὖ ἔσται ἐπʼ ἐσχάτων, καὶ ἐν ἡμέρᾳ τελευτῆς αὐτοῦ εὑρήσει χάριν.
[LXX | EL | OT | Sirach | Chapter 1 | Verse 14] Αρχὴ σοφίας φοβεῖσθαι τὸν Θεὸν, καὶ μετὰ πιστῶν ἐν μήτρᾳ συνεκτίσθη αὐτοῖς.
[LXX | EL | OT | Sirach | Chapter 1 | Verse 15] Καὶ μετὰ ἀνθρώπων θεμέλιον αἰῶνος ἐνόσσευσε, καὶ μετὰ τοῦ σπέρματος αὐτῶν ἐμπιστευθήσεται.
[LXX | EL | OT | Sirach | Chapter 1 | Verse 16] Πλησμονὴ σοφίας φοβεῖσθαι τὸν Κύριον, καὶ μεθύσκει αὐτοὺς ἀπὸ τῶν καρπῶν αὐτῆς.
[LXX | EL | OT | Sirach | Chapter 1 | Verse 17] Πάντα τὸν οἶκον αὐτῆς ἐμπλήσει ἐπιθυμημάτων, καὶ τὰ ἀποδοχεῖα ἀπὸ τῶν γεννημάτων αὐτῆς.
