[LXX | EL | OT | Sirach | Chapter 44 | Verse 1] Αἰνέσωμεν δὴ ἄνδρας ἐνδόξους, καὶ τοὺς πατέρας ἡμῶν τῇ γενέσει.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 2] Πολλὴν δόξαν ἔκτισεν ὁ Κύριος, τὴν μεγαλωσύνην αὐτοῦ ἀπʼ αἰῶνος.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 3] Κυριεύοντες ἐν ταῖς βασιλείαις αὐτῶν, καὶ ἄνδρες ὀνομαστοὶ ἐν δυνάμει· βουλεύσονται ἐν συνέσει αὐτῶν, ἀπηγγελκότες ἐν προφητείαις·
[LXX | EL | OT | Sirach | Chapter 44 | Verse 4] ἡγούμενοι λαοῦ ἐν διαβουλίοις, καὶ συνέσει γραμματείας λαοῦ· σοφοὶ λόγοι ἐν παιδείᾳ αὐτῶν·
[LXX | EL | OT | Sirach | Chapter 44 | Verse 5] ἐκζητοῦντες μέλη μουσικῶν, διηγούμενοι ἔπη ἐν γραφῇ·
[LXX | EL | OT | Sirach | Chapter 44 | Verse 6] ἄνδρες πλούσιοι κεχορηγημένοι ἰσχύϊ, εἰρηνεύοντες ἐν παροικίαις αὐτῶν·
[LXX | EL | OT | Sirach | Chapter 44 | Verse 7] πάντες οὗτοι ἐν γενεαῖς ἐδοξάσθησαν, καὶ ἐν ταῖς ἡμέραις αὐτῶν καύχημα.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 8] Εἰσὶν αὐτῶν οἳ κατέλιπον ὄνομα τοῦ ἐκδιηγήσασθαι ἐπαίνους·
[LXX | EL | OT | Sirach | Chapter 44 | Verse 9] καὶ εἰσὶν ὧν οὐκ ἔστι μνημόσυνον, καὶ ἀπώλοντο ὡς οὐχ ὑπάρξαντες, καὶ ἐγένοντο ὡς οὐ γεγονότες, καὶ τὰ τέκνα αὐτῶν μετʼ αὐτούς.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 10] Ἀλλʼ ἢ οὗτοι ἄνδρες ἐλέους, ὧν αἱ δικαιοσύναι οὐκ ἐπελήσθησαν.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 11] Μετὰ τοῦ σπέρματος αὐτῶν διαμενεῖ ἀγαθὴ κληρονομία, ἔκγονα αὐτῶν ἐν ταῖς διαθήκαις.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 12] Ἔστη σπέρμα αὐτῶν καὶ τέκνα αὐτῶν διʼ αὐτούς·
[LXX | EL | OT | Sirach | Chapter 44 | Verse 13] ἕως αἰῶνος μενεῖ σπέρμα αὐτῶν, καὶ ἡ δόξα αὐτῶν οὐκ. ἐξαλειφθήσεται.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 14] Τὸ σῶμα αὐτῶν ἐν εἰρήνῃ ἐτάφη, καὶ τὸ ὄνομα αὐτῶν ζῇ εἰς γενεάς.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 15] Σοφίαν αὐτῶν διηγήσονται λαοὶ, καὶ τὸν ἔπαινον ἐξαγγέλλει ἐκκλησία.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 16] Ἐνὼχ εὐηρέστησε Κυρίῳ, καὶ μετετέθη ὑπόδειγμα μετανοίας ταῖς γενεαῖς.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 17] Νῶε εὑρέθη τέλειος δίκαιος, ἐν καιρῷ ὀργῆς ἐγένετο ἀντάλλαγμα· διὰ τοῦτο ἐγενήθη κατάλειμμα τῇ γῇ, διὰ τοῦτο ἐγένετο κατακλυσμός.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 18] Διαθῆκαι αἰῶνος ἐτέθησαν πρὸς αὐτὸν, ἵνα μὴ ἐξαλειφθῇ κατακλυσμῷ πᾶσα σάρξ.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 19] Ἁβραὰμ μέγας πατὴρ πλήθους ἐθνῶν, καὶ οὐχ εὑρέθη ὅμοιος ἐν τῇ δόξῃ,
[LXX | EL | OT | Sirach | Chapter 44 | Verse 20] ὃς συνετήρησε νόμον ὑψίστου, καὶ ἐγένετο ἐν διαθήκῃ μετʼ αὐτοῦ· καὶ ἐν σαρκὶ αὐτοῦ ἔστησε διαθήκην, καὶ ἐν πειρασμῷ εὑρέθη πιστός.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 21] Διὰ τοῦτο ἐν ὅρκῳ ἔστησεν αὐτῷ, ἐνευλογηθῆναι ἔθνη ἐν τῷ σπέρματι αὐτοῦ, πληθύναι αὐτὸν ὡς χοῦν τῆς γῆς, καὶ ὡς ἄστρα ἀνυψῶσαι τὸ σπέρμα αὐτοῦ, καὶ κατακληρονομῆσαι αὐτοὺς ἀπὸ θαλάσσης ἕως θαλάσσης, καὶ ἀπὸ ποταμοῦ ἕως ἄκρου γῆς.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 22] Καὶ ἐν τῷ Ἰσαὰκ ἔστησεν οὕτως διὰ Ἁβραὰμ τὸν πατέρα αὐτοῦ, εὐλογίαν πάντων ἀνθρώπων καὶ διαθήκην.
[LXX | EL | OT | Sirach | Chapter 44 | Verse 23] Καὶ κατέπαυσεν ἐπὶ κεφαλὴν Ἰακώβ· ἐπέγνω αὐτὸν ἐν εὐλογίαις αὐτοῦ, καὶ ἔδωκεν αὐτῷ ἐν κληρονομίᾳ· καὶ διέστειλε μερίδας αὐτοῦ, ἐν φυλαῖς ἐμέρισε δεκαδύο.
