[LXX | EL | OT | Sirach | Chapter 24 | Verse 1] Ἡ σοφία αἰνέσει ψυχὴν αὐτῆς, καὶ ἐν μέσῳ λαοῦ αὐτῆς καυχήσεται.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 2] Ἐν ἐκκλησίᾳ ὑψίστου στόμα αὐτῆς ἀνοίξει, καὶ ἔναντι δυνάμεως αὐτοῦ καυχήσεται.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 3] Ἐγὼ ἀπὸ στόματος ὑψίστου ἐξῆλθον, καὶ ὡς ὁμίχλη κατεκάλυψα γῆν.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 4] Ἐγὼ ἐν ὑψηλοῖς κατεσκήνωσα, καὶ ὁ θρόνος μου ἐν στύλῳ νεφέλης.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 5] Γῦρον οὐρανοῦ ἐκύκλωσα μόνη, καὶ ἐν βάθει ἀβύσσων περιεπάτησα.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 6] Ἐν κύμασι θαλάσσης καὶ ἐν πάσῃ τῇ γῇ, καὶ ἐν παντὶ λαῷ καὶ ἔθνει ἐκτησάμην.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 7] Μετὰ τούτων πάντων ἀνάπαυσιν ἐζήτησα, καὶ ἐν κληρονομίᾳ τίνος αὐλισθήσομαι.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 8] Τότε ἐνετείλατό μοι ὁ κτίστης ἁπάντων, καὶ ὁ κτίσας με κατέπαυσε τὴν σκηνήν μου, καὶ εἶπεν, ἐν Ἰακὼβ κατασκήνωσον, καὶ ἐν Ἰσραὴλ κατακληρονομήθητι.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 9] Πρὸ τοῦ αἰῶνος ἀπʼ ἀρχῆς ἔκτισέ με, καὶ ἕως αἰῶνος οὐ μὴ ἐκλίπω.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 10] Ἐν σκηνῇ ἁγίᾳ ἐνώπιον αὐτοῦ ἐλειτούργησα, καὶ οὕτως ἐν Σιὼν ἐστηρίχθην.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 11] Ἐν πόλει ἠγαπημένῃ ὁμοίως με κατέπαυσε, καὶ ἐν Ἰερουσαλὴμ ἡ ἐξουσία μου.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 12] Καὶ ἐῤῥίζωσα ἐν λαῷ δεδοξασμένῳ, ἐν μερίδι Κυρίου κληρονομίας αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 13] Ὡς κέδρος ἀνυψώθην ἐν Λιβάνῳ, καὶ ὡς κυπάρισσος ἐν ὄρεσιν Ἀερμών.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 14] Ὡς φοῖνιξ ἀνυψώθην ἐν αἰγιαλοῖς, καὶ ὡς φυτὰ ῥόδου ἐν Ἱεριχῶ· ὡς ἐλαία εὐπρεπὴς ἐν πεδίῳ, καὶ ἀνυψώθην ὡς πλάτανος.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 15] Ὡς κιννάμωμον καὶ ἀσπάλαθος ἀρωμάτων δέδωκα ὀσμὴν, καὶ ὡς σμύρνα ἐκλεκτὴ διέδωκα εὐωδίαν· ὡς χαλβάνη καὶ ὄνυξ καὶ στακτὴ, καὶ ὡς λιβάνου ἀτμὶς ἐν σκηνῇ.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 16] Ἐγὼ ὡς τερέμινθος ἐξέτεινα κλάδους μου, καὶ οἱ κλάδοι μου κλάδοι δόξης καὶ χάριτος.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 17] Ἐγὼ ὡς ἄμπελος βλαστήσασα χάριν, καὶ τὰ ἄνθη μου καρπὸς δόξης καὶ πλούτου.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 19] Προσέλθετε πρὸς μὲ οἱ ἐπιθυμοῦντές μου, καὶ ἀπὸ τῶν γεννημάτων μου ἐμπλήσθητε.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 20] Τὸ γὰρ μνημόσυνόν μου ὑπὲρ μέλι γλυκύ, καὶ ἡ κληρονομία μου ὑπὲρ μέλιτος κηροῦ.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 21] Οἱ ἐσθίοντές με ἔτι πεινάσουσι, καὶ οἱ πίνοντές με ἔτι διψήσουσιν.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 22] Ὁ ὑπακούων μου οὐκ αἰσχυνθήσεται, καὶ οἱ ἐργαζόμενοι ἐν ἐμοὶ οὐχ ἁμαρτήσουσι.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 23] Ταῦτα πάντα βίβλος διαθήκης Θεοῦ ὑψίστου, νόμον ὃν ἐνετείλατο Μωυσῆς, κληρονομίαν συναγωγαῖς Ἰακώβ.
[LXX | EL | OT | Sirach | Chapter 24 | Verse 25] Ὁ πιμπλῶν ὡς Φεισὼν σοφίαν, καὶ ὡς Τίγρις ἐν ἡμέραις νέων·
[LXX | EL | OT | Sirach | Chapter 24 | Verse 26] ὁ ἀναπληρῶν ὡς Εὐφράτης σύνεσιν, καὶ ὡς Ἰορδάνης ἐν ἡμέραις θερισμοῦ·
[LXX | EL | OT | Sirach | Chapter 24 | Verse 27] ὁ ἐκφαίνων ὡς φῶς παιδείαν, ὡς Γηὼν ἐν ἡμέραις τρυγητοῦ.
