[LXX | EL | OT | Sirach | Chapter 7 | Verse 1] Μὴ ποίει κακὰ, καὶ οὐ μὴ σε καταλάβῃ κακόν.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 2] Ἀπόστηθι ἀπὸ ἀδίκου, καὶ ἐκκλινεῖ ἀπὸ σοῦ.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 3] Υἱὲ μὴ σπεῖρε ἐπʼ αὔλακας ἀδικίας, καὶ οὐ μὴ θερίσῃς αὐτὰς ἑπταπλασίως.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 4] Μὴ ζήτει παρὰ Κυρίου ἡγεμονίαν, μηδὲ παρὰ βασιλέως καθέδραν δόξης.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 5] Μὴ δικαιοῦ ἔναντι Κυρίου, καὶ παρὰ βασιλεῖ μὴ σοφίζου·
[LXX | EL | OT | Sirach | Chapter 7 | Verse 6] μὴ ζήτει γενέσθαι κριτὴς, μὴ οὐκ ἐξισχύσεις ἐξάραι ἀδικίας. μήποτε εὐλαβηθῇς ἀπὸ προσώπου δυνάστου, καὶ θήσεις σκάνδαλον ἐν εὐθύτητί σου.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 7] Μὴ ἁμάρτανε εἰς πλῆθος πόλεως, καὶ μὴ καταβάλῃς σεαυτὸν ἐν ὄχλῳ.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 8] Μὴ καταδεσμεύσῃς δὶς ἁμαρτίαν, ἐν γὰρ τῇ μιᾷ οὐκ ἀθῶος ἔσῃ.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 9] Μὴ εἴπῃς, τῷ πλήθει τῶν δώρων μου ἐπόψεται, καὶ ἐν τῷ προσενέγκαι με Θεῷ ὑψίστῳ προσδέξεται.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 10] Μὴ ὀλιγοψυχήσῃς ἐν τῇ προσευχῇ σου, καὶ ἐλεημοσύνην ποιῆσαι μὴ παρίδῃς.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 11] Μὴ καταγέλα ἄνθρωπον ὄντα ἐν πικρίᾳ ψυχῆς αὐτοῦ, ἔστι γὰρ ὁ ταπεινῶν καὶ ἀνυψῶν.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 12] Μὴ ἀροτρία ψεῦδος ἐπʼ ἀδελφῷ σου, μηδὲ φίλῳ τὸ ὅμοιον ποίει.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 13] Μὴ θέλε ψεύδεσθαι πᾶν ψεῦδος, ὁ γὰρ ἐνδελεχισμὸς αὐτοῦ οὐκ εἰς ἀγαθόν.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 14] Μὴ ἀδολέσχει ἐν πλήθει πρεσβυτέρων, καὶ μὴ δευτερώσῃς λόγον ἐν προσευχῇ σου.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 15] Μὴ μισήσῃς ἐπίπονον ἐργασίαν, καὶ γεωργίαν ὑπὸ ὑψίστου ἐκτισμένην.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 16] Μὴ προσλογίζου σεαυτὸν ἐν πλήθει ἁμαρτωλῶν·
[LXX | EL | OT | Sirach | Chapter 7 | Verse 17] Ταπείνωσον σφόδρα τὴν ψυχήν σου. Μνήσθητι ὅτι ὀργὴ οὐ χρονιεῖ, ὅτι ἐκδίκησις ἀσεβοῦς πῦρ καὶ σκώληξ.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 18] Μὴ ἀλλάξῃς φίλον ἕνεκεν ἀδιαφόρου, μήδʼ ἀδελφὸν γνήσιον ἐν χρυσίῳ Σουφείρ.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 19] Μὴ ἀστόχει γυναικὸς σοφῆς καὶ ἀγαθῆς, καὶ γὰρ χάρις αὐτῆς ὑπὲρ τὸ χρυσίον.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 20] Μὴ κακώσῃς οἰκέτην ἐργαζόμενον ἐν ἀληθείᾳ, μηδὲ μίσθιον διδόντα ψυχὴν αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 21] Οἰκέτην συνετὸν ἀγαπάτω σου ἡ ψυχὴ, μὴ στερήσῃς αὐτὸν ἐλευθερίας.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 22] Κτήνη σοί ἐστιν; ἐπισκέπτου αὐτά· καὶ εἰ ἔστι σοι χρήσιμα, ἐμμενέτω σοι.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 23] Τέκνα σοί ἐστι, παίδευσον αὐτὰ, καὶ κάμψον ἐκ νεότητος τὸν τράχηλον αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 24] Θυγατέρες σοί εἰσι; πρόσεχε τῷ σώματι αὐτῶν, καὶ μὴ ἱλαρώσῃς πρὸς αὐτὰς τὸ πρόσωπόν σου.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 25] Ἔκδου θυγατέρα, καὶ ἔσῃ τετελεκὼς ἔργον μέγα, καὶ ἀνδρὶ συνετῷ δώρησαι αὐτήν.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 26] Γυνή σοι ἐστὶ κατὰ ψυχήν; μὴ ἐκβάλῃς αὐτήν.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 27] Ἐν ὅλῃ καρδίᾳ δόξασον τὸν πατέρα σου, καὶ μητρὸς ὠδῖνας μὴ ἐπιλάθῃ.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 28] Μνήσθητι ὅτι διʼ αὐτῶν ἐγενήθης, καὶ τί ἀνταποδώσεις αὐτοῖς καθὼς αὐτοὶ σοί;
[LXX | EL | OT | Sirach | Chapter 7 | Verse 29] Ἐν ὅλῃ ψυχῇ σου εὐλαβοῦ τὸν Κύριον, καὶ τοὺς ἱερεῖς αὐτοῦ θαύμαζε.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 30] Ἐν ὅλῃ δυνάμει ἀγάπησον τὸν ποιήσαντά σε, καὶ τοὺς λειτουργοὺς αὐτοῦ μὴ ἐγκαταλίπῃς.
[LXX | EL | OT | Sirach | Chapter 7 | Verse 31] Φοβοῦ τὸν Κύριον, καὶ δόξασον ἱερέα, καὶ δὸς τὴν μερίδα αὐτῷ, καθὼς ἐντέταλταί σοι, ἀπαρχὴν, καὶ περὶ πλημμελείας, καὶ δόσιν βραχιόνων, καὶ θυσίαν ἁγιασμοῦ, καὶ ἀπαρχὴν ἁγίων.
