[LXX | EL | OT | Sirach | Chapter 43 | Verse 1] Γαυρίαμα ὕψους, στερέωμα καθαριότητος, εἶδος οὐρανοῦ ἐν ὁράματι δόξης.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 2] Ἥλιος ἐν ὀπτασίᾳ διαγγέλλων ἐν ἐξόδῳ, σκεῦος θαυμαστὸν, ἔργον ὑψίστου.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 3] Ἐν μεσημβρίᾳ αὐτοῦ ἀναξηραίνει χώραν, καὶ ἐναντίον καύματος αὐτοῦ τίς ὑποστήσεται;
[LXX | EL | OT | Sirach | Chapter 43 | Verse 4] Κάμινον φυσῶν ἐν ἔργοις καύματος, τριπλασίως ἥλιος ἐκκαίων ὄρη· ἀτμίδας πυρώδεις ἐμφυσῶν, καὶ ἐκλάμπων ἀκτίνας ἀμαυροῖ ὀφθαλμούς.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 5] Μέγας Κύριος ὁ ποιήσας αὐτὸν, καὶ ἐν λόγοις αὐτοῦ κατέσπευσε πορείαν.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 6] Καὶ ἡ σελήνη ἐν πᾶσιν εἰς καιρὸν αὐτῆς, ἀνάδειξιν χρόνων, καὶ σημεῖον αἰῶνος.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 7] Ἀπὸ σελήνης σημεῖον ἑορτῆς, φωστὴρ μειούμενος ἐπὶ συντελείας.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 8] Μὴν κατὰ τὸ ὄνομα αὐτῆς ἐστιν, αὐξανομένη θαυμαστῶς ἐν ἀλλοιώσει· σκεῦος παρεμβολῶν ἐν ὕψει, ἐν στερεώματι οὐρανοῦ ἐκλάμπων·
[LXX | EL | OT | Sirach | Chapter 43 | Verse 9] κάλλος οὐρανοῦ, δόξα ἄστρων, κόσμος φωτίζων, ἐν ὑψίστοις Κύριος.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 10] Ἐν λόγοις ἁγίου στήσονται κατὰ κρίμα, καὶ οὐ μὴ ἐκλυθῶσιν ἐν φυλακαῖς αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 11] Ἴδε τόξον, καὶ εὐλόγησον τὸν ποιήσαντα αὐτὸ, σφόδρα ὡραῖον ἐν τῷ αὐγάσματι αὐτοῦ.
