[LXX | EL | OT | Sirach | Chapter 36 | Verse 1] Τῷ φοβουμένῳ Κύριον οὐκ ἀπαντήσει κακὸν, ἀλλʼ ἐν πειρασμῷ καὶ πάλιν ἐξελεῖται.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 2] Ἀνὴρ σοφὸς οὐ μισήσει νόμον, ὁ δὲ ὑποκρινόμενος ἐν αὐτῷ, ὡς ἐν καταιγίδι πλοῖον.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 3] Ἄνθρωπος συνετὸς ἐμπιστεύσει νόμῳ, καὶ ὁ νόμος αὐτῷ πιστὸς ὡς ἐρώτημα δικαίων.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 4] Ἑτοίμασον λόγον, καὶ οὕτως ἀκουθήσῃ, σύνδησον παιδείαν καὶ ἀποκρίθητι.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 5] Τροχὸς ἁμάξης σπλάγχνα μωροῦ, καὶ ὡς ἄξων στρεφόμενος ὁ διαλογισμὸς αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 6] Ἵππος εἰς ὀχείαν ὡς φίλος μῶκος, ὑποκάτω παντὸς ἐπικαθημένου χρεμετίζει.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 7] Διατί ἡμέρα ἡμέρας ὑπερέχει, καὶ πᾶν φῶς ἡμέρας ἐνιαυτοῦ ἀφʼ ἡλίου;
[LXX | EL | OT | Sirach | Chapter 36 | Verse 8] Ἐν γνώσει Κυρίου διεχωρίσθησαν, καὶ ἠλλοίωσε καιροὺς καὶ ἑορτάς·
[LXX | EL | OT | Sirach | Chapter 36 | Verse 9] ἀπʼ αὐτῶν ἀνύψωσε καὶ ἡγίασε, καὶ ἐξ αὐτῶν ἔθηκεν εἰς ἀριθμὸν ἡμερῶν.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 10] Καὶ ἄνθρωποι πάντες ἀπὸ ἐδάφους, καὶ ἐκ γῆς ἐκτίσθη Ἀδάμ.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 11] Ἐν πλήθει ἐπιστήμης Κύριος διεχώρισεν αὐτοὺς, καὶ ἠλλοίωσε τὰς ὁδοὺς αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 12] Ἐξ αὐτῶν εὐλόγησε καὶ ἀνύψωσε, καὶ ἐξ αὐτῶν ἡγίασε, καὶ πρὸς αὐτὸν ἤγγισεν· ἀπʼ αὐτῶν κατηράσατο, καὶ ἐταπείνωσε, καὶ ἀνέστρεψεν αὐτοὺς ἀπὸ στάσεως αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 13] Ὡς πηλὸς κεραμέως ἐν χειρὶ αὐτοῦ, πᾶσαι αἱ ὁδοὶ αὐτοῦ κατὰ τὴν εὐδοκίαν αὐτοῦ· οὕτως ἄνθρωποι ἐν χειρὶ τοῦ ποιήσαντος αὐτοὺς, ἀποδοῦναι αὐτοῖς κατὰ τὴν κρίσιν αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 14] Ἀπέναντι τοῦ κακοῦ τὸ ἀγαθὸν, καὶ ἀπέναντι τοῦ θανάτου ἡ ζωὴ, οὕτως ἀπέναντι εὐσεβοῦς ἀμαρτωλός.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 15] Καὶ οὕτως ἔμβλεψον εἰς πάντα τὰ ἔργα τοῦ ὑψίστου, δύο δύο ἓν κατέναντι τοῦ ἑνός.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 16] Κᾀγὼ ἔσχατος ἠγρύπνησα, καὶ κατεκληρονόμησα αὐτοὺς καθὼς ἀπʼ ἀρχῆς.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 17] Ἐλέησον λαὸν, Κύριε, κεκλημένον ἐπʼ ὀνόματί σου, καὶ Ἰσραὴλ ὃν πρωτογόνῳ ὡμοίωσας.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 18] Οἰκτείρησον πόλιν ἁγιάσματός σου Ἱερουσαλὴμ, πόλιν καταπαύματός σου.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 19] Πλῆσον Σιὼν ἆραι τὰ λόγιά σου, καὶ ἀπὸ τῆς δόξης σου τὸν λαόν σου.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 20] Δὸς μαρτύριον τοῖς ἐν ἀρχῇ κτίσμασί σου, καὶ ἔγειρον προφητείας τὰς ἐπʼ ὀνόματί σου·
[LXX | EL | OT | Sirach | Chapter 36 | Verse 21] δὸς μισθὸν τοῖς ὑπομένουσί σε, καὶ οἱ προφῆταί σου ἐμπιστευθήτωσαν.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 22] Εἰσάκουσον, Κύριε, δεήσεως τῶν ἱκετῶν σου, κατὰ τὴν εὐλογίαν Ἀαρὼν περὶ τοῦ λαοῦ σου, καὶ γνώσονται πάντες οἱ ἐπὶ τῆς γῆς, ὅτι σὺ Κύριος εἶ ὁ Θεὸς τῶν αἰώνων.
[LXX | EL | OT | Sirach | Chapter 36 | Verse 23] Πᾶν βρῶμα φάγεται κοιλία, ἔστι δὲ βρῶμα βρώματος κάλλιον.
