[LXX | EL | OT | Sirach | Chapter 48 | Verse 1] Καὶ ἀνέστη Ἠλίας προφήτης ὡς πῦρ, καὶ ὁ λόγος αὐτοῦ ὡς λαμπὰς ἐκαίετο·
[LXX | EL | OT | Sirach | Chapter 48 | Verse 2] ὃς ἐπήγαγεν ἐπʼ αὐτοὺς λιμὸν, καὶ τῷ ζήλῳ αὐτοῦ ὠλιγοποίησεν αὐτούς.
[LXX | EL | OT | Sirach | Chapter 48 | Verse 3] Ἐν λόγῳ Κυρίου ἀνέσχεν οὐρανὸν, κατήγαγεν οὕτως τρὶς πῦρ.
[LXX | EL | OT | Sirach | Chapter 48 | Verse 4] Ὡς ἐδοξάσθης Ἠλία ἐν τοῖς θαυμασίοις σου; καὶ τίς ὅμοιός σοι καυχᾶσθαι;
[LXX | EL | OT | Sirach | Chapter 48 | Verse 5] Ὁ ἐγείρας νεκρὸν ἐκ θυνάτου καὶ ἐξ ᾅδου ἐν λόγῳ ὑψίστου·
[LXX | EL | OT | Sirach | Chapter 48 | Verse 6] ὁ καταγαγὼν βασιλεῖς εἰς ἀπώλειαν, καὶ δεδοξασμένους ἀπὸ κλίνης αὐτῶν·
[LXX | EL | OT | Sirach | Chapter 48 | Verse 7] ὁ ἀκούων ἐν Σινᾷ ἐλεγμὸν, καὶ ἐν Χωρὴβ κρίματα ἐκδικήσεως·
[LXX | EL | OT | Sirach | Chapter 48 | Verse 8] ὁ χρίων βασιλεῖς εἰς ἀνταπόδομα, καὶ προφήτας διαδόχους μετʼ αὐτόν·
[LXX | EL | OT | Sirach | Chapter 48 | Verse 9] ὁ ἀναληφθεὶς ἐν λαίλαπι πυρὸς ἐν ἅρματι ἵππων πυρίνων·
[LXX | EL | OT | Sirach | Chapter 48 | Verse 10] ὁ καταγραφεὶς ἐν ἐλεγμοῖς εἰς καιροὺς, κοπάσαι ὀργὴν πρὸ θυμοῦ, καὶ ἐπιστρέψαι καρδίαν πατρὸς πρὸς υἱὸν, καὶ καταστῆσαι φυλὰς Ἰακώβ.
[LXX | EL | OT | Sirach | Chapter 48 | Verse 11] Μακάριοι οἱ ἰδόντες σε, καὶ οἱ ἐν ἀγαπήσει κεκοσμημένοι· καὶ γὰρ ἡμεῖς ζωῇ ζησόμεθα.
[LXX | EL | OT | Sirach | Chapter 48 | Verse 12] Ἠλίας, ὃς ἐν λαίλαπι ἐσκεπάσθη· καὶ Ἐλισαιὲ ἐνεπλήσθη πνεύματος αὐτοῦ· καὶ ἐν ἡμέραις αὐτοῦ οὐκ ἐσαλεύθη ὑπὸ ἄρχοντος, καὶ οὐ κατεδυνάστευσεν αὐτὸν οὐδείς.
[LXX | EL | OT | Sirach | Chapter 48 | Verse 13] Πᾶς λόγος οὐχ ὑπερῇρεν αὐτὸν, καὶ ἐν κοιμήσει ἐπροφήτευσε τὸ σῶμα αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 48 | Verse 14] Καὶ ἐν ζωῇ αὐτοῦ ἐποίησε τέρατα. καὶ ἐν τελευτῇ θαυμάσια τὰ ἔργα αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 48 | Verse 15] Ἐν πᾶσι τούτοις οὐ μετενόησεν ὁ λαὸς, καὶ οὐκ ἀπέστησαν ἀπὸ τῶν ἁμαρτιῶν, ἕως ἐπρονομεύθησαν ἀπὸ τῆς γῆς αὐτῶν, καὶ ἐσκορπίσθησαν ἐν πάσῃ τῇ γῇ· καὶ κατελείφθη ὁ λαὸς ὀλιγοστὸς, καὶ ἄρχων τῷ οἴκῳ Δαυίδ.
[LXX | EL | OT | Sirach | Chapter 48 | Verse 16] Τινὲς μὲν αὐτῶν ἐποίησαν τὸ ἀρεστὸν, τινὲς δὲ ἐπλήθυναν ἁμαρτίας.
[LXX | EL | OT | Sirach | Chapter 48 | Verse 17] Ἐζεκίας ὠχύρωσε τὴν πόλιν αὐτοῦ, καὶ εἰσήγαγεν εἰς μέσον αὐτῶν τὸν Γώγ· ὤρυξε σιδήρῳ ἀκρότομον, καὶ ᾠκοδόμησε κρήνας εἰς ὕδατα.
