[LXX | EL | OT | Sirach | Chapter 33 | Verse 1] Ἐλέησον ἡμᾶς, δέσποτα ὁ Θεὸς πάντων, καὶ ἐπίβλεψον·
[LXX | EL | OT | Sirach | Chapter 33 | Verse 2] καὶ ἐπίβαλε τὸν φόβον σου ἐπὶ πάντα τὰ ἔθνη.
[LXX | EL | OT | Sirach | Chapter 33 | Verse 3] Ἔπαρον τὴν χεῖρά σου ἐπὶ ἔθνη ἀλλότρια, καὶ ἰδέτωσαν τὴν δυναστείαν σου.
[LXX | EL | OT | Sirach | Chapter 33 | Verse 4] Ὥσπερ ἐνώπιον αὐτῶν ἡγιάσθης ἐν ἡμῖν, οὕτως ἐνώπιον ἡμῶν μεγαλυνθείης ἐν αὐτοῖς·
[LXX | EL | OT | Sirach | Chapter 33 | Verse 5] Καὶ ἐπιγνώτωσάν σε καθάπερ καὶ ἡμεῖς ἐπέγνωμεν, ὅτι οὐκ ἔστι Θεὸς πλήν σου Κύριε.
[LXX | EL | OT | Sirach | Chapter 33 | Verse 6] Ἐγκαίνισον σημεῖα, καὶ ἀλλοίωσον θαυμάσια·
[LXX | EL | OT | Sirach | Chapter 33 | Verse 7] δόξασον χεῖρα καὶ βραχίονα δεξιόν· ἔγειρον θυμὸν, καὶ ἔκχεον ὀργήν· ἔξαρον ἀντίδικον, καὶ ἔκτριψον ἐχθρόν.
[LXX | EL | OT | Sirach | Chapter 33 | Verse 8] Σπεῦσον καιρὸν, καὶ μνήσθητι ὁρκισμοῦ, καὶ ἐκδιηγησάσθωσαν τὰ μεγαλεῖά σου.
[LXX | EL | OT | Sirach | Chapter 33 | Verse 9] Ἐν ὀργῇ πυρὸς καταβρωθήτω ὁ σωζόμενος, καὶ οἱ κακοῦντες τὸν λαόν σου εὕροισαν ἀπώλειαν.
[LXX | EL | OT | Sirach | Chapter 33 | Verse 10] Σύντριψον κεφαλὰς ἀρχόντων ἐχθρῶν λεγόντων, οὐκ ἔστι πλὴν ἡμῶν.
[LXX | EL | OT | Sirach | Chapter 33 | Verse 11] Σύναγε πάσας φυλὰς Ἰακώβ.
[LXX | EL | OT | Sirach | Chapter 33 | Verse 12] Λαμπρὰ καρδία καὶ ἀγαθὴ ἐπὶ ἐδέσμασιν τῶν βρωμάτων αὐτῆς ἐπιμελήσεται.
