[LXX | EL | OT | Sirach | Chapter 47 | Verse 1] Καὶ μετὰ τοῦτο ἀνέστη Νάθαν προφητεύειν ἐν ἡμέραις Δαυίδ.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 2] Ὥσπερ στέαρ ἀφωρισμένον ἀπὸ σωτηρίου, οὕτως Δαυὶδ ἀπὸ τῶν υἱῶν Ἰσραήλ.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 3] Ἐν λέουσιν ἔπαισεν ὡς ἐν ἐρίφοις, καὶ ἐν ἄρκοις ὡς ἐν ἄρνασι προβάτων.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 4] Ἐν νεότητι αὐτοῦ οὐχὶ ἀπέκτεινε γίγαντα, καὶ ἐξῇρεν ὀνειδισμὸν ἐκ λαοῦ, ἐν τῷ ἐπᾶραι χεῖρα ἐν λίθῳ σφενδόνης, καὶ καταβαλεῖν γαυρίαμα τοῦ Γολιάθ;
[LXX | EL | OT | Sirach | Chapter 47 | Verse 5] Ἐπεκαλέσατο γὰρ Κύριον τὸν ὕψιστον, καὶ ἔδωκεν ἐν τῇ δεξιᾷ αὐτοῦ κράτος ἐξᾶραι ἄνθρωπον δυνατὸν ἐν πολέμῳ, ἀνυψῶσαι κέρας λαοῦ αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 6] Οὕτως ἐν μυριάσιν ἐδόξασεν αὐτὸν, καὶ ᾔνεσεν αὐτὸν ἐν εὐλογίαις Κυρίου, ἐν τῷ φέρεσθαι αὐτῷ διάδημα δόξης.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 7] Ἐξέτριψε γὰρ ἐχθροὺς κυκλόθεν, καὶ ἐξουδένωσε Φυλιστιεὶμ τοὺς ὑπεναντίους· ἕως σήμερον συνετριψεν αὐτῶν κέρας.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 8] Ἐν παντὶ ἔργῳ αὐτοῦ ἔδωκεν ἐξομολόγησιν· ἁγίῳ ὑψίστῳ ῥήματι δόξης ἐν πάσῃ καρδίᾳ αὐτοῦ ὕμνησε, καὶ ἠγάπησε τὸν ποιήσαντα αὐτόν.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 9] Καὶ ἔστησε ψαλτῳδοὺς κατέναντι τοῦ θυσιαστηρίου, καὶ ἐξ ἤχου αὐτῶν γλυκαίνει μέλη.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 10] Ἔδωκεν ἐν ἐορταῖς εὐπρέπειαν, καὶ ἐκόσμησε καιροὺς μέχρι συντελείας· ἐν τῷ αἰνεῖν αὐτοὺς τὸ ἅγιον ὄνομα αὐτοῦ, καὶ ἀπὸ πρωῒ ἠχεῖν τὸ ἁγίασμα.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 11] Κύριος ἀφεῖλε τὰς ἁμαρτίας ἀυτοῦ, καὶ ἀνύψωσεν εἰς αἰῶνα τὸ κέρας αὐτοῦ, καὶ ἔδωκεν αὐτῷ διαθήκην βασιλέων καὶ θρόνον δόξης ἐν τῷ Ἰσραήλ.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 12] Μετὰ τούτου ἀνέστη υἱὸς ἐπιστήμων, καὶ διʼ αὐτὸν κατέλυσεν ἐν πλατυσμῷ.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 13] Σαλωμὼν ἐβασίλευσεν ἐν ἡμέραις εἰρήνης, ᾧ ὁ Θεὸς κατέπαυσε κυκλόθεν, ἵνα στήσῃ οἶκον ἐπʼ ὀνόματι αὐτοῦ, καὶ ἑτοιμάσῃ ἁγίασμα εἰς τὸν αἰῶνα.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 14] Ὡς ἐσοφίσθης ἐν νεότητί σου, καὶ ἐνεπλήσθης ὡς ποταμὸς συνέσεως.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 15] Γῆν ἐπεκάλυψεν ἡ ψυχή σου, καὶ ἐνέπλησας ἐν παραβολαῖς αἰνιγμάτων.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 16] Εἰς νήσους πόῤῥω ἀφίκετο τὸ ὄνομά σου, καὶ ἠγαπήθης ἐν τῇ εἰρήνῃ σου.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 17] Ἐν ᾠδαῖς καὶ παροιμίαις καὶ παραβολαῖς, καὶ ἐν ἑρμηνείαις ἀπεθαύμασάν σε χῶραι.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 18] Ἐν ὀνόματι Κυρίου τοῦ Θεοῦ τοῦ ἐπικεκλημένου Θεοῦ Ἰσραὴλ, συνήγαγες ὡς κασσίτερον τὸ χρυσίον, καὶ ὡς μόλιβδον ἐπλήθυνας ἀργύριον.
[LXX | EL | OT | Sirach | Chapter 47 | Verse 19] Παρενέκλινας τὰς λαγόνας σου γυναιξὶ, καὶ ἐνεξουσιάσθης ἐν τῷ σώματί σου.
