[LXX | EL | OT | Sirach | Chapter 42 | Verse 1] μὴ περὶ τούτων αἰσχυνθῇς, καὶ μὴ λάβῃς πρόσωπον τοῦ ἁμαρτάνειν·
[LXX | EL | OT | Sirach | Chapter 42 | Verse 2] περὶ νόμου ὑψίστου καὶ διαθήκης, καὶ περὶ κρίματος δικαιῶσαι τὸν ἀσεβῆ·
[LXX | EL | OT | Sirach | Chapter 42 | Verse 3] περὶ λόγου κοινωνοῦ καὶ ὁδοιπόρων, καὶ περὶ δόσεως κληρονομίας ἑταίρων·
[LXX | EL | OT | Sirach | Chapter 42 | Verse 4] περὶ ἀκριβείας ζυγοῦ καὶ σταθμιῶν, περὶ κτήσεως πολλῶν καὶ ὀλίγων·
[LXX | EL | OT | Sirach | Chapter 42 | Verse 5] περὶ ἀδιαφόρου πράσεως, καὶ ἐμπόρων, καὶ περὶ παιδείας τέκνων πολλῆς, καὶ οἰκέτῃ πονηρῷ πλευρὰν αἱμάξαι.
[LXX | EL | OT | Sirach | Chapter 42 | Verse 6] Ἐπὶ γυναικὶ πονηρᾷ καλὸν σφραγίς· καὶ ὅπου χεῖρες πολλαὶ, κλεῖσον.
[LXX | EL | OT | Sirach | Chapter 42 | Verse 7] Ὃ ἐὰν παραδίδως, ἐν ἀριθμῷ καὶ σταθμῷ, καὶ δόσις καὶ λῆψις παντὶ ἐν γραφῇ.
[LXX | EL | OT | Sirach | Chapter 42 | Verse 8] Περὶ παιδείας ἀνοήτου καὶ μωροῦ καὶ ἐσχατογήρου κρινομένου πρὸς νέους, καὶ ἔσῃ πεπαιδευμένος ἀληθινῶς, καὶ δεδοκιμασμένος ἔναντι παντὸς ζῶντος.
[LXX | EL | OT | Sirach | Chapter 42 | Verse 9] Θυγάτηρ πατρὶ ἀπόκρυφος ἀγρυπνία, καὶ ἡ μέριμνα αὐτῆς ἀφιστᾷ ὕπνον· ἐν νεότητι αὐτῆς μήποτε παρακμάσῃ, καὶ συνῳκηκυῖα μήποτε μισηθῇ.
[LXX | EL | OT | Sirach | Chapter 42 | Verse 10] Ἐν παρθενίᾳ μήποτε βεβηλωθῇ, καὶ ἐν τοῖς πατρικοῖς αὐτῆς ἔγκυος γένηται· μετὰ ἀνδρὸς οὖσα μήποτε παραβῇ, καὶ συνῳκηκυῖα μήποτε στειρώσῃ.
[LXX | EL | OT | Sirach | Chapter 42 | Verse 11] Ἐπὶ θυγατρὶ ἀδιατρέπτῳ στερέωσον φυλακὴν, μήποτε ποιήσῃ σε ἐπίχαρμα ἐχθροῖς, λαλιὰν ἐν πόλει, καὶ ἔκκλητον λαοῦ, καὶ καταισχύνῇ σε ἐν πλήθει πολλῶν.
