[LXX | EL | OT | Sirach | Chapter 9 | Verse 1] Μὴ ζήλου γυναῖκα τοῦ κόλπου σου, μηδὲ διδάξῃς ἐπὶ σεαυτὸν παιδείαν πονηράν.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 2] Μὴ δῷς γυναικὶ τὴν ψυχήν σου, ἐπιβῆναι αὐτὴν ἐπὶ τὴν ἰσχύν σου.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 3] Μὴ ὑπάντα γυναικὶ ἑταιριζομένῃ, μήποτε ἐμπέσῃς εἰς τὰς παγίδας αὐτῆς.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 4] Μετὰ ψαλλούσης μὴ ἐνδελέχιζε, μήποτε ἁλῷς ἐν τοῖς ἐπιχειρήμασιν αὐτῆς.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 5] Παρθένον μὴ καταμάνθανε, μήποτε σκανδαλισθῇς ἐν τοῖς ἐπιτιμίοις αὐτῆς.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 6] Μὴ δῷς πόρναις τὴν ψυχήν σου, ἵνα μὴ ἀπολέσῃς τὴν κληρονομίαν σου.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 7] Μὴ περιβλέπου ἐν ῥύμαις πόλεως, καὶ ἐν ταῖς ἐρήμοις αὐτῆς μὴ πλανῶ.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 8] Ἀπόστρεψον ὀφθαλμὸν ἀπὸ γυναικὸς εὐμόρφου, καὶ μὴ καταμάνθανε κάλλος ἀλλότριον· ἐν κάλλει γυναικὸς πολλοὶ ἐπλανήθησαν, καὶ ἐκ τούτου φιλία ὡς πῦρ ἀνακαίεται.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 9] Μετὰ ὑπάνδρου γυναικὸς μὴ κάθου τὸ σύνολον, καὶ μὴ συμβολοκοπήσῃς μετʼ αὐτῆς ἐν οἴνῳ, μήποτε ἐκκλίνῃ ἡ ψυχή σου ἐπʼ αὐτὴν, καὶ τῷ πνεύματί σου ὀλισθήσῃς εἰς ἀπώλειαν.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 10] Μὴ ἐγκαταλίπῃς φίλον ἀρχαῖον, ὁ γὰρ πρόσφατος οὐκ ἔστιν ἔφισος αὐτῷ· οἶνος νέος, φίλος νέος, ἐὰν παλαιωθῇ, μετʼ εὐφροσύνης πίεσαι αὐτόν.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 11] Μὴ ζηλώσῃς δόξαν ἁμαρτωλοῦ, οὐ γὰρ οἶδας τί ἔσται ἡ καταστροφὴ αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 12] Μὴ εὐδοκήσῃς ἐν εὐδοκίᾳ ἀσεβῶν, μνήσθητι ὅτι ἕως ᾅδου οὐ μὴ δικαιωθῶσι.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 13] Μακρὰν ἄπεχε ἀπὸ ἀνθρώπου ὃς ἔχει ἐξουσιαν τοῦ φονεύειν, καὶ οὐ μὴ ὑποπτεύσῃς φόβον θανάτου· κᾂν προσέλθῃς, μὴ πλημμελήσῃς, ἵνα μὴ ἀφέληται τὴν ζωήν σου· ἐπίγνωθι ὅτι ἐν μέσῳ παγίδων διαβαίνεις, καὶ ἐπὶ ἐπάλξεων πόλεων περιπατεῖς.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 14] Κατὰ τὴν ἰσχύν σου στόχασαι τοὺς πλησίον, καὶ μετὰ σοφῶν συμβουλεύου.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 15] Καὶ μετὰ συνετῶν ἔστω ὁ διαλογισμός σου, καὶ πᾶσα διήγησίς σου ἐν νόμῳ ὑψίστου.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 16] Ἄνδρες δίκαιοι ἔστωσαν σύνδειπνοί σου, καὶ ἐν φόβῳ Κυρίου ἔστω τὸ καύχημά σου.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 17] Ἐν χειρὶ τεχνιτῶν ἔργον ἐπαινεθήσεται, καὶ ὁ ἡγούμενος λαοῦ σοφὸς ἐν λόγῳ αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 9 | Verse 18] Φοβερὸς ἐν πόλει αὐτοῦ ἀνὴρ γλωσσώδης, καὶ ὁ προπετὴς ἐν λόγῳ αὐτοῦ μισηθήσεται.
