[LXX | EL | OT | Sirach | Chapter 51 | Verse 1] Ἐξομολογήσομαι σοι Κύριε βασιλεῦ, καὶ αἰνέσω σε Θεὸν τὸν σωτῆρά μου· ἐξομολογοῦμαι τῷ ὀνόματί σου,
[LXX | EL | OT | Sirach | Chapter 51 | Verse 2] ὅτι σκεπαστὴς καὶ βοηθὸς ἐγένου μοι, καὶ ἐλυτρώσω τὸ σῶμά μου ἐξ ἀπωλείας, καὶ ἐκ παγίδος διαβολῆς γλώσσης· ἀπὸ χειλέων ἐργαζομένων ψεῦδος, καὶ ἔναντι τῶν παρεστηκότων ἐγένου μοι βοηθὸς,
[LXX | EL | OT | Sirach | Chapter 51 | Verse 3] καὶ ἐλυτρώσω με, κατὰ τὸ πλῆθος ἐλέους καὶ ὀνόματός σου, ἐκ βρυγμῶν ἑτοίμων εἰς βρῶμα, ἐκ χειρὸς ζητούντων τὴν ψυχήν μου, ἐκ πλειόνων θλίψεων ὧν ἔσχον,
[LXX | EL | OT | Sirach | Chapter 51 | Verse 4] ἀπὸ πνιγμοῦ πυρὸς κυκλόθεν, καὶ ἐκ μέσου πυρὸς οὗ οὐκ ἐξέκαυσα,
[LXX | EL | OT | Sirach | Chapter 51 | Verse 5] ἐκ βάθους κοιλίας ᾅδου, καὶ ἀπὸ γλώσσης ἀκαθάρτου, καὶ λόγου ψευδοῦς.
[LXX | EL | OT | Sirach | Chapter 51 | Verse 6] Βασιλεῖ διαβολὴ γλώσσης ἀδίκου· ᾔγγισεν ἕως θανάτου ἡ ψυχή μου, καὶ ἡ ζωή μου ἦν σύνεγγυς ᾅδου κάτω.
[LXX | EL | OT | Sirach | Chapter 51 | Verse 7] Περιέσχον με πάντοθεν, καὶ οὐκ ἦν ὁ βοηθῶν· ἐμβλέπων εἰς ἀντίληψιν ἀνθρώπων, καὶ οὐκ ἦν.
[LXX | EL | OT | Sirach | Chapter 51 | Verse 8] Καὶ ἐμνήσθην τοῦ ἐλέους σου Κύριε, καὶ τῆς ἐργασίας σου τῆς ἀπʼ αἰῶνος· ὅτι ἐξελῇ τοὺς ὑπομένοντάς σε, καὶ σώζεις αὐτοὺς ἐκ χειρὸς ἐθνῶν.
[LXX | EL | OT | Sirach | Chapter 51 | Verse 9] Καὶ ἀνύψωσα ἐπὶ γῆς ἱκετείαν μου, καὶ ὑπὲρ θανάτου ῥύσεως ἐδεήθην.
[LXX | EL | OT | Sirach | Chapter 51 | Verse 10] Ἐπεκαλεσάμην Κύριον πατέρα Κυρίου μου, μή με ἐγκαταλιπεῖν ἐν ἡμέραις θλίψεως, ἐν καιρῷ ὑπερηφάνων ἀβοηθησίας.
[LXX | EL | OT | Sirach | Chapter 51 | Verse 11] Αἰνέσω τὸ ὄνομά σου ἐνδελεχῶς, καὶ ὑμνήσω ἐν ἐξομολογήσει· καὶ εἰσηκούσθη ἡ δέησίς μου.
[LXX | EL | OT | Sirach | Chapter 51 | Verse 12] Ἔσωσας γάρ με ἐξ ἀπωλείας, καὶ ἐξείλου με ἐκ καιροῦ πονηροῦ· διὰ τοῦτο ἐξομολογήσομαι καὶ αἰνέσω σοι, καὶ εὐλογήσω τῷ ὀνόματι Κυρίου·
[LXX | EL | OT | Sirach | Chapter 51 | Verse 13] Ἔτι ὢν νεώτερος, πρινὴ πλανηθῆναί με, ἐζήτησα σοφίαν προφανῶς ἐν προσευχῇ μου.
[LXX | EL | OT | Sirach | Chapter 51 | Verse 14] Ἔναντι ναοῦ ἠξίουν περὶ αὐτῆς, καὶ ἕως ἐσχάτων ἐκζητήσω αὐτὴν,
[LXX | EL | OT | Sirach | Chapter 51 | Verse 15] ἐξ ἄνθους ὡς περκαζούσης σταφυλῆς· εὐφράνθη ἡ καρδία μου ἐν αὐτῇ, ἐπέβη ὁ πούς μου ἐν εὐθύτητι, ἐκ νεότητός μου ἴχνευσα αὐτήν.
[LXX | EL | OT | Sirach | Chapter 51 | Verse 16] Ἔκλινα ὀλίγον τὸ οὖς μου, καὶ ἐδεξάμην, καὶ πολλὴν εὗρον ἐμαυτῷ παιδείαν.
