[LXX | EL | OT | Sirach | Chapter 39 | Verse 1] σοφίαν πάντων ἀρχαίων ἐκζητήσει, καὶ ἐν προφητείαις ἀσχοληθήσεται.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 2] Διηγήσεις ἀνδρῶν ὀνομαστῶν συντηρήσει, καὶ ἐν στροφαῖς παραβολῶν συνεισελεύσεται.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 3] Ἀπόκρυφα παροιμιῶν ἐκζητήσει, καὶ ἐν αἰνίγμασι παραβολῶν ἀναστραφήσεται.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 4] Ἀναμέσον μεγιστάνων ὑπηρετήσει, καὶ ἔναντι ἡγουμένου ὀφθήσεται· ἐν γῇ ἀλλοτρίων ἐθνῶν διελεύσεται, ἀγαθὰ γὰρ καὶ κακὰ ἐν ἀνθρώποις ἐπείρασε.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 5] Τὴν καρδίαν αὐτοῦ ἐπιδώσει ὀρθρίσαι πρὸς Κύριον τὸν ποιήσαντα αὐτὸν, καὶ ἔναντι ὑψίστου δεηθήσεται· καὶ ἀνοίξει τὸ στόμα αὐτοῦ ἐν προσευχῇ, καὶ περὶ τῶν ἁμαρτιῶν αὐτοῦ δεηθήσεται.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 6] Ἐὰν Κύριος ὁ μέγας θελήσῃ, πνεύματι συνέσεως ἐμπλησθήσεται· αὐτὸς ἀνομβρήσει ῥήματα σοφίας αὐτοῦ, καὶ ἐν προσευχῇ ἐξομολογήσεται Κυρίῳ.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 7] Αὐτὸς κατευθύνει βουλὴν αὐτοῦ καὶ ἐπιστήμην, καὶ ἐν τοῖς ἀποκρύφοις αὐτοῦ διανοηθήσεται.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 8] Αὐτὸς ἐκφανεῖ παιδείαν διδασκαλίας αὐτοῦ, καὶ ἐν νόμῳ διαθήκης Κυρίου καυχήσεται.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 9] Αἰνέσουσι τὴν σύνεσιν αὐτοῦ πολλοὶ, ἕως τοῦ αἰῶνος οὐκ ἐξαλειφθήσεται· οὐκ ἀποστήσεται τὸ μνημόσυνον αὐτοῦ, καὶ ὄνομα αὐτοῦ ζήσεται εἰς γενεὰς γενεῶν.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 10] Τὴν σοφίαν αὐτοῦ διηγήσονται ἔθνη, καὶ τὸν ἔπαινον αὐτοῦ ἐξαγγελεῖ ἐκκλησία.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 11] Ἐὰν ἐμμείνῃ ὄνομα καταλείψει ἢ χίλιοι, καὶ ἐὰν ἀναπαύσηται ἐμποιεῖ αὐτῷ.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 12] Ἔτι διανοηθεὶς ἐκδιηγήσομαι, καὶ ὡς διχομηνία ἐπληρώθην.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 13] Εἰσακούσετέ μου υἱοὶ ὅσιοι, καὶ βλαστήσατε ὡς ῥόδον φυόμενον ἐπὶ ῥεύματος ἀγροῦ·
[LXX | EL | OT | Sirach | Chapter 39 | Verse 14] καὶ ὡς λίβανος εὐωδιάσατε ὀσμὴν, καὶ ἀνθήσατε ἄνθος ὡς κρίνον· διάδοτε ὀσμὴν καὶ αἰνέσατε ᾆσμα· εὐλογήσατε Κύριον ἐπὶ πᾶσι τοῖς ἔργοις.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 15] Δότε τῷ ὀνόματι αὐτοῦ μεγαλωσύνην, καὶ ἐξομολογήσασθε ἐν αἰνέσει αὐτοῦ, ἐν ᾠδαῖς χειλέων καὶ ἐν κινύραις, καὶ οὕτως ἐρεῖτε ἐν ἐξομολογήσει,
[LXX | EL | OT | Sirach | Chapter 39 | Verse 16] Τὰ ἔργα Κυρίου πάντα ὅτι καλὰ σφόδρα, καὶ πᾶν πρόσταγμα ἐν καιρῷ αὐτοῦ ἔσται.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 17] Πάντα γὰρ ἐν καιρῷ αὐτοῦ ζητηθήσεται· ἐν λόγῳ αὐτοῦ ἔστη ὡς θημωνία ὕδωρ, καὶ ἐν ῥήματι στόματος αὐτοῦ ἀποδοχεῖα ὑδάτων.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 18] Ἐν προστάγματι αὐτοῦ πᾶσα ἡ εὐδοκία, καὶ οὐκ ἔστιν ὃς ἐλαττώσει τὸ σωτήριον αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 19] Ἔργα πάσης σαρκὸς ἐνώπιον αὐτοῦ, καὶ οὐκ ἔστι κρυβῆναι ἀπὸ τῶν ὀφθαλμῶν αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 20] Ἀπὸ τοῦ αἰῶνος εἰς τὸν αἰῶνα ἐπέβλεψε, καὶ οὐθέν ἐστι θαυμάσιον ἐναντίον αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 21] Οὐκ ἔστιν εἰπεῖν, τί τοῦτο; εἰς τί τοῦτο; πάντα γὰρ εἰς χρείας αὐτῶν ἔκτισται.
[LXX | EL | OT | Sirach | Chapter 39 | Verse 22] Ἡ εὐλογία αὐτοῦ ὡς ποταμὸς ἐπεκάλυψε, καὶ ὡς κατακλυσμὸς ξηρὰν ἐμέθυσεν.
