[LXX | EL | OT | Sirach | Chapter 3 | Verse 1] Ἐμοῦ τοῦ πατρὸς ἀκούσατε τέκνα, καὶ οὕτως ποιήσατε, ἵνα σωθῆτε.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 2] Ὁ γὰρ Κύριος ἐδόξασε πατέρα ἐπὶ τέκνοις, καὶ κρίσιν μητρὸς ἐστερέωσεν ἐφʼ υἱοῖς.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 3] Ὁ τιμῶν πατέρα ἐξιλάσεται ἁμαρτίαις.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 4] Καὶ ὡς ὁ ἀποθησαυρίζων, ὁ δοξάζων μητέρα αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 5] Ὁ τιμῶν πατερα εὐφρανθήσεται ὑπὸ τέκνων, καὶ ἐν ἡμέρᾳ προσευχῆς αὐτοῦ εἰσακουσθήσεται.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 6] Ὁ δοξάζων πατέρα μακροημερεύσει, καὶ ὁ εἰσακούων Κυρίου ἀναπαύσει μητέρα αὐτοῦ,
[LXX | EL | OT | Sirach | Chapter 3 | Verse 7] καὶ ὡς δεσπόταις δουλεύσει ἐν τοῖς γεννήσασιν αὐτόν.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 8] Ἐν ἔργῳ καὶ λόγῳ τίμα τὸν πατέρα σου, ἵνα ἐπέλθῃ σοι εὐλογία παρʼ αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 9] Εὐλογία γὰρ πατρὸς στηρίζει οἴκους τέκνων, κατάρα δὲ μητρὸς ἐκριζοῖ θεμέλια.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 10] Μὴ δοξάζου ἐν ἀτιμίᾳ πατρός σου, οὐ γάρ ἐστί σοι δόξα πατρὸς ἀτιμία.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 11] Ἡ γὰρ δόξα ἀνθρώπου ἐκ τιμῆς πατρὸς αὐτοῦ, καὶ ὄνειδος τέκνοις μήτηρ ἐν ἀδοξίᾳ.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 12] Τέκνον, ἀντιλαβοῦ ἐν γήρᾳ πατρός σου, καὶ μὴ λυπήσῃς αὐτὸν ἐν τῇ ζωῇ αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 13] Κᾂν ἀπολείπῃ σύνεσιν, συγγνώμην ἔχε, καὶ μὴ ἀτιμάσῃς αὐτὸν ἐν πάσῃ ἰσχύϊ σου.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 14] Ἐλεημοσύνη γὰρ πατρὸς οὐκ ἐπιλησθήσεται, καὶ ἀντὶ ἁμαρτιῶν προσανοικοδομηθήσεταί σοι.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 15] Ἐν ἡμέρᾳ θλίψεώς σου ἀναμνησθήσεταί σου· ὡς εὐδία ἐπὶ παγετῷ, οὕτως ἀναλυθήσονταί σου αἱ ἁμαρτίαι.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 16] Ὡς βλάσφημος ὁ ἐγκαταλιπὼν πατέρα, καὶ κεκατηραμένος ὑπὸ Κυρίου ὁ παροργίζων μητέρα αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 17] Τέκνον, ἐν πραΰτητι τὰ ἔργα σου διέξαγε, καὶ ὑπὸ ἀνθρώπου δεκτοῦ ἀγαπηθήσῃ.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 18] Ὅσῳ μέγας εἶ, τοσούτῳ ταπεινοῦ σεαυτὸν, καὶ ἔναντι Κυρίου εὑρήσεις χάριν.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 20] Ὅτι μεγάλη ἡ δυναστεία τοῦ Κυρίου, καὶ ὑπὸ τῶν ταπεινῶν δοξάζεται.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 21] Χαλέπωτερά σου μὴ ζήτει, καὶ ἰσχυρότερά σου μὴ ἐξέταζε,
[LXX | EL | OT | Sirach | Chapter 3 | Verse 22] ἃ προσετάγη σοι, ταῦτα διανοοῦ· οὐ γάρ ἐστί σοι χρεία τῶν κρυπτῶν.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 23] Ἐν τοῖς περισσοῖς τῶν ἔργων σου μὴ περιεργάζου· πλείονα γὰρ συνέσεως ἀνθρώπων ὑπεδείχθη σοι.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 24] Πολλοὺς γὰρ ἐπλάνησεν ἡ ὑπόληψις αὐτῶν, καὶ ὑπόνοια πονηρὰ ὠλίσθησε διανοίας αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 3 | Verse 26] Καὶ ὁ ἀγαπῶν κίνδυνον, ἐν αὐτῷ ἐμπεσεῖται· καρδία σκληρὰ κακωθήσεται ἐπʼ ἐσχάτων.
