[LXX | EL | OT | Sirach | Chapter 26 | Verse 1] Γυναικὸς ἀγαθῆς μακάριος ὁ ἀνὴρ, καὶ ἀριθμὸς τῶν ἡμερῶν αὐτοῦ διπλάσιος.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 2] Γυνὴ ἀνδρεία εὐφραίνει τὸν ἄνδρα αὐτῆς, καὶ τὰ ἔτη αὐτοῦ πληρώσει ἐν εἰρήνῃ.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 3] Γυνὴ ἀγαθὴ μερὶς ἀγαθὴ, ἐν μερίδι φοβουμένων Κύριον δοθήσεται.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 4] Πλουσίου δὲ καὶ πτωχοῦ καρδία ἀγαθὴ, ἐν παντὶ καιρῷ πρόσωπον ἱλαρόν.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 5] Ἀπὸ τριῶν εὐλαβήθη ἡ καρδία μου, καὶ ἐπὶ τῷ τετάρτῳ προσώπῳ ἐδεήθην· διαβολὴν πόλεως, καὶ ἐκκλησίαν ὄχλου, καὶ καταψευσμὸν ὑπὲρ θάνατον, πάντα μοχθηρά.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 6] Ἄλγος καρδίας καὶ πένθος γυνὴ ἀντίζηλος ἐπὶ γυναικὶ, καὶ μάστιξ γλώσσης πᾶσιν ἐπικοινωνοῦσα.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 7] Βοοζύγιον σαλευόμενον γυνὴ πονηρὰ, ὁ κρατῶν αὐτῆς ὡς ὁ δρασσόμενος σκορπίου.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 8] Ὀργὴ μεγάλη γυνὴ μέθυσος, καὶ ἀσχημοσύνην αὐτῆς οὐ συγκαλύψει.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 9] Πορνεία γυναικὸς ἐν μετεωρισμοῖς ὀφθαλμῶν, καὶ ἐν τοῖς βλεφάροις αὐτῆς γνωσθήσεται.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 10] Ἐπὶ θυγατρὶ ἀδιατρέπτῳ στερέωσον φυλακὴν, ἵνα μὴ εὑροῦσα ἄνεσιν ἑαυτῇ χρήσηται.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 11] Ὀπίσω ἀναιδοῦς ὀφθαλμοῦ φύλαξαι, καὶ μὴ θαυμάσῃς ἐὰν εἰς σὲ πλημμελήσῃ·
[LXX | EL | OT | Sirach | Chapter 26 | Verse 12] Ὡς διψῶν ὁδοιπόρος τὸ στόμα ἀνοίγει, καὶ ἀπὸ παντὸς ὕδατος τοῦ σύνεγγυς πίεται, κατέναντι παντὸς πασσάλου καθήσεται, καὶ ἔναντι βέλους ἀνοίξει φαρέτραν.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 13] Χάρις γυναικὸς τέρψει τὸν ἄνδρα αὐτῆς, καὶ τὰ ὀστᾶ αὐτοῦ πιανεῖ ἡ ἐπιστήμη αὐτῆς.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 14] Δόσις Κυρίου γυνὴ σιγηρὰ, καὶ οὐκ ἐστιν ἀντάλλαγμα πεπαιδευμένης ψυχῆς.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 15] Χάρις ἐπὶ χάριτι γυνὴ αἰσχυντηρὰ, καὶ οὐκ ἔστι σταθμὸς πᾶς ἄξιος ἐγκρατοῦς ψυχῆς.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 16] Ἥλιος ἀνατέλλων ἐν ὑψίστοις Κυρίου, καὶ κάλλος ἀγαθῆς γυναικὸς ἐν κόσμῳ οἰκίας αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 17] Λύχνος ἐκλάμπων ἐπὶ λυχνίας ἁγίας, καὶ κάλλος προσώπου ἐπὶ ἡλικίᾳ στασίμῃ.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 18] Στύλοι χρύσεοι ἐπὶ βάσεως ἀργυρᾶς, καὶ πόδες ὡραῖοι ἐπὶ στέρνοις εὐσταθοῦς.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 28] Επὶ δυσὶ λελύπηται ἡ καρδία μου, καὶ ἐπὶ τῷ τρίτῳ θυμός μοι ἐπῆλθεν· ἀνὴρ πολεμιστὴς ὑστερῶν διʼ ἔνδειαν, καὶ ἄνδρες συνετοὶ ἐὰν σκυβαλισθῶσιν· ἐπανάγων ἀπὸ δικαιοσύνης ἐπὶ ἁμαρτίαν, ὁ Κύριος ἑτοιμάσει εἰς ῥομφαίαν αὐτόν.
[LXX | EL | OT | Sirach | Chapter 26 | Verse 29] Μόλις ἐξελεῖται ἔμπορος ἀπὸ πλημμελείας, καὶ οὐ δικαιωθήσεται κάπηλος ἀπὸ ἁμαρτίας.
