[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 1] Μετὰ δὲ ταῦτα χωρισθεὶς ὁ Παῦλος ἐκ τῶν Ἀθηνῶν ἦλθεν εἰς Κόρινθον.
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 2] Καὶ εὑρών τινα Ἰουδαῖον ὀνόματι Ἀκύλαν, Ποντικὸν τῷ γένει, προσφάτως ἐληλυθότα ἀπὸ τῆς Ἰταλίας, καὶ Πρίσκιλλαν γυναῖκα αὐτοῦ, διὰ τὸ διατεταχέναι Κλαύδιον χωρίζεσθαι πάντας τοὺς Ἰουδαίους ἐκ τῆς Ῥώμης, προσῆλθεν αὐτοῖς·
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 3] καὶ διὰ τὸ ὁμότεχνον εἶναι, ἔμενε παρ᾿ αὐτοῖς καὶ εἰργάζετο· ἦσαν γὰρ σκηνοποιοὶ τὴν τέχνην.
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 4] Διελέγετο δὲ ἐν τῇ συναγωγῇ κατὰ πᾶν σάββατον, ἔπειθέ τε Ἰουδαίους καὶ Ἕλληνας.
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 5] Ὡς δὲ κατῆλθον ἀπὸ τῆς Μακεδονίας ὅ τε Σίλας καὶ ὁ Τιμόθεος, συνείχετο τῷ πνεύματι ὁ Παῦλος, διαμαρτυρόμενος τοῖς Ἰουδαίοις τὸν Χριστὸν Ἰησοῦν.
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 6] Ἀντιτασσομένων δὲ αὐτῶν καὶ βλασφημούντων, ἐκτιναξάμενος τὰ ἱμάτια, εἶπε πρὸς αὐτούς, Τὸ αἷμα ὑμῶν ἐπὶ τὴν κεφαλὴν ὑμῶν· καθαρὸς ἐγώ· ἀπὸ τοῦ νῦν εἰς τὰ ἔθνη πορεύσομαι.
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 7] Καὶ μεταβὰς ἐκεῖθεν ἦλθεν εἰς οἰκίαν τινὸς ὀνόματι Ἰούστου, σεβομένου τὸν Θεόν, οὗ ἡ οἰκία ἦν συνομοροῦσα τῇ συναγωγῇ.
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 8] Κρίσπος δὲ ὁ ἀρχισυνάγωγος ἐπίστευσε τῷ Κυρίῳ σὺν ὅλῳ τῷ οἴκῳ αὐτοῦ· καὶ πολλοὶ τῶν Κορινθίων ἀκούοντες ἐπίστευον καὶ ἐβαπτίζοντο.
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 9] Εἶπε δὲ ὁ Κύριος δι᾿ ὁράματος ἐν νυκτὶ τῷ Παύλῳ, Μὴ φοβοῦ, ἀλλὰ λάλει καὶ μὴ σιωπήσῃς·
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 10] διότι ἐγώ εἰμι μετὰ σοῦ, καὶ οὐδεὶς ἐπιθήσεταί σοι τοῦ κακῶσαί σε· διότι λαός ἐστί μοι πολὺς ἐν τῇ πόλει ταύτῃ.
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 11] Ἐκάθισέ τε ἐνιαυτὸν καὶ μῆνας ἕξ, διδάσκων ἐν αὐτοῖς τὸν λόγον τοῦ Θεοῦ.
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 12] Γαλλίωνος δὲ ἀνθυπατεύοντος τῆς Ἀχαΐας, κατεπέστησαν ὁμοθυμαδὸν οἱ Ἰουδαῖοι τῷ Παύλῳ, καὶ ἤγαγον αὐτὸν ἐπὶ τὸ βῆμα,
[GRCGTR | EL | NT | Acts | Chapter 18 | Verse 13] λέγοντες ὅτι Παρὰ τὸν νόμον οὗτος ἀναπείθει τοὺς ἀνθρώπους σέβεσθαι τὸν Θεόν.
