[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 1] Μετὰ δὲ τὸ παύσασθαι τὸν θόρυβον, προσκαλεσάμενος ὁ Παῦλος τοὺς μαθητάς, καὶ ἀσπασάμενος, ἐξῆλθε πορευθῆναι εἰς τὴν Μακεδονίαν.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 2] Διελθὼν δὲ τὰ μέρη ἐκεῖνα, καὶ παρακαλέσας αὐτοὺς λόγῳ πολλῷ, ἦλθεν εἰς τὴν Ἑλλάδα.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 3] Ποιήσας τε μῆνας τρεῖς, γενομένης αὐτῷ ἐπιβουλῆς ὑπὸ τῶν Ἰουδαίων μέλλοντι ἀνάγεσθαι εἰς τὴν Συρίαν, ἐγένετο γνώμη τοῦ ὑποστρέφειν διὰ Μακεδονίας.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 4] Συνείπετο δὲ αὐτῷ ἄχρι τῆς Ἀσίας Σώπατρος Βεροιαῖος· Θεσσαλονικέων δέ, Ἀρίσταρχος καὶ Σεκοῦνδος, καὶ Γάϊος Δερβαῖος, καὶ Τιμόθεος· Ἀσιανοὶ δέ, Τυχικὸς καὶ Τρόφιμος.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 5] Οὗτοι προελθόντες ἔμενον ἡμᾶς ἐν Τρῳάδι.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 6] Ἡμεῖς δὲ ἐξεπλεύσαμεν μετὰ τὰς ἡμέρας τῶν ἀζύμων ἀπὸ Φιλίππων, καὶ ἤλθομεν πρὸς αὐτοὺς εἰς τὴν Τρῳάδα ἄχρις ἡμερῶν πέντε, οὗ διετρίψαμεν ἡμέρας ἑπτά.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 7] Ἐν δὲ τῇ μιᾷ τῶν σαββάτων, συνηγμένων τῶν μαθητῶν τοῦ κλάσαι ἄρτον, ὁ Παῦλος διελέγετο αὐτοῖς, μέλλων ἐξιέναι τῇ ἐπαύριον, παρέτεινέ τε τὸν λόγον μέχρι μεσονυκτίου.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 8] Ἦσαν δὲ λαμπάδες ἱκαναὶ ἐν τῷ ὑπερῴῳ οὗ ἦσαν συνηγμένοι.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 9] Καθήμενος δέ τις νεανίας ὀνόματι Εὔτυχος ἐπὶ τῆς θυρίδος, καταφερόμενος ὕπνῳ βαθεῖ, διαλεγομένου τοῦ Παύλου ἐπὶ πλεῖον, κατενεχθεὶς ἀπὸ τοῦ ὕπνου ἔπεσεν ἀπὸ τοῦ τριστέγου κάτω, καὶ ἤρθη νεκρός.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 10] Καταβὰς δὲ ὁ Παῦλος ἐπέπεσεν αὐτῷ, καὶ συμπεριλαβὼν εἶπε, Μὴ θορυβεῖσθε· ἡ γὰρ ψυχὴ αὐτοῦ ἐν αὐτῷ ἐστιν.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 11] Ἀναβὰς δὲ καὶ κλάσας ἄρτον καὶ γευσάμενος, ἐφ᾿ ἱκανόν τε ὁμιλήσας ἄχρις αὐγῆς, οὕτως ἐξῆλθεν.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 12] Ἤγαγον δὲ τὸν παῖδα ζῶντα, καὶ παρεκλήθησαν οὐ μετρίως.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 13] Ἡμεῖς δέ, προελθόντες ἐπὶ τὸ πλοῖον, ἀνήχθημεν εἰς τὴν Ἄσσον, ἐκεῖθεν μέλλοντες ἀναλαμβάνειν τὸν Παῦλον· οὕτω γὰρ ἦν διατεταγμένος, μέλλων αὐτὸς πεζεύειν.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 14] Ὡς δὲ συνέβαλεν ἡμῖν εἰς τὴν Ἄσσον, ἀναλαβόντες αὐτὸν ἤλθομεν εἰς Μιτυλήνην.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 15] Κἀκεῖθεν ἀποπλεύσαντες, τῇ ἐπιούσῃ κατηντήσαμεν ἀντικρὺ Χίου· τῇ δὲ ἑτέρᾳ παρεβάλομεν εἰς Σάμον· καὶ μείναντες ἐν Τρωγυλλίῳ, τῇ ἐχομένῃ ἤλθομεν εἰς Μίλητον.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 16] Ἔκρινε γὰρ ὁ Παῦλος παραπλεῦσαι τὴν Ἔφεσον, ὅπως μὴ γένηται αὐτῷ χρονοτριβῆσαι ἐν τῇ Ἀσίᾳ· ἔσπευδε γάρ, εἰ δυνατὸν ἦν αὐτῷ, τὴν ἡμέραν τῆς Πεντηκοστῆς γενέσθαι εἰς Ἱεροσόλυμα.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 17] Ἀπὸ δὲ τῆς Μιλήτου πέμψας εἰς Ἔφεσον μετεκαλέσατο τοὺς πρεσβυτέρους τῆς ἐκκλησίας.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 18] Ὡς δὲ παρεγένοντο πρὸς αὐτόν, εἶπεν αὐτοῖς, Ὑμεῖς ἐπίστασθε, ἀπὸ πρώτης ἡμέρας ἀφ᾿ ἧς ἐπέβην εἰς τὴν Ἀσίαν, πῶς μεθ᾿ ὑμῶν τὸν πάντα χρόνον ἐγενόμην,
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 19] δουλεύων τῷ Κυρίῳ μετὰ πάσης ταπεινοφροσύνης καὶ πολλῶν δακρύων καὶ πειρασμῶν τῶν συμβάντων μοι ἐν ταῖς ἐπιβουλαῖς τῶν Ἰουδαίων·
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 20] ὡς οὐδὲν ὑπεστειλάμην τῶν συμφερόντων, τοῦ μὴ ἀναγγεῖλαι ὑμῖν καὶ διδάξαι ὑμᾶς δημοσίᾳ καὶ κατ᾿ οἴκους,
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 21] διαμαρτυρόμενος Ἰουδαίοις τε καὶ Ἕλλησι τὴν εἰς τὸν Θεὸν μετάνοιαν, καὶ πίστιν τὴν εἰς τὸν Κύριον ἡμῶν Ἰησοῦν Χριστόν.
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 22] Καὶ νῦν ἰδού, ἐγὼ δεδεμένος τῷ πνεύματι πορεύομαι εἰς Ἱερουσαλήμ, τὰ ἐν αὐτῇ συναντήσοντά μοι μὴ εἰδώς,
[GRCGTR | EL | NT | Acts | Chapter 20 | Verse 23] πλὴν ὅτι τὸ πνεῦμα τὸ ἅγιον κατὰ πόλιν διαμαρτύρεται λέγον ὅτι δεσμά με καὶ θλίψεις μένουσιν.
