[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 1] Ἀνὴρ δέ τις ἦν ἐν Καισαρείᾳ ὀνόματι Κορνήλιος, ἑκατοντάρχης ἐκ σπείρης τῆς καλουμένης Ἰταλικῆς,
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 2] εὐσεβὴς καὶ φοβούμενος τὸν Θεὸν σὺν παντὶ τῷ οἴκῳ αὐτοῦ, ποιῶν τε ἐλεημοσύνας πολλὰς τῷ λαῷ, καὶ δεόμενος τοῦ Θεοῦ διὰ παντός.
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 3] Εἶδεν ἐν ὁράματι φανερῶς, ὡσεὶ ὥραν ἐννάτην τῆς ἡμέρας, ἄγγελον τοῦ Θεοῦ εἰσελθόντα πρὸς αὐτόν, καὶ εἰπόντα αὐτῷ, Κορνήλιε.
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 4] Ὁ δὲ ἀτενίσας αὐτῷ καὶ ἔμφοβος γενόμενος εἶπε, Τί ἐστι, Κύριε; Εἶπε δὲ αὐτῷ, Αἱ προσευχαί σου καὶ αἱ ἐλεημοσύναι σου ἀνέβησαν εἰς μνημόσυνον ἐνώπιον τοῦ Θεοῦ.
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 5] Καὶ νῦν πέμψον εἰς Ἰόππην ἄνδρας, καὶ μετάπεμψαι Σίμωνα ὃς ἐπικαλεῖται Πέτρος·
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 6] οὗτος ξενίζεται παρά τινι Σίμωνι βυρσεῖ, ᾧ ἐστιν οἰκία παρὰ θάλασσαν· οὗτος λαλήσει σοι τί σε δεῖ ποιεῖν.
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 7] Ὡς δὲ ἀπῆλθεν ὁ ἄγγελος ὁ λαλῶν τῷ Κορνηλίῳ, φωνήσας δύο τῶν οἰκετῶν αὐτοῦ, καὶ στρατιώτην εὐσεβῆ τῶν προσκαρτερούντων αὐτῷ,
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 8] καὶ ἐξηγησάμενος αὐτοῖς ἅπαντα, ἀπέστειλεν αὐτοὺς εἰς τὴν Ἰόππην.
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 9] Τῇ δὲ ἐπαύριον, ὁδοιπορούντων ἐκείνων καὶ τῇ πόλει ἐγγιζόντων, ἀνέβη Πέτρος ἐπὶ τὸ δῶμα προσεύξασθαι, περὶ ὥραν ἕκτην·
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 10] ἐγένετο δὲ πρόσπεινος, καὶ ἤθελε γεύσασθαι· παρασκευαζόντων δὲ ἐκείνων, ἐπέπεσεν ἐπ᾿ αὐτὸν ἔκστασις,
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 11] καὶ θεωρεῖ τὸν οὐρανὸν ἀνεῳγμένον, καὶ καταβαῖνον ἐπ᾿ αὐτὸν σκεῦός τι ὡς ὀθόνην μεγάλην, τέσσαρσιν ἀρχαῖς δεδεμένον, καὶ καθιέμενον ἐπὶ τῆς γῆς·
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 12] ἐν ᾧ ὑπῆρχε πάντα τὰ τετράποδα τῆς γῆς καὶ τὰ θηρία καὶ τὰ ἑρπετὰ καὶ τὰ πετεινὰ τοῦ οὐρανοῦ.
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 13] Καὶ ἐγένετο φωνὴ πρὸς αὐτόν, Ἀναστάς, Πέτρε, θῦσον καὶ φάγε.
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 14] Ὁ δὲ Πέτρος εἶπε, Μηδαμῶς, Κύριε· ὅτι οὐδέποτε ἔφαγον πᾶν κοινὸν ἢ ἀκάθαρτον.
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 15] Καὶ φωνὴ πάλιν ἐκ δευτέρου πρὸς αὐτόν, Ἃ ὁ Θεὸς ἐκαθάρισε, σὺ μὴ κοίνου.
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 16] Τοῦτο δὲ ἐγένετο ἐπὶ τρίς· καὶ πάλιν ἀνελήφθη τὸ σκεῦος εἰς τὸν οὐρανόν.
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 17] Ὡς δὲ ἐν ἑαυτῷ διηπόρει ὁ Πέτρος τί ἂν εἴη τὸ ὅραμα ὃ εἶδε, καὶ ἰδού, οἱ ἄνδρες οἱ ἀπεσταλμένοι ἀπὸ τοῦ Κορνηλίου, διερωτήσαντες τὴν οἰκίαν Σίμωνος, ἐπέστησαν ἐπὶ τὸν πυλῶνα,
[GRCGTR | EL | NT | Acts | Chapter 10 | Verse 18] καὶ φωνήσαντες ἐπυνθάνοντο εἰ Σίμων, ὁ ἐπικαλούμενος Πέτρος, ἐνθάδε ξενίζεται.
