[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 1] Καί τινες κατελθόντες ἀπὸ τῆς Ἰουδαίας, ἐδίδασκον τοὺς ἀδελφοὺς ὅτι Ἐὰν μὴ περιτέμνησθε τῷ ἔθει Μωϋσέως, οὐ δύνασθε σωθῆναι.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 2] Γενομένης οὖν στάσεως καὶ συζητήσεως οὐκ ὀλίγης τῷ Παύλῳ καὶ τῷ Βαρνάβᾳ πρὸς αὐτούς, ἔταξαν ἀναβαίνειν Παῦλον καὶ Βαρνάβαν καί τινας ἄλλους ἐξ αὐτῶν πρὸς τοὺς ἀποστόλους καὶ πρεσβυτέρους εἰς Ἱερουσαλὴμ περὶ τοῦ ζητήματος τούτου.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 3] Οἱ μὲν οὖν, προπεμφθέντες ὑπὸ τῆς ἐκκλησίας, διήρχοντο τὴν Φοινίκην καὶ Σαμάρειαν, ἐκδιηγούμενοι τὴν ἐπιστροφὴν τῶν ἐθνῶν· καὶ ἐποίουν χαρὰν μεγάλην πᾶσι τοῖς ἀδελφοῖς.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 4] Παραγενόμενοι δὲ εἰς Ἱερουσαλήμ, ἀπεδέχθησαν ὑπὸ τῆς ἐκκλησίας καὶ τῶν ἀποστόλων καὶ τῶν πρεσβυτέρων, ἀνήγγειλάν τε ὅσα ὁ Θεὸς ἐποίησε μετ᾿ αὐτῶν.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 5] Ἐξανέστησαν δέ τινες τῶν ἀπὸ τῆς αἱρέσεως τῶν Φαρισαίων πεπιστευκότες, λέγοντες ὅτι Δεῖ περιτέμνειν αὐτούς, παραγγέλλειν τε τηρεῖν τὸν νόμον Μωϋσέως.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 6] Συνήχθησαν δὲ οἱ ἀπόστολοι καὶ οἱ πρεσβύτεροι ἰδεῖν περὶ τοῦ λόγου τούτου.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 7] Πολλῆς δὲ συζητήσεως γενομένης, ἀναστὰς Πέτρος εἶπε πρὸς αὐτούς, Ἄνδρες ἀδελφοί, ὑμεῖς ἐπίστασθε ὅτι ἀφ᾿ ἡμερῶν ἀρχαίων ὁ Θεὸς ἐν ἡμῖν ἐξελέξατο, διὰ τοῦ στόματός μου ἀκοῦσαι τὰ ἔθνη τὸν λόγον τοῦ εὐαγγελίου, καὶ πιστεῦσαι.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 8] Καὶ ὁ καρδιογνώστης Θεὸς ἐμαρτύρησεν αὐτοῖς, δοὺς αὐτοῖς τὸ πνεῦμα τὸ ἅγιον, καθὼς καὶ ἡμῖν·
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 9] καὶ οὐδὲν διέκρινε μεταξὺ ἡμῶν τε καὶ αὐτῶν, τῇ πίστει καθαρίσας τὰς καρδίας αὐτῶν.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 10] Νῦν οὖν τί πειράζετε τὸν Θεόν, ἐπιθεῖναι ζυγὸν ἐπὶ τὸν τράχηλον τῶν μαθητῶν, ὃν οὔτε οἱ πατέρες ἡμῶν οὔτε ἡμεῖς ἰσχύσαμεν βαστάσαι;
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 11] Ἀλλὰ διὰ τῆς χάριτος Κυρίου Ἰησοῦ Χριστοῦ πιστεύομεν σωθῆναι, καθ᾿ ὃν τρόπον κἀκεῖνοι.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 12] Ἐσίγησε δὲ πᾶν τὸ πλῆθος, καὶ ἤκουον Βαρνάβα καὶ Παύλου ἐξηγουμένων ὅσα ἐποίησεν ὁ Θεὸς σημεῖα καὶ τέρατα ἐν τοῖς ἔθνεσι δι᾿ αὐτῶν.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 13] Μετὰ δὲ τὸ σιγῆσαι αὐτούς, ἀπεκρίθη Ἰάκωβος λέγων, Ἄνδρες ἀδελφοί, ἀκούσατέ μου·
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 14] Συμεὼν ἐξηγήσατο καθὼς πρῶτον ὁ Θεὸς ἐπεσκέψατο λαβεῖν ἐξ ἐθνῶν λαὸν ἐπὶ τῷ ὀνόματι αὐτοῦ.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 15] Καὶ τούτῳ συμφωνοῦσιν οἱ λόγοι τῶν προφητῶν, καθὼς γέγραπται,
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 16] Μετὰ ταῦτα ἀναστρέψω, καὶ ἀνοικοδομήσω τὴν σκηνὴν Δαβὶδ τὴν πεπτωκυῖαν· καὶ τὰ κατεσκαμμένα αὐτῆς ἀνοικοδομήσω, καὶ ἀνορθώσω αὐτήν·
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 17] ὅπως ἂν ἐκζητήσωσιν οἱ κατάλοιποι τῶν ἀνθρώπων τὸν Κύριον, καὶ πάντα τὰ ἔθνη, ἐφ᾿ οὓς ἐπικέκληται τὸ ὄνομά μου ἐπ᾿ αὐτούς, λέγει Κύριος ὁ ποιῶν ταῦτα πάντα.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 18] Γνωστὰ ἀπ᾿ αἰῶνός ἐστι τῷ Θεῷ πάντα τὰ ἔργα αὐτοῦ.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 19] Διὸ ἐγὼ κρίνω μὴ παρενοχλεῖν τοῖς ἀπὸ τῶν ἐθνῶν ἐπιστρέφουσιν ἐπὶ τὸν Θεόν·
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 20] ἀλλὰ ἐπιστεῖλαι αὐτοῖς τοῦ ἀπέχεσθαι ἀπὸ τῶν ἀλισγημάτων τῶν εἰδώλων καὶ τῆς πορνείας καὶ τοῦ πνικτοῦ καὶ τοῦ αἵματος.
