[GRCGTR | EL | NT | Acts | Chapter 21 | Verse 1] Ὡς δὲ ἐγένετο ἀναχθῆναι ἡμᾶς ἀποσπασθέντας ἀπ᾿ αὐτῶν, εὐθυδρομήσαντες ἤλθομεν εἰς τὴν Κῶν, τῇ δὲ ἑξῆς εἰς τὴν Ῥόδον, κἀκεῖθεν εἰς Πάταρα·
[GRCGTR | EL | NT | Acts | Chapter 21 | Verse 2] καὶ εὑρόντες πλοῖον διαπερῶν εἰς Φοινίκην, ἐπιβάντες ἀνήχθημεν.
[GRCGTR | EL | NT | Acts | Chapter 21 | Verse 3] + 21:3 Ἀναφάναντες ¦ Ἀναφανέντες ELZἈναφάναντες δὲ τὴν Κύπρον, καὶ καταλιπόντες αὐτὴν εὐώνυμον, ἐπλέομεν εἰς Συρίαν, καὶ κατήχθημεν εἰς Τύρον· ἐκεῖσε γὰρ ἦν τὸ πλοῖον ἀποφορτιζόμενον τὸν γόμον.
[GRCGTR | EL | NT | Acts | Chapter 21 | Verse 4] Καὶ ἀνευρόντες + 21:4 τοὺς ¦ — SCR τοὺς μαθητάς, ἐπεμείναμεν αὐτοῦ ἡμέρας ἑπτά· οἵτινες τῷ Παύλῳ ἔλεγον διὰ τοῦ πνεύματος, μὴ ἀναβαίνειν εἰς Ἱερουσαλήμ.
[GRCGTR | EL | NT | Acts | Chapter 21 | Verse 5] Ὅτε δὲ ἐγένετο ἡμᾶς ἐξαρτίσαι τὰς ἡμέρας, ἐξελθόντες ἐπορευόμεθα, προπεμπόντων ἡμᾶς πάντων σὺν γυναιξὶ καὶ τέκνοις ἕως ἔξω τῆς πόλεως· καὶ θέντες τὰ γόνατα ἐπὶ τὸν αἰγιαλὸν προσηυξάμεθα.
[GRCGTR | EL | NT | Acts | Chapter 21 | Verse 6] Καὶ ἀσπασάμενοι ἀλλήλους, ἐπέβημεν εἰς τὸ πλοῖον, ἐκεῖνοι δὲ ὑπέστρεψαν εἰς τὰ ἴδια.
[GRCGTR | EL | NT | Acts | Chapter 21 | Verse 7] Ἡμεῖς δέ, τὸν πλοῦν διανύσαντες ἀπὸ Τύρου, κατηντήσαμεν εἰς Πτολεμαΐδα, καὶ ἀσπασάμενοι τοὺς ἀδελφοὺς ἐμείναμεν ἡμέραν μίαν παρ᾿ αὐτοῖς.
[GRCGTR | EL | NT | Acts | Chapter 21 | Verse 8] Τῇ δὲ ἐπαύριον ἐξελθόντες οἱ περὶ τὸν Παῦλον + 21:8 ἤλθομεν ¦ ἦλθον ST ἤλθομεν εἰς Καισάρειαν· καὶ εἰσελθόντες εἰς τὸν οἶκον Φιλίππου τοῦ εὐαγγελιστοῦ, τοῦ ὄντος ἐκ τῶν ἑπτά, ἐμείναμεν παρ᾿ αὐτῷ.
[GRCGTR | EL | NT | Acts | Chapter 21 | Verse 9] Τούτῳ δὲ ἦσαν θυγατέρες παρθένοι τέσσαρες προφητεύουσαι.
[GRCGTR | EL | NT | Acts | Chapter 21 | Verse 10] Ἐπιμενόντων δὲ ἡμῶν ἡμέρας πλείους, κατῆλθέ τις ἀπὸ τῆς Ἰουδαίας προφήτης ὀνόματι Ἄγαβος.
[GRCGTR | EL | NT | Acts | Chapter 21 | Verse 11] Καὶ ἐλθὼν πρὸς ἡμᾶς, καὶ ἄρας τὴν ζώνην τοῦ Παύλου, δήσας τε αὐτοῦ τὰς χεῖρας καὶ τοὺς πόδας εἶπε, Τάδε λέγει τὸ πνεῦμα τὸ ἅγιον, Τὸν ἄνδρα οὗ ἐστιν ἡ ζώνη αὕτη, οὕτω δήσουσιν ἐν Ἱερουσαλὴμ οἱ Ἰουδαῖοι, καὶ παραδώσουσιν εἰς χεῖρας ἐθνῶν.
