[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 1] Ἀγρίππας δὲ πρὸς τὸν Παῦλον ἔφη, Ἐπιτρέπεταί σοι ὑπὲρ σεαυτοῦ λέγειν. Τότε ὁ Παῦλος ἀπελογεῖτο, ἐκτείνας τὴν χεῖρα,
[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 2] Περὶ πάντων ὧν ἐγκαλοῦμαι ὑπὸ Ἰουδαίων, βασιλεῦ Ἀγρίππα, ἥγημαι ἐμαυτὸν μακάριον μέλλων ἀπολογεῖσθαι ἐπὶ σοῦ σήμερον·
[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 3] μάλιστα γνώστην ὄντα + 26:3 σὲ ¦ σὲ εἰδὼς SCR σὲ πάντων τῶν κατὰ Ἰουδαίους ἐθῶν τε καὶ ζητημάτων· διὸ δέομαί σου, μακροθύμως ἀκοῦσαί μου.
[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 4] Τὴν μὲν οὖν βίωσίν μου τὴν ἐκ νεότητος, τὴν ἀπ᾿ ἀρχῆς γενομένην ἐν τῷ ἔθνει μου ἐν Ἱεροσολύμοις, ἴσασι πάντες οἱ Ἰουδαῖοι,
[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 5] προγινώσκοντές με ἄνωθεν, ἐὰν θέλωσι μαρτυρεῖν, ὅτι κατὰ τὴν ἀκριβεστάτην αἵρεσιν τῆς ἡμετέρας θρησκείας ἔζησα Φαρισαῖος.
[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 6] Καὶ νῦν ἐπ᾿ ἐλπίδι τῆς πρὸς τοὺς πατέρας ἐπαγγελίας γενομένης ὑπὸ τοῦ Θεοῦ ἕστηκα κρινόμενος,
[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 7] εἰς ἣν τὸ δωδεκάφυλον ἡμῶν ἐν ἐκτενείᾳ νύκτα καὶ ἡμέραν λατρεῦον ἐλπίζει καταντῆσαι· περὶ ἧς ἐλπίδος ἐγκαλοῦμαι, βασιλεῦ Ἀγρίππα, ὑπὸ τῶν Ἰουδαίων.
[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 8] + 26:8 Τί ἄπιστον ¦ Τί; Ἄπιστον ELZ Τί ἄπιστον κρίνεται παρ᾿ ὑμῖν, εἰ ὁ Θεὸς νεκροὺς ἐγείρει;
[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 9] Ἐγὼ μὲν οὖν ἔδοξα ἐμαυτῷ πρὸς τὸ ὄνομα Ἰησοῦ τοῦ Ναζωραίου δεῖν πολλὰ ἐναντία πρᾶξαι·
[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 10] ὃ καὶ ἐποίησα ἐν Ἱεροσολύμοις, καὶ πολλοὺς τῶν ἁγίων ἐγὼ φυλακαῖς κατέκλεισα, τὴν παρὰ τῶν ἀρχιερέων ἐξουσίαν λαβών, ἀναιρουμένων τε αὐτῶν κατήνεγκα ψῆφον.
[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 11] Καὶ κατὰ πάσας τὰς συναγωγὰς πολλάκις τιμωρῶν αὐτούς, ἠνάγκαζον βλασφημεῖν· περισσῶς τε ἐμμαινόμενος αὐτοῖς, ἐδίωκον ἕως καὶ εἰς τὰς ἔξω πόλεις.
[GRCGTR | EL | NT | Acts | Chapter 26 | Verse 12] Ἐν οἷς καὶ πορευόμενος εἰς τὴν Δαμασκὸν μετ᾿ ἐξουσίας καὶ ἐπιτροπῆς τῆς παρὰ τῶν ἀρχιερέων,
