[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 1] Ὁ δὲ Σαῦλος ἔτι ἐμπνέων ἀπειλῆς καὶ φόνου εἰς τοὺς μαθητὰς τοῦ Κυρίου, προσελθὼν τῷ ἀρχιερεῖ,
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 2] ᾐτήσατο παρ᾿ αὐτοῦ ἐπιστολὰς εἰς Δαμασκὸν πρὸς τὰς συναγωγάς, ὅπως ἐάν τινας εὕρῃ τῆς ὁδοῦ ὄντας ἄνδρας τε καὶ γυναῖκας, δεδεμένους ἀγάγῃ εἰς Ἱερουσαλήμ.
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 3] Ἐν δὲ τῷ πορεύεσθαι, ἐγένετο αὐτὸν ἐγγίζειν τῇ Δαμασκῷ· καὶ ἐξαίφνης + 9:3 περιήστραψεν ¦ περιέστραψεν ELZ περιήστραψεν αὐτὸν φῶς ἀπὸ τοῦ οὐρανοῦ·
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 4] καὶ πεσὼν ἐπὶ τὴν γῆν, ἤκουσε φωνὴν λέγουσαν αὐτῷ, Σαούλ, Σαούλ, τί με διώκεις;
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 5] Εἶπε δέ, Τίς εἶ, Κύριε; Ὁ δὲ Κύριος εἶπεν, Ἐγώ εἰμι Ἰησοῦς ὃν σὺ διώκεις· σκληρόν σοι πρὸς κέντρα λακτίζειν.
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 6] Τρέμων τε καὶ θαμβῶν εἶπε, Κύριε, τί με θέλεις ποιῆσαι; Καὶ ὁ Κύριος πρὸς αὐτόν, Ἀνάστηθι καὶ εἴσελθε εἰς τὴν πόλιν, καὶ λαληθήσεταί σοι τί σε δεῖ ποιεῖν.
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 7] Οἱ δὲ ἄνδρες οἱ συνοδεύοντες αὐτῷ εἱστήκεισαν ἐννεοί, ἀκούοντες μὲν τῆς φωνῆς, μηδένα δὲ θεωροῦντες.
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 8] Ἠγέρθη δὲ ὁ Σαῦλος ἀπὸ τῆς γῆς· ἀνεῳγμένων δὲ τῶν ὀφθαλμῶν αὐτοῦ, οὐδένα ἔβλεπε, χειραγωγοῦντες δὲ αὐτὸν εἰσήγαγον εἰς Δαμασκόν.
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 9] Καὶ ἦν ἡμέρας τρεῖς μὴ βλέπων, καὶ οὐκ ἔφαγεν οὐδὲ ἔπιεν.
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 10] Ἦν δέ τις μαθητὴς ἐν Δαμασκῷ ὀνόματι Ἀνανίας, καὶ εἶπε πρὸς αὐτὸν ὁ Κύριος ἐν ὁράματι, Ἀνανία. Ὁ δὲ εἶπεν, Ἰδοὺ ἐγώ, Κύριε.
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 11] Ὁ δὲ Κύριος πρὸς αὐτόν, Ἀναστὰς πορεύθητι ἐπὶ τὴν ῥύμην τὴν καλουμένην Εὐθεῖαν, καὶ ζήτησον ἐν οἰκίᾳ Ἰούδα Σαῦλον ὀνόματι, Ταρσέα· ἰδοὺ γὰρ προσεύχεται,
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 12] καὶ εἶδεν ἐν ὁράματι ἄνδρα ὀνόματι Ἀνανίαν εἰσελθόντα καὶ ἐπιθέντα αὐτῷ χεῖρα, ὅπως ἀναβλέψῃ.
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 13] Ἀπεκρίθη δὲ ὁ Ἀνανίας, Κύριε, ἀκήκοα ἀπὸ πολλῶν περὶ τοῦ ἀνδρὸς τούτου, ὅσα κακὰ ἐποίησε τοῖς ἁγίοις σου ἐν Ἱερουσαλήμ·
[GRCGTR | EL | NT | Acts | Chapter 9 | Verse 14] καὶ ὧδε ἔχει ἐξουσίαν παρὰ τῶν ἀρχιερέων, δῆσαι πάντας τοὺς ἐπικαλουμένους τὸ ὄνομά σου.
