[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 1] Ἐπὶ τὸ αὐτὸ δὲ Πέτρος καὶ Ἰωάννης ἀνέβαινον εἰς τὸ ἱερὸν ἐπὶ τὴν ὥραν τῆς προσευχῆς τὴν ἐννάτην.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 2] Καί τις ἀνὴρ χωλὸς ἐκ κοιλίας μητρὸς αὐτοῦ ὑπάρχων ἐβαστάζετο· ὃν ἐτίθουν καθ᾿ ἡμέραν πρὸς τὴν θύραν τοῦ ἱεροῦ τὴν λεγομένην Ὡραίαν, τοῦ αἰτεῖν ἐλεημοσύνην παρὰ τῶν εἰσπορευομένων εἰς τὸ ἱερόν.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 3] Ὃς ἰδὼν Πέτρον καὶ Ἰωάννην μέλλοντας εἰσιέναι εἰς τὸ ἱερόν, ἠρώτα ἐλεημοσύνην + 3:3 λαβεῖν ¦ — SCR λαβεῖν.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 4] Ἀτενίσας δὲ Πέτρος εἰς αὐτὸν σὺν τῷ Ἰωάννῃ, εἶπε, Βλέψον εἰς ἡμᾶς.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 5] Ὁ δὲ ἐπεῖχεν αὐτοῖς, προσδοκῶν τι παρ᾿ αὐτῶν λαβεῖν.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 6] Εἶπε δὲ Πέτρος, Ἀργύριον καὶ χρυσίον οὐχ ὑπάρχει μοι· ὃ δὲ ἔχω, τοῦτό σοι δίδωμι. Ἐν τῷ ὀνόματι Ἰησοῦ Χριστοῦ τοῦ Ναζωραίου, ἔγειραι καὶ περιπάτει.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 7] Καὶ πιάσας αὐτὸν τῆς δεξιᾶς χειρὸς ἤγειρε· παραχρῆμα δὲ ἐστερεώθησαν αὐτοῦ αἱ βάσεις καὶ τὰ σφυρά.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 8] Καὶ ἐξαλλόμενος ἔστη καὶ περιεπάτει, καὶ εἰσῆλθε σὺν αὐτοῖς εἰς τὸ ἱερόν, περιπατῶν καὶ ἁλλόμενος καὶ αἰνῶν τὸν Θεόν.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 9] Καὶ εἶδεν αὐτὸν πᾶς ὁ λαὸς περιπατοῦντα καὶ αἰνοῦντα τὸν Θεόν·
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 10] ἐπεγίνωσκόν τε αὐτὸν ὅτι οὗτος ἦν ὁ πρὸς τὴν ἐλεημοσύνην καθήμενος ἐπὶ τῇ Ὡραίᾳ πύλῃ τοῦ ἱεροῦ· καὶ ἐπλήσθησαν θάμβους καὶ ἐκστάσεως ἐπὶ τῷ συμβεβηκότι αὐτῷ.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 11] Κρατοῦντος δὲ τοῦ ἰαθέντος χωλοῦ τὸν Πέτρον καὶ Ἰωάννην, συνέδραμε πρὸς αὐτοὺς πᾶς ὁ λαὸς ἐπὶ τῇ στοᾷ τῇ καλουμένῃ Σολομῶντος, ἔκθαμβοι.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 12] Ἰδὼν δὲ Πέτρος ἀπεκρίνατο πρὸς τὸν λαόν, Ἄνδρες Ἰσραηλῖται, τί θαυμάζετε ἐπὶ τούτῳ, ἢ ἡμῖν τί ἀτενίζετε, ὡς ἰδίᾳ δυνάμει ἢ εὐσεβείᾳ πεποιηκόσι τοῦ περιπατεῖν αὐτόν;
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 13] Ὁ Θεὸς Ἀβραὰμ καὶ Ἰσαὰκ καὶ Ἰακώβ, ὁ Θεὸς τῶν πατέρων ἡμῶν, ἐδόξασε τὸν παῖδα αὐτοῦ Ἰησοῦν· ὃν ὑμεῖς παρεδώκατε, καὶ ἠρνήσασθε αὐτὸν κατὰ πρόσωπον Πιλάτου, κρίναντος ἐκείνου ἀπολύειν.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 14] Ὑμεῖς δὲ τὸν ἅγιον καὶ δίκαιον ἠρνήσασθε, καὶ ᾐτήσασθε ἄνδρα φονέα χαρισθῆναι ὑμῖν,
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 15] τὸν δὲ ἀρχηγὸν τῆς ζωῆς ἀπεκτείνατε· ὃν ὁ Θεὸς ἤγειρεν ἐκ νεκρῶν, οὗ ἡμεῖς μάρτυρές ἐσμεν.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 16] Καὶ ἐπὶ τῇ πίστει τοῦ ὀνόματος αὐτοῦ, τοῦτον ὃν θεωρεῖτε καὶ οἴδατε ἐστερέωσε τὸ ὄνομα αὐτοῦ· καὶ ἡ πίστις ἡ δι᾿ αὐτοῦ ἔδωκεν αὐτῷ τὴν ὁλοκληρίαν ταύτην ἀπέναντι πάντων ὑμῶν.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 17] Καὶ νῦν, ἀδελφοί, οἶδα ὅτι κατὰ ἄγνοιαν ἐπράξατε, ὥσπερ καὶ οἱ ἄρχοντες ὑμῶν.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 18] Ὁ δὲ Θεὸς ἃ προκατήγγειλε διὰ στόματος πάντων τῶν προφητῶν αὐτοῦ, παθεῖν τὸν Χριστόν, ἐπλήρωσεν οὕτω.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 19] Μετανοήσατε οὖν καὶ ἐπιστρέψατε, εἰς τὸ ἐξαλειφθῆναι ὑμῶν τὰς ἁμαρτίας, ὅπως ἂν ἔλθωσι καιροὶ ἀναψύξεως ἀπὸ προσώπου τοῦ Κυρίου,
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 20] καὶ ἀποστείλῃ τὸν προκεκηρυγμένον ὑμῖν Ἰησοῦν Χριστὸν·
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 21] ὃν δεῖ οὐρανὸν μὲν δέξασθαι ἄχρι χρόνων ἀποκαταστάσεως πάντων, ὧν ἐλάλησεν ὁ Θεὸς διὰ στόματος πάντων ἁγίων αὐτοῦ προφητῶν ἀπ᾿ αἰῶνος.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 22] Μωσῆς μὲν γὰρ πρὸς τοὺς πατέρας εἶπεν ὅτι Προφήτην ὑμῖν ἀναστήσει Κύριος ὁ Θεὸς ὑμῶν ἐκ τῶν ἀδελφῶν ὑμῶν ὡς ἐμέ· αὐτοῦ ἀκούσεσθε κατὰ πάντα ὅσα ἂν λαλήσῃ πρὸς ὑμᾶς.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 23] Ἔσται δέ, πᾶσα ψυχή, ἥτις ἂν μὴ ἀκούσῃ τοῦ προφήτου ἐκείνου, ἐξολοθρευθήσεται ἐκ τοῦ λαοῦ.
[GRCGTR | EL | NT | Acts | Chapter 3 | Verse 24] Καὶ πάντες δὲ οἱ προφῆται ἀπὸ Σαμουὴλ καὶ τῶν καθεξῆς, ὅσοι ἐλάλησαν, καὶ προκατήγγειλαν τὰς ἡμέρας ταύτας.
