[GNV | EN | OT | Lamentations | Chapter 4 | Verse 1] How is the golde become so dimme? the most fine golde is changed, and the stones of the Sanctuarie are scattered in the corner of euery streete.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 2] The noble men of Zion coparable to fine golde, howe are they esteemed as earthen pitchers, euen the worke of the handes of the potter!
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 3] Euen the dragons draw out the breastes, and giue sucke to their yong, but the daughter of my people is become cruell like the ostriches in the wildernesse.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 4] The tongue of the sucking childe cleaueth to the roofe of his mouth for thirst: the yong children aske bread, but no man breaketh it vnto them.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 5] They that did feede delicately, perish in the streetes: they that were brought vp in skarlet, embrace the dongue.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 6] For the iniquitie of the daughter of my people is become greater then the sinne of Sodom, that was destroyed as in a moment, and none pitched campes against her.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 7] Her Nazarites were purer then the snowe, and whiter then ye milke: they were more ruddie in bodie, then the redde precious stones; they were like polished saphir.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 8] Nowe their visage is blacker then a cole: they can not knowe them in the streetes: their skinne cleaueth to their bones: it is withered like a stocke.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 9] They that be slaine with the sword are better, then they that are killed with hunger: for they fade away as they were striken through for the fruites of the fielde.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 10] The hands of the pitifull women haue sodden their owne children, which were their meate in the destruction of the daughter of my people.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 11] The Lord hath accomplished his indignation: he hath powred out his fierce wrath, he hath kindled a fire in Zion, which hath deuoured the foundations thereof.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 12] The Kings of the earth, and all the inhabitants of the world would not haue beleeued that the aduersarie and the enemie should haue entred into the gates of Ierusalem:
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 13] For the sinnes of her Prophets, and the iniquities of her Priests, that haue shed the blood of the iust in the middes of her.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 14] They haue wandred as blinde men in the streetes, and they were polluted with blood, so that they would not touch their garments.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 15] But they cried vnto them, Depart, ye polluted, depart, depart, touch not: therefore they fled away, and wandered: they haue sayd among the heathen, They shall no more dwell there.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 16] The anger of the Lord hath scattered them, he will no more regard them: they reuerenced not the face of the Priestes, nor had compassion of the Elders.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 17] Whiles we waited for our vaine helpe, our eyes failed: for in our waiting we looked for a nation that could not saue vs.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 18] They hunt our steppes that we cannot goe in our streetes: our ende is neere, our dayes are fulfilled, for our ende is come.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 19] Our persecuters are swifter then the eagles of the heauen: they pursued vs vpon the mountaines, and layed waite for vs in the wildernes.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 20] The breath of our nostrels, the Anoynted of the Lord was taken in their nets, of whome we sayde, Vnder his shadowe we shalbe preserued aliue among the heathen.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 21] Reioyce and be glad, O daughter Edom, that dwellest in the lande of Vz, the cuppe also shall passe through vnto thee: thou shalt be drunken and vomit.
[GNV | EN | OT | Lamentations | Chapter 4 | Verse 22] Thy punishment is accomplished, O daughter Zion: he will no more carie thee away into captiuitie, but he will visite thine iniquitie, O daughter Edom, he wil discouer thy sinnes.
