[GNV | EN | OT | Lamentations | Chapter 5 | Verse 1] Remember, O Lord, what is come vpon vs: consider, and behold our reproche.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 2] Our inheritance is turned to the strangers, our houses to the aliants.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 3] We are fatherles, euen without father, and our mothers are as widowes.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 4] Wee haue drunke our water for money, and our wood is solde vnto vs.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 5] Our neckes are vnder persecution: we are wearie, and haue no rest.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 6] We haue giuen our handes to the Egyptians, and to Asshur, to be satisfied with bread.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 7] Our fathers haue sinned, and are not, and we haue borne their iniquities.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 8] Seruants haue ruled ouer vs, none would deliuer vs out of their hands.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 9] Wee gate our bread with the perill of our liues, because of the sword of the wildernesse.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 10] Our skinne was blacke like as an ouen because of the terrible famine.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 11] They defiled the women in Zion, and the maydes in the cities of Iudah.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 12] The princes are hanged vp by their hande: the faces of the elders were not had in honour.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 13] They tooke the yong men to grinde, and the children fell vnder the wood.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 14] The Elders haue ceased from the gate and the yong men from their songs.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 15] The ioy of our heart is gone, our daunce is turned into mourning.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 16] The crowne of our head is fallen: wo nowe vnto vs, that we haue sinned.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 17] Therefore our heart is heauy for these things, our eyes are dimme,
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 18] Because of the mountaine of Zion which is desolate: the foxes runne vpon it.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 19] But thou, O Lord, remainest for euer: thy throne is from generation to generation.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 20] Wherefore doest thou forget vs for euer, and forsake vs so long time?
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 21] Turne thou vs vnto thee, O Lord, and we shalbe turned: renue our dayes as of olde.
[GNV | EN | OT | Lamentations | Chapter 5 | Verse 22] But thou hast vtterly reiected vs: thou art exceedingly angry against vs.
