[GNV | EN | OT | Lamentations | Chapter 3 | Verse 1] I am the man, that hath seene affliction in the rod of his indignation.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 2] He hath ledde mee, and brought me into darkenes, but not to light.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 3] Surely he is turned against me: he turneth his hand against me all the day.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 4] My flesh and my skinne hath he caused to waxe olde, and he hath broken my bones.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 5] He hath builded against me, and compassed me with gall, and labour.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 6] He hath set me in darke places, as they that be dead for euer.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 7] He hath hedged about mee, that I cannot get out: he hath made my chaines heauy.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 8] Also when I cry and showte, hee shutteth out my prayer.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 9] He hath stopped vp my wayes with hewen stone, and turned away my paths.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 10] He was vnto me as a beare lying in waite, and as a Lion in secret places.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 11] He hath stopped my wayes, and pulled me in pieces: he hath made me desolate.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 12] He hath bent his bow and made me a marke for the arrow.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 13] Hee caused the arrowes of his quiuer to enter into my reines.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 14] I was a derision to all my people, and their song all the day.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 15] He hath filled me with bitternes, and made me drunken with wormewood.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 16] He hath also broken my teeth with stones, and hath couered me with ashes.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 17] Thus my soule was farre off from peace: I forgate prosperitie,
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 18] And I saide, My strength and mine hope is perished from the Lord,
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 19] Remembring mine affliction, and my mourning, the wormewood and the gall.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 20] My soule hath them in remembrance, and is humbled in me.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 21] I consider this in mine heart: therefore haue I hope.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 22] It is the Lordes mercies that wee are not consumed, because his compassions faile not.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 23] They are renued euery morning: great is thy faithfulnesse.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 24] The Lord is my portion, sayth my soule: therefore wil I hope in him.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 25] The Lord is good vnto them, that trust in him, and to the soule that seeketh him.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 26] It is good both to trust, and to waite for the saluation of the Lord.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 27] It is good for a man that he beare the yoke in his youth.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 28] He sitteth alone, and keepeth silence, because he hath borne it vpon him.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 29] He putteth his mouth in the dust, if there may be hope.
[GNV | EN | OT | Lamentations | Chapter 3 | Verse 30] Hee giueth his cheeke to him that smiteth him: he is filled full with reproches.
