[LXX | EL | OT | Psalms | Chapter 78 | Verse 1] Ψαλμὸς τῷ Ἀσάφ. Ὁ Θεὸς, ἤλθοσαν ἔθνη εἰς τὴν κληρονομίαν σου, ἐμίαναν τὸν ναὸν τὸν ἅγιόν σου· ἔθεντο Ἱερουσαλὴμ εἰς ὀπωροφυλάκιον.
[LXX | EL | OT | Psalms | Chapter 78 | Verse 2] Ἔθεντο τὰ θνησιμαῖα τῶν δούλων σου βρώματα τοῖς πετεινοῖς τοῦ οὐρανοῦ, τὰς σάρκας τῶν ὁσίων σου τοῖς θηρίοις τῆς γῆς.
[LXX | EL | OT | Psalms | Chapter 78 | Verse 3] Ἐξέχεαν τὸ αἷμα αὐτῶν ὡς ὕδωρ, κύκλῳ Ἱερουσαλὴμ, καὶ οὐκ ἦν ὁ θάπτων.
[LXX | EL | OT | Psalms | Chapter 78 | Verse 4] Ἐγενήθημεν εἰς ὄνειδος τοῖς γείτοσιν ἡμῶν, μυκτηρισμὸς καὶ χλευασμὸς τοῖς κύκλῳ ἡμῶν.
[LXX | EL | OT | Psalms | Chapter 78 | Verse 5] Ἕως πότε, Κύριε, ὀργισθήσῃ εἰς τέλος; ἐκκαυθήσεται ὡς πῦρ ὁ ζῆλός σου;
[LXX | EL | OT | Psalms | Chapter 78 | Verse 6] Ἔκχεον τὴν ὀργήν σου ἐπὶ ἔθνη τὰ μὴ ἐπεγνωκότα σε, καὶ ἐπὶ βασιλείας αἳ τὸ ὄνομά σου οὐκ ἐπεκαλέσαντο.
[LXX | EL | OT | Psalms | Chapter 78 | Verse 7] Ὅτι κατέφαγον τὸν Ἰακὼβ, καὶ τὸν τόπον αὐτοῦ ἠρήμωσαν.
[LXX | EL | OT | Psalms | Chapter 78 | Verse 8] Μὴ μνησθῇς ἡμῶν ἀνομιῶν ἀρχαίων, ταχὺ προκαταλαβέτωσαν ἡμᾶς οἱ οἰκτιρμοί σου, ὅτι ἐπτωχεύσαμεν σφόδρα.
[LXX | EL | OT | Psalms | Chapter 78 | Verse 9] Βοήθησον ἡμῖν ὁ Θεὸς ὁ σωτὴρ ἡμῶν, ἕνεκα τῆς δόξης τοῦ ὀνόματός σου Κύριε ῥῦσαι ἡμᾶς, καὶ ἱλάσθητι ταῖς ἁμαρτίαις ἡμῶν ἕνεκα τοῦ ὀνόματός σου·
[LXX | EL | OT | Psalms | Chapter 78 | Verse 10] Μή ποτε εἴπωσιν ἐν τοῖς ἔθνεσι, ποῦ ἐστιν ὁ Θεὸς αὐτῶν; καὶ γνωσθήτω ἐν τοῖς ἔθνεσιν ἐνώπιον τῶν ὀφθαλμῶν ἡμῶν ἡ ἐκδίκησις τοῦ αἵματος τῶν δούλων σου τοῦ ἐκκεχυμένου.
[LXX | EL | OT | Psalms | Chapter 78 | Verse 11] Εἰσελθέτω ἐνώπιόν σου ὁ στεναγμὸς τῶν πεπεδημένων, κατὰ τὴν μεγαλωσύνην τοῦ βραχίονός σου περιποίησαι τοὺς υἱοὺς τῶν τεθανατωμένων.
[LXX | EL | OT | Psalms | Chapter 78 | Verse 12] Ἀπόδος τοῖς γείτοσιν ἡμῶν ἑπταπλάσια εἰς τὸν κόλπον αὐτῶν τὸν ὀνειδισμὸν αὐτῶν, ὃν ὠνείδισάν σε Κύριε.
[LXX | EL | OT | Psalms | Chapter 78 | Verse 13] Ἡμεῖς γὰρ λαός σου καὶ πρόβατα νομῆς σου, ἀνθομολογησόμεθά σοι εἰς τὸν αἰῶνα, εἰς γενεὰν καὶ γενεὰν ἐξαγγελοῦμεν τὴν αἴνεσίν σου.
