[LXX | EL | OT | Psalms | Chapter 63 | Verse 1] Εἰς τὸ τέλος, ψαλμὸς τῷ Δαυίδ.
[LXX | EL | OT | Psalms | Chapter 63 | Verse 2] Εἰσάκουσον ὁ Θεὸς τῆς προσευχῆς μου ἐν τῷ δέεσθαί με πρὸς σὲ, ἀπὸ φόβου ἐχθροῦ ἐξελοῦ τὴν ψυχήν μου.
[LXX | EL | OT | Psalms | Chapter 63 | Verse 3] Ἐσκέπασάς με ἀπὸ συστροφῆς πονηρευομένων, ἀπὸ πλήθους ἐργαζομένων ἀδικίαν·
[LXX | EL | OT | Psalms | Chapter 63 | Verse 4] Οἵτινες ἠκόνησαν ὡς ῥομφαίαν τὰς γλώσσας αὐτῶν, ἐνέτειναν τόξον πρᾶγμα πικρὸν,
[LXX | EL | OT | Psalms | Chapter 63 | Verse 5] τοῦ κατατοξεῦσαι ἐν ἀποκρύφοις ἄμωμον, ἐξάπινα κατατοξεύσουσιν αὐτὸν, καὶ οὐ φοβηθήσονται.
[LXX | EL | OT | Psalms | Chapter 63 | Verse 6] Ἐκραταίωσαν ἑαυτοῖς λόγον πονηρὸν, διηγήσαντο τοῦ κρύψαι παγίδας· εἶπαν, τίς ὄψεται αὐτούς;
[LXX | EL | OT | Psalms | Chapter 63 | Verse 7] Ἐξηρεύνησαν ἀνομίαν, ἐξέλιπον ἐξερευνῶντες ἐξερευνήσει· προσελεύσεται ἄνθρωπος, καὶ καρδία βαθεῖα,
[LXX | EL | OT | Psalms | Chapter 63 | Verse 8] καὶ ὑψωθήσεται ὁ Θεός· βέλος νηπίων ἐγενήθησαν αἱ πληγαὶ αὐτῶν,
[LXX | EL | OT | Psalms | Chapter 63 | Verse 9] καὶ ἐξουθένησαν αὐτὸν αἱ γλῶσσαι αὐτῶν· ἐταράχθησαν πάντες οἱ θεωροῦντες αὐτοὺς,
[LXX | EL | OT | Psalms | Chapter 63 | Verse 10] καὶ ἐφοβήθη πᾶς ἄνθρωπος· καὶ ἀνήγγειλαν τὰ ἔργα τοῦ Θεοῦ, καὶ τὰ ποιήματα αὐτοῦ συνῆκαν.
[LXX | EL | OT | Psalms | Chapter 63 | Verse 11] Εὐφρανθήσεται δίκαιος ἐν τῷ Κυρίῳ, καὶ ἐλπιεῖ ἐπʼ αὐτόν· καὶ ἐπαινεθήσονται πάντες οἱ εὐθεῖς τῇ καρδίᾳ.
