[LXX | EL | OT | Psalms | Chapter 29 | Verse 1] Εἰς τὸ τέλος, ψαλμὸς ᾠδῆς τοῦ ἐνκαινισμοῦ τοῦ οἴκου τοῦ Δαυίδ.
[LXX | EL | OT | Psalms | Chapter 29 | Verse 2] Ὑψώσω σε, Κύριε, ὅτι ὑπέλαβές με, καὶ οὐκ εὔφρανας τοὺς ἐχθρούς μου ἐπʼ ἐμέ.
[LXX | EL | OT | Psalms | Chapter 29 | Verse 3] Κύριε ὁ Θεός μου, ἐκέκραξα πρὸς σὲ, καὶ ἰάσω με·
[LXX | EL | OT | Psalms | Chapter 29 | Verse 4] Κύριε, ἀνήγαγες ἐξ ᾅδου τὴν ψυχήν μου, ἔσωσάς με ἀπὸ τῶν καταβαινόντων εἰς λάκκον.
[LXX | EL | OT | Psalms | Chapter 29 | Verse 5] Ψάλατε τῷ Κυρίῳ οἱ ὅσιοι αὐτοῦ, καὶ ἐξομολογεῖσθε τῇ μνήμῃ τῆς ἁγιωσύνης αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 29 | Verse 6] Ὅτι ὀργὴ ἐν τῷ θυμῷ αὐτοῦ, καὶ ζωὴ ἐν τῷ θελήματι αὐτοῦ· τοεσπέρας αὐλισθήσεται κλαυθμὸς, καὶ εἰς τοπρωῒ ἀγαλλίασις.
[LXX | EL | OT | Psalms | Chapter 29 | Verse 7] Ἐγὼ δὲ εἶπα ἐν τῇ εὐθηνίᾳ μου, οὐ μὴ σαλευθῶ εἰς τὸν αἰῶνα.
[LXX | EL | OT | Psalms | Chapter 29 | Verse 8] Κύριε, ἐν τῷ θελήματί σου παρέσχου τῷ κάλλει μου δύναμιν· ἀπέστρεψας δὲ τὸ πρόσωπόν σου, καὶ ἐγενήθην τεταραγμένος.
[LXX | EL | OT | Psalms | Chapter 29 | Verse 9] Πρὸς σὲ Κύριε κεκράξομαι, καὶ πρὸς τὸν Θεόν μου δεηθήσομαι.
[LXX | EL | OT | Psalms | Chapter 29 | Verse 10] Τίς ὠφέλεια ἐν τῷ αἵματί μου, ἐν τῷ καταβῆναί με εἰς διαφθοράν; μὴ ἐξομολογήσεταί σοι χοῦς; ἢ ἀναγγελεῖ τὴν ἀλήθειάν σου;
[LXX | EL | OT | Psalms | Chapter 29 | Verse 11] Ἤκουσε Κύριος, καὶ ἠλέησέ με, Κύριος ἐγενήθη βοηθός μου.
