[LXX | EL | OT | Psalms | Chapter 26 | Verse 1] Τοῦ Δαυὶδ, πρὸ τοῦ χρισθῆναι. Κύριος φωτισμός μου καὶ σώτηρ μου, τίνα φοβηθήσομαι; Κύριος ὑπερασπιστὴς τῆς ζωῆς μου, ἀπὸ τίνος δειλιάσω;
[LXX | EL | OT | Psalms | Chapter 26 | Verse 2] Ἐν τῷ ἐγγίζειν ἐπʼ ἐμὲ κακοῦντας, τοῦ φαγεῖν τὰς σάρκας μου, οἱ θλίβοντες με καὶ οἱ ἐχθροί μου, αὐτοὶ ἠσθένησαν καὶ ἔπεσαν.
[LXX | EL | OT | Psalms | Chapter 26 | Verse 3] Ἐὰν παρατάξηται ἐπʼ ἐμὲ παρεμβολὴ, οὐ φοβηθήσεται ἡ καρδία μου· ἐὰν ἐπαναστῇ ἐπʼ ἐμὲ πόλεμος, ἐν ταύτῃ ἐγὼ ἐλπιζω.
[LXX | EL | OT | Psalms | Chapter 26 | Verse 4] Μίαν ᾐτησάμην παρὰ Κυρίου, ταύτην ἐκζητήσω, τοῦ κατοικεῖν με ἐν οἴκῳ Κυρίου πάσας τὰς ἡμέρας τῆς ζωῆς μου, τοῦ θεωρεῖν με τὴν τερπνότητα Κυρίου, καὶ ἐπισκέπτεσθαι τὸν ναὸν αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 26 | Verse 5] Ὅτι ἔκρυψέ με ἐν σκηνῇ αὐτοῦ ἐν ἡμέρᾳ κακῶν μου, ἐσκέπασέ με ἐν ἀποκρύφῳ τῆς σκῆνης αὐτοῦ· ἐν πέτρᾳ ὕψωσέ με,
[LXX | EL | OT | Psalms | Chapter 26 | Verse 6] καὶ νῦν ἰδοὺ ὕψωσε τὴν κεφαλήν μου ἐπʼ ἐχθρούς μου· ἐκύκλωσα καὶ ἔθυσα ἐν τῇ σκηνῇ αὐτοῦ θυσίαν ἀλαλαγμοῦ, ᾄσομαι καὶ ψαλῶ τῷ Κυρίῳ·
[LXX | EL | OT | Psalms | Chapter 26 | Verse 7] Εἰσάκουσον, Κύριε, τῆς φωνῆς μου ἧς ἐκέκραξα, ἐλέησόν με, καὶ εἰσάκουσόν μου.
[LXX | EL | OT | Psalms | Chapter 26 | Verse 8] Σοὶ εἶπεν ἡ καρδία μου, ἐξεζήτησα τὸ πρόσωπόν σου, τὸ πρόσωπόν σου Κύριε ζητήσω.
[LXX | EL | OT | Psalms | Chapter 26 | Verse 9] Μὴ ἀποστρέψῃς τὸ πρόσωπόν σου ἀπʼ ἐμοῦ, μὴ ἐκκλίνῃς ἐν ὀργῇ ἀπὸ τοῦ δούλου σου· βοηθός μου γενοῦ, μὴ ἐγκαταλίπῃς με, καὶ μὴ ὑπερίδῃς με ὁ Θεὸς ὁ σωτήρ μου.
[LXX | EL | OT | Psalms | Chapter 26 | Verse 10] Ὅτι ὁ πατήρ μου καὶ ἡ μήτηρ μου ἐγκατέλιπόν με, ὁ δὲ Κύριος προσελάβετό με.
[LXX | EL | OT | Psalms | Chapter 26 | Verse 11] Νομοθέτησόν με, Κύριε, ἐν τῇ ὁδῷ σου, καὶ ὁδήγησόν με ἐν τρίβῳ εὐθείᾳ ἕνεκα τῶν ἐχθρῶν μου.
[LXX | EL | OT | Psalms | Chapter 26 | Verse 12] Μὴ παραδῷς με εἰς ψυχὰς θλιβόντων με, ὅτι ἐπανέστησάν μοι μάρτυρες ἄδικοι, καὶ ἐψεύσατο ἡ ἀδικία ἑαυτῇ.
