[LXX | EL | OT | Psalms | Chapter 36 | Verse 1] Τῷ Δαυίδ. Μὴ παραζήλου ἐν πονηρευομένοις, μηδὲ ζήλου τοὺς ποιοῦντας τὴν ἀνομίαν.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 2] Ὅτι ὡσεὶ χόρτος ταχὺ ἀποξηρανθήσονται, καὶ ὡσεὶ λάχανα χλόης ταχὺ ἀποπεσοῦνται.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 3] Ἔλπισον ἐπὶ Κύριον, καὶ ποίει χρηστότητα, καὶ κατασκήνου τὴν γῆν, καὶ ποιμανθήσῃ ἐπὶ τῷ πλούτῳ αὐτῆς.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 4] Κατατρύφησον τοῦ Κυρίου, καὶ δώσει σοι τὰ αἰτήματα τῆς καρδίας σου.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 5] Ἀποκάλυψον πρὸς Κύριον τὴν ὁδόν σου, καὶ ἔλπισον ἐπʼ αὐτὸν, καὶ αὐτὸς ποιήσει.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 6] Καὶ ἐξοίσει ὡς φῶς τὴν δικαιοσύνην σου, καὶ τὸ κρίμα σου ὡς μεσημβρίαν.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 7] Ὑποτάγηθι τῷ Κυρίῳ, καὶ ἱκέτευσον αὐτόν· μὴ παραζήλου ἐν τῷ κατευοδουμένῳ ἐν τῇ ὁδῷ αὐτοῦ, ἐν ἀνθρώπῳ ποιοῦντι παρανομίας.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 8] Παῦσαι ἀπὸ ὀργῆς καὶ ἐνκατάλιπε θυμὸν, μὴ παραζήλου ὥστε πονηρεύεσθαι.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 9] Ὅτι οἱ πονηρευόμενοι ἐξολοθρευθήσονται, οἱ δὲ ὑπομένοντες τὸν Κύριον, αὐτοὶ κληρονομήσουσι τὴν γῆν.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 10] Καὶ ἔτι ὀλίγον καὶ οὐ μὴ ὑπάρξῃ ἁμαρτωλὸς, καὶ ζητήσεις τὸν τόπον αὐτοῦ, καὶ οὐ μὴ εὕρῃς.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 11] Οἱ δὲ πρᾳεῖς κληρονομήσουσι γῆν, καὶ κατατρυφήσουσιν ἐπὶ πλήθει εἰρήνης.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 12] Παρατηρήσεται ὁ ἁμαρτωλὸς τὸν δίκαιον, καὶ βρύξει ἐπʼ αὐτὸν τοὺς ὀδόντας αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 36 | Verse 13] Ὁ δὲ Κύριος ἐκγελάσεται αὐτὸν, ὅτι προβλέτει ὅτι ἥξει ἡ ἡμέρα αὐτοῦ.
