[LXX | EL | OT | Psalms | Chapter 106 | Verse 1] Ἀλληλούϊα. Ἐξομολογεῖσθε τῷ Κυρίῳ, ὅτι χρηστὸς, ὅτι εἰς τὸν αἰῶνα τὸ ἔλεος αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 2] Εἰπάτωσαν οἱ λελυτρωμένοι ὑπὸ Κυρίου, οὓς ἐλυτρώσατο ἐκ χειρὸς ἐχθροῦ,
[LXX | EL | OT | Psalms | Chapter 106 | Verse 3] καὶ ἐκ τῶν χωρῶν συνήγαγεν αὐτούς· ἀπὸ ἀνατολῶν, καὶ δυσμῶν, καὶ βοῤῥᾶ, καὶ θαλάσσης.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 4] Ἐπλανήθησαν ἐν τῇ ἐρήμῳ ἐν ἀνύδρῳ· ὁδὸν πόλεως κατοικητηρίου οὐχ εὗρον·
[LXX | EL | OT | Psalms | Chapter 106 | Verse 5] Πεινῶντες καὶ διψῶντες, ἡ ψυχὴ αὐτῶν ἐν αὐτοῖς ἐξέλιπε.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 6] Καὶ ἐκέκραξαν πρὸς Κύριον ἐν τῷ θλίβεσθαι αὐτοὺς, καὶ ἐκ τῶν ἀναγκῶν αὐτῶν ἐῤῥύσατο αὐτούς·
[LXX | EL | OT | Psalms | Chapter 106 | Verse 7] Καὶ ὡδήγησεν αὐτοὺς εἰς ὁδὸν εὐθεῖαν, τοῦ πορευθῆναι εἰς πόλιν κατοικητηρίου.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 8] Ἐξομολογησάσθωσαν τῷ Κυρίῳ τὰ ἐλέη αὐτοῦ, καὶ τὰ θαυμάσια αὐτοῦ τοῖς υἱοῖς τῶν ἀνθρώπων.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 9] Ὅτι ἐχόρτασε ψυχὴν κενὴν, καὶ πεινῶσαν ἐνέπλησεν ἀγαθῶν.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 10] Καθημένους ἐν σκότει καὶ σκιᾷ θανάτου, πεπεδημένους ἐν πτωχείᾳ καὶ σιδήρῳ·
[LXX | EL | OT | Psalms | Chapter 106 | Verse 11] Ὅτι παρεπίκραναν τὰ λόγια τοῦ Θεοῦ, καὶ τὴν βουλὴν τοῦ ὑψίστου παρώξυναν·
[LXX | EL | OT | Psalms | Chapter 106 | Verse 12] Καὶ ἐταπεινώθη ἐν κόποις ἡ καρδία αὐτῶν, ἠσθένησαν καὶ οὐκ ἦν ὁ βοηθῶν.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 13] Καὶ ἐκέκραξαν πρὸς Κύριον ἐν τῷ θλίβεσθαι αὐτοὺς, καὶ ἐκ τῶν ἀναγκῶν αὐτῶν ἔσωσεν αὐτούς.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 14] Καὶ ἐξήγαγεν αὐτοὺς ἐκ σκότους καὶ σκιᾶς θανάτου, καὶ τοὺς δεσμοὺς αὐτῶν διέῤῥηξεν.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 15] Ἐξομολογησάσθωσαν τῷ Κυρίῳ τὰ ἐλέη αὐτοῦ, καὶ τὰ θαυμάσια αὐτοῦ τοῖς υἱοῖς τῶν ἀνθρώπων.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 16] Ὅτι συνέτριψε πύλας χαλκᾶς, καὶ μοχλοὺς σιδηροὺς συνέθλασεν.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 17] Ἀντελάβετο αὐτῶν ἐξ ὁδοῦ ἀνομίας αὐτῶν, διὰ γὰρ τὰς ἀνομίας αὐτῶν ἐταπεινώθησαν.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 18] Πᾶν βρῶμα ἐβδελύξατο ἡ ψυχὴ αὐτῶν, καὶ ἤγγισαν ἕως τῶν πυλῶν τοῦ θανάτου.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 19] Καὶ ἐκέκραξαν πρὸς Κύριον ἐν τῷ θλίβεσθαι αὐτοὺς, καὶ ἐκ τῶν ἀναγκῶν αὐτῶν ἔσωσεν αὐτούς.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 20] Ἀπέστειλε τὸν λόγον αὐτοῦ, καὶ ἰάσατο αὐτοὺς, καὶ ἐῤῥύσατο αὐτοὺς ἐκ τῶν διαφθορῶν αὐτῶν.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 21] Ἐξομολογησάσθωσαν τῷ Κυρίῳ τὰ ἐλέη αὐτοῦ, καὶ τὰ θαυμάσια αὐτοῦ τοῖς υἱοῖς τῶν ἀνθρώπων·
[LXX | EL | OT | Psalms | Chapter 106 | Verse 22] Καὶ θυσάτωσαν αὐτῷ θυσίαν αἰνέσεως, καὶ ἐξαγγειλάτωσαν τὰ ἔργα αὐτοῦ ἐν ἀγαλλιάσει.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 23] Οἱ καταβαίνοντες εἰς θάλασσαν ἐν πλοίοις, ποιοῦντες ἐργασίαν ἐν ὕδασι πολλοῖς,
[LXX | EL | OT | Psalms | Chapter 106 | Verse 24] αὐτοὶ εἶδον τὰ ἔργα Κυρίου, καὶ τὰ θαυμάσια αὐτοῦ ἐν τῷ βυθῷ.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 25] Εἶπε, καὶ ἔστη πνεῦμα καταιγίδος, καὶ ὑψώθη τὰ κύματα αὐτῆς.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 26] Ἀναβαίνουσιν ἕως τῶν οὐρανῶν, καὶ καταβαίνουσιν ἕως τῶν ἀβύσσων· ἡ ψυχὴ αὐτῶν ἐν κακοῖς ἐτήκετο,
[LXX | EL | OT | Psalms | Chapter 106 | Verse 27] ἐταράχθησαν, ἐσαλεύθησαν ὡς ὁ μεθύων, καὶ πᾶσα ἡ σοφία αὐτῶν κατεπόθη.
[LXX | EL | OT | Psalms | Chapter 106 | Verse 28] Καὶ ἐκέκραξαν πρὸς Κύριον ἐν τῷ θλίβεσθαι αὐτοὺς, καὶ ἐκ τῶν ἀναγκῶν αὐτῶν ἐξήγαγεν αὐτούς.
