[LXX | EL | OT | Psalms | Chapter 62 | Verse 1] Ψαλμὸς τῷ Δαυὶδ, ἐν τῷ εἶναι αὐτὸν ἐν τῇ ἐρήμῳ τῆς Ἰδουμαίας.
[LXX | EL | OT | Psalms | Chapter 62 | Verse 2] Ὁ Θεὸς ὁ Θεός μου πρὸς σὲ ὀρθρίζω, ἐδίψησέ σοι ἡ ψυχή μου, ποσαπλῶς σοι ἡ σάρξ μου, ἐν γῇ ἐρήμῳ καὶ ἀβάτῳ καὶ ἀνύδρῳ,
[LXX | EL | OT | Psalms | Chapter 62 | Verse 3] οὕτως ἐν τῷ ἁγίῳ ὤφθην σοι, τοῦ ἰδεῖν τὴν δύναμίν σου καὶ τὴν δόξαν σου.
[LXX | EL | OT | Psalms | Chapter 62 | Verse 4] Ὅτι κρεῖσσον τὸ ἔλεός σου ὑπὲρ ζωὰς, τὰ χείλη μου ἐπαινέσουσί σε.
[LXX | EL | OT | Psalms | Chapter 62 | Verse 5] Οὕτως εὐλογήσω σε ἐν τῇ ζωῇ μου, ἐν τῷ ὀνόματί σου ἀρῶ τὰς χεῖράς μου.
[LXX | EL | OT | Psalms | Chapter 62 | Verse 6] Ὡσεὶ στέατος καὶ πιότητος ἐμπλησθείη ἡ ψυχή μου, καὶ χείλη ἀγαλλιάσεως αἰνέσει τὸ ὄνομά σου.
[LXX | EL | OT | Psalms | Chapter 62 | Verse 7] Εἰ ἐμνημόνευόν σου ἐπὶ τῆς στρωμνῆς μου, ἐν τοῖς ὄρθροις ἐμελέτων εἰς σέ.
[LXX | EL | OT | Psalms | Chapter 62 | Verse 8] Ὅτι ἐγενήθης βοηθός μου, καὶ ἐν τῇ σκέπῃ τῶν πτερύγων σου ἀγαλλιάσομαι.
[LXX | EL | OT | Psalms | Chapter 62 | Verse 9] Ἐκολλήθη ἡ ψυχή μου ὀπίσω σου, ἐμοῦ ἀντελάβετο ἡ δεξιά σου.
[LXX | EL | OT | Psalms | Chapter 62 | Verse 10] Αὐτοὶ δὲ εἰς μάτην ἐζήτησαν τὴν ψυχήν μου, εἰσελεύσονται εἰς τὰ κατώτατα τῆς γῆς,
[LXX | EL | OT | Psalms | Chapter 62 | Verse 11] παραδοθήσονται εἰς χεῖρας ῥομφαίας, μερίδες ἀλωπέκων ἔσονται.
[LXX | EL | OT | Psalms | Chapter 62 | Verse 12] Ὁ δὲ βασιλεὺς εὐφρανθήσεται ἐπὶ τῷ Θεῷ, ἐπαινεθήσεται πᾶς ὁ ὀμνύων ἐν αὐτῷ, ὅτι ἐνεφράγη στόμα λαλούντων ἄδικα.
