[LXX | EL | OT | Psalms | Chapter 148 | Verse 1] Ἀλληλούϊα· Ἀγγαίου καὶ Ζαχαρίου. Αἰνεῖτε τὸν Κύριον ἐκ τῶν οὐρανῶν, αἰνεῖτε αὐτὸν ἐν τοῖς ὑψίστοις.
[LXX | EL | OT | Psalms | Chapter 148 | Verse 2] Αἰνεῖτε αὐτόν πάντες οἱ ἄγγελοι αὐτοῦ, αἰνεῖτε αὐτόν πᾶσαι αἱ δυνάμεις αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 148 | Verse 3] Αἰνεῖτε αὐτόν ἥλιος καὶ σελήνη, αἰνεῖτε αὐτόν πάντα τὰ ἄστρα καὶ τὸ φῶς.
[LXX | EL | OT | Psalms | Chapter 148 | Verse 4] Αἰνεῖτε αὐτόν οἱ οὐρανοὶ τῶν οὐρανῶν, καὶ τὸ ὕδωρ τὸ ὑπεράνω τῶν οὐρανῶν.
[LXX | EL | OT | Psalms | Chapter 148 | Verse 5] Αἰνεσάτωσαν τὸ ὄνομα Κυρίου· ὅτι αὐτὸς εἶπεν καὶ ἐγενήθησαν, αὐτὸς ἐνετείλατο καὶ ἐκτίσθησαν.
[LXX | EL | OT | Psalms | Chapter 148 | Verse 6] Ἔστησεν αὐτὰ εἰς τὸν αἰῶνα, καὶ εἰς τὸν αἰῶνα τοῦ αἰῶνος· πρόσταγμα ἔθετο, καὶ οὐ παρελεύσεται.
[LXX | EL | OT | Psalms | Chapter 148 | Verse 7] Αἰνεῖτε τὸν Κύριον ἐκ τῆς γῆς, δράκοντες καὶ πᾶσαι ἄβυσσοι·
[LXX | EL | OT | Psalms | Chapter 148 | Verse 8] Πῦρ, χάλαζα, χιὼν, κρύσταλλος, πνεῦμα καταιγίδος, τὰ ποιοῦντα τὸν λόγον αὐτοῦ·
[LXX | EL | OT | Psalms | Chapter 148 | Verse 9] Τὰ ὄρη καὶ πάντες βουνοί, ξύλα καρποφόρα καὶ πᾶσαι κέδροι·
[LXX | EL | OT | Psalms | Chapter 148 | Verse 10] Τὰ θηρία καὶ πάντα τὰ κτήνη, ἑρπετὰ καὶ πετεινὰ πτερωτά·
[LXX | EL | OT | Psalms | Chapter 148 | Verse 11] Βασιλεῖς τῆς γῆς καὶ πάντες λαοί, ἄρχοντες καὶ πάντες κριταὶ γῆς·
[LXX | EL | OT | Psalms | Chapter 148 | Verse 12] Νεανίσκοι καὶ παρθένοι, πρεσβύται μετὰ νεωτέρων
[LXX | EL | OT | Psalms | Chapter 148 | Verse 13] αἰνεσάτωσαν τὸ ὄνομα Κυρίου, ὅτι ὑψώθη τὸ ὄνομα αὐτοῦ μόνου· ἡ ἐξομολόγησις αὐτοῦ ἐπὶ γῆς καὶ οὐρανοῦ,
[LXX | EL | OT | Psalms | Chapter 148 | Verse 14] καὶ ὑψώσει κέρας λαοῦ αὐτοῦ· ὕμονς πᾶσι τοῖς ὁσίοις αὐτοῦ, τοῖς υἱοῖς Ἰσραήλ, λαῷ ἐγγίζοντι αὐτῷ.
