[LXX | EL | OT | Psalms | Chapter 32 | Verse 1] Τῷ Δαυίδ. Ἀγαλλιᾶσθε δίκαιοι ἐν τῷ Κυρίῳ, τοῖς εὐθέσι πρέπει αἴνεσις.
[LXX | EL | OT | Psalms | Chapter 32 | Verse 2] Ἐξομολογεῖσθε τῷ Κυρίῳ ἐν κιθάρᾳ, ἐν ψαλτηρίῳ δεκαχόρδῳ ψάλατε αὐτῷ.
[LXX | EL | OT | Psalms | Chapter 32 | Verse 3] Ἄσατε αὐτῷ ᾆσμα καινὸν, καλῶς ψάλατε ἐν ἀλαλαγμῷ.
[LXX | EL | OT | Psalms | Chapter 32 | Verse 4] Ὅτι εὐθὴς ὁ λόγος τοῦ Κυρίου, καὶ πάντα τὰ ἔργα αὐτοῦ ἐν πίστει.
[LXX | EL | OT | Psalms | Chapter 32 | Verse 5] Ἀγαπᾷ ἐγεημοσύνην καὶ κρίσιν, τοῦ ἐλέους Κυρίου πλήρης ἡ γῆ.
[LXX | EL | OT | Psalms | Chapter 32 | Verse 6] Τῷ λόγῳ τοῦ Κυρίου οἱ οὐρανοὶ ἐστερεώθησαν, καὶ τῷ πνεύματι τοῦ στόματος αὐτοῦ πᾶσα ἡ δύναμις αὐτῶν.
[LXX | EL | OT | Psalms | Chapter 32 | Verse 7] Συνάγων ὡσεὶ ἀσκὸν ὕδατα θαλάσσης, τιθεὶς ἐν θησαυροῖς ἀβύσσους.
[LXX | EL | OT | Psalms | Chapter 32 | Verse 8] Φόβηθήτω τὸν Κύριον πᾶσα ἡ γῆ, ἀπʼ αὐτοῦ δὲ σαλευθήτωσαν πάντες οἱ κατοικοῦντες τὴν οἰκουμένην.
[LXX | EL | OT | Psalms | Chapter 32 | Verse 9] Ὅτι αὐτὸς εἶπε καὶ ἐγενήθησαν, αὐτὸς ἐνετείλατο καὶ ἐκτίσθησαν.
[LXX | EL | OT | Psalms | Chapter 32 | Verse 10] Κύριος διασκεδάζει βουλὰς ἐθνῶν, ἀθετεῖ δὲ λογισμοὺς λαῶν, καὶ ἀθετεῖ βουλὰς ἀρχόντων.
[LXX | EL | OT | Psalms | Chapter 32 | Verse 11] Ἡ δὲ βουλὴ τοῦ Κυρίου εἰς τὸν αἰῶνα μένει, λογισμοὶ τῆς καρδίας αὐτοῦ ἀπὸ γενεῶν εἰς γενεάς.
