[LXX | EL | OT | Psalms | Chapter 6 | Verse 1] Εἰς τὸ τέλος, ἐν ὕμνοις ὑπὲρ τῆς ὀγδόης, ψαλμὸς τῷ Δαυίδ.
[LXX | EL | OT | Psalms | Chapter 6 | Verse 2] Κύριε, μὴ τῷ θυμῷ σου ἐλέγξῃς με, μηδὲ τῇ ὀργῇ σου παιδεύσῃς με.
[LXX | EL | OT | Psalms | Chapter 6 | Verse 3] Ἐλέησόν με Κύριε, ὅτι ἀσθενής εἰμι· ἴασαί με Κύριε, ὅτι ἐταράχθη τὰ ὀστᾶ μου.
[LXX | EL | OT | Psalms | Chapter 6 | Verse 4] Καὶ ἡ ψυχή μου ἐταράχθη σφόδρα· καὶ σὺ Κύριε ἕως πότε;
[LXX | EL | OT | Psalms | Chapter 6 | Verse 5] Ἐπίστρεψον Κύριε, ῥῦσαι τὴν ψυχήν μου· σῶσόν με ἕνεκεν τοῦ ἐλέους σου,
[LXX | EL | OT | Psalms | Chapter 6 | Verse 6] ὅτι οὐκ ἔστιν ἐν τῷ θανάτῳ ὁ μνημονεύων σου, ἐν δὲ τῷ ᾅδῃ τίς ἐξομολογήσεταί σοι;
[LXX | EL | OT | Psalms | Chapter 6 | Verse 7] Ἐκοπίασα ἐν στεναγμῷ μου, λούσω καθʼ ἑκάστην νύκτα τὴν κλίνην μου, ἐν δάκρυσί μου τὴν στρωμνήν μου βρέξω.
[LXX | EL | OT | Psalms | Chapter 6 | Verse 8] Ἐταράχθη ἀπὸ θυμοῦ ὁ ὀφθαλμός μου, ἐπαλαιώθην ἐν πᾶσι τοῖς ἐχθροῖς μου.
[LXX | EL | OT | Psalms | Chapter 6 | Verse 9] Ἀπόστητε ἀπʼ ἐμοῦ πάντες οἱ ἐργαζόμενοι τὴν ἀνομίαν, ὅτι εἰσήκουσε Κύριος τῆς φωνῆς τοῦ κλαυθμοῦ μου.
[LXX | EL | OT | Psalms | Chapter 6 | Verse 10] Εἰσήκουσε Κύριος τῆς δεήσεώς μου, Κύριος τὴν προσευχήν μου προσεδέξατο.
[LXX | EL | OT | Psalms | Chapter 6 | Verse 11] Αἰσχυνθείησαν καὶ ταραχθείησαν σφόδρα πάντες οἱ ἐχθροί μου, ἐπιστραφείησαν καὶ αἰσχυνθείησαν σφόδρα διὰ τάχους.
