[LXX | EL | OT | Psalms | Chapter 17 | Verse 1] Εἰς τὸ τέλος τῷ παιδὶ Κυρίου τῷ Δαυὶδ, ἃ ἐλάλησε τῷ Κυρίῳ, τοὺς λόγους τῆς ᾠδῆς ταύτης, ἐν ἡμέρᾳ ᾗ ἐῤῥύσατο αὐτὸν Κύριος ἐκ χειρὸς πάντων τῶν ἐχθρῶν αὐτοῦ, καὶ ἐκ χειρὸς Σαοὺλ, καὶ εἶπεν,
[LXX | EL | OT | Psalms | Chapter 17 | Verse 2] Αγαπήσω σε, Κύριε ἰσχύς μου.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 3] Κύριος στερέωμά μου, καὶ καταφυγή μου, καὶ ῥύστης μου· ὁ Θεός μου βοηθός μου, ἐλπιῶ ἐπʼ αὐτόν· ὑπερασπιστής μου, καὶ κέρας σωτηρίας μου, καὶ ἀντιλήπτωρ μου.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 4] Αἰνῶν ἐπικαλέσομαι Κύριον, καὶ ἐκ τῶν ἐχθρῶν μου σωθήσομαι.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 5] Περιέσχον με ὠδῖνες θανάτου, καὶ χείμαῤῥοι ἀνομίας ἐξετάραξάν με.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 6] Ὠδῖνες ᾅδου περιεκύκλωσάν με, προέφθασάν με παγίδες θανάτου.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 7] Καὶ ἐν τῷ θλίβεσθαί με ἐπεκαλεσάμην τὸν Κύριον, καὶ πρὸς τὸν Θεόν μου ἐκέκραξα· ἤκουσεν ἐκ ναοῦ ἁγίου αὐτοῦ φωνῆς μου. καὶ ἡ κραυγή μου ἐνώπιον αὐτοῦ εἰσελεύσεται εἰς τὰ ὦτα αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 8] Καὶ ἐσαλεύθη, καὶ ἔντρόμος ἐγενήθη ἡ γῆ, καὶ τὰ θεμέλια τῶν ὀρέων ἐταράχθησαν, καὶ ἐσαλεύθησαν, ὅτι ὠργίσθη αὐτοῖς ὁ Θεός.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 9] Ἀνέβη καπνὸς ἐν ὀργῇ αὐτοῦ, καὶ πῦρ ἀπὸ προσώπου αὐτοῦ κατεφλόγισεν, ἄνθρακες ἀνήφθησαν ἀπʼ αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 10] Καὶ ἔκλινεν οὐρανὸν καὶ κατέβη, καὶ γνόφος ὑπὸ τοὺς πόδας αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 11] Καὶ ἐπέβη ἐπὶ χερουβὶμ καὶ ἐπετάσθη, ἐπετάσθη ἐπὶ πτερύγων ἀνέμων.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 12] Καὶ ἔθετο σκότος ἀποκρυφὴν αὐτοῦ, κύκλῳ αὐτοῦ ἡ σκηνὴ αὐτοῦ, σκοτεινὸν ὕδωρ ἐν νεφέλαις ἀέρων.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 13] Ἀπὸ τῆς τηλαυγήσεως ἐνώπιον αὐτοῦ αἱ νεφέλαι διῆλθον, χάλαζα καὶ ἄνθρακες πυρός.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 14] Καὶ ἐβρόντησεν ἐξ οὐρανοῦ Κύριος, καὶ ὁ ὕψιστος ἔδωκε φωνὴν αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 17 | Verse 15] Καὶ ἐξαπέστειλε βέλη καὶ ἐσκόρπισεν αὐτοὺς, καὶ ἀστραπὰς ἐπλήθυνε καὶ συνετάραξεν αὐτούς.
