[LXX | EL | OT | Psalms | Chapter 58 | Verse 1] Εἰς τὸ τέλος, μὴ διαφθείρῃς, τῷ Δαυὶδ εἰς στηλογραφίαν, ὁπότε ἀπέστειλε Σαοὺλ, καὶ ἐφύλαξε τὸν οἶκον αὐτοῦ τοῦ θανατῶσαι αὐτόν.
[LXX | EL | OT | Psalms | Chapter 58 | Verse 2] Ἐξελοῦ με ἐκ τῶν ἐχθρῶν μου ὁ Θεὸς, καὶ ἐκ τῶν ἐπανισταμένων ἐπʼ ἐμὲ λύτρωσαί με.
[LXX | EL | OT | Psalms | Chapter 58 | Verse 3] Ῥῦσαί με ἐκ τῶν ἐργαζομένων τὴν ἀνομίαν, καὶ ἐξ ἀνδρῶν αἱμάτων σῶσόν με.
[LXX | EL | OT | Psalms | Chapter 58 | Verse 4] Ὅτι ἰδοὺ ἐθήρευσαν τὴν ψυχήν μου, ἐπέθεντο ἐπʼ ἐμὲ κραταιοί· οὔτε ἡ ἀνομία μου, οὔτε ἡ ἁμαρτία μου Κύριε·
[LXX | EL | OT | Psalms | Chapter 58 | Verse 5] Ανευ ἀνομίας ἔδραμον καὶ κατεύθυνα· ἐξεγέρθητι εἰς συνάντησίν μου, καὶ ἴδε.
[LXX | EL | OT | Psalms | Chapter 58 | Verse 6] Καὶ σὺ Κύριε ὁ Θεὸς τῶν δυνάμεων ὁ Θεὸς τοῦ Ἰσραὴλ, πρόσχες τοῦ ἐπισκέψασθαι πάντα τὰ ἔθνη, μὴ οἰκτειρήσῃς πάντας τοὺς ἐργαζομένους τὴν ἀνομίαν· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 58 | Verse 7] Ἐπιστρέψουσιν εἰς ἑσπέραν, καὶ λιμώξουσιν ὡς κύων, καὶ κυκλώσουσιν πόλιν.
[LXX | EL | OT | Psalms | Chapter 58 | Verse 8] Ἰδοὺ ἀποφθέγξονται ἐν τῷ στόματι αὐτῶν, καὶ ῥομφαία ἐν τοῖς χείλεσιν αὐτῶν, ὅτι τίς ἤκουσε;
[LXX | EL | OT | Psalms | Chapter 58 | Verse 9] Καὶ δὺ Κύριε ἐκγελάσῃ αὐτοὺς, ἐξουδενώσεις τάντα τὰ ἔθνη.
[LXX | EL | OT | Psalms | Chapter 58 | Verse 10] Τὸ κράτος μου πρὸς σὲ φυλάξω, ὅτι σὺ ὁ Θεὸς ἀντιλήμπτωρ μου εἶ.
[LXX | EL | OT | Psalms | Chapter 58 | Verse 11] Ὁ Θεός μου, τὸ ἔλεος αὐτοῦ προφθάσει με, ὁ Θεός μου δείξει μοι ἐν τοῖς ἐχθροῖς μου.
[LXX | EL | OT | Psalms | Chapter 58 | Verse 12] Μὴ ἀποκτείνῃς αὐτοὺς, μήποτε ἐπιλάθωνται τοῦ νόμου σου· διασκόρπισον αὐτοὺς ἐν τῇ δυνάμει σου, καὶ κατάγαγε αὐτοὺς ὁ ὑπερασπιστής μου Κύριε.
