[LXX | EL | OT | Psalms | Chapter 7 | Verse 1] Ψαλμὸς τῷ Δαυὶδ, ὃν ᾖσε τῷ Κυρίῳ ὑπὲρ τῶν λόγων Χουσὶ υἱοῦ Ἰεμενεί.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 2] Κύριε ὁ Θεός μου, ἐπὶ σοὶ ἤλπισα, σῶσόν με ἐκ πάντων τῶν διωκόντων με, καὶ ῥῦσαί με,
[LXX | EL | OT | Psalms | Chapter 7 | Verse 3] μή ποτε ἁρπάσῃ ὡς λέων τὴν ψυχήν μου, μὴ ὄντος λυτρουμένου, μηδὲ σώζοντος.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 4] Κύριε ὁ Θεός μου, εἰ ἐποίησα τοῦτο, εἰ ἔστιν ἀδικία ἐν χερσί μου,
[LXX | EL | OT | Psalms | Chapter 7 | Verse 5] εἰ ἀνταπέδωκα τοῖς ἀνταποδιδοῦσί μοι κακὰ, ἀποπέσοιμι ἄρα ἀπὸ τῶν ἐχθρῶν μου κενός·
[LXX | EL | OT | Psalms | Chapter 7 | Verse 6] Καταδιώξαι ὁ ἐχθρὸς τὴν ψυχήν μου καὶ καταλάβοι, καὶ καταπατήσαι εἰς γῆν τὴν ζωήν μου, καὶ τὴν δόξαν μου εἰς χοῦν κατασκηνώσαι· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 7] Ἀνάστηθι Κύριε ἐν ὀργῇ σου, ὑψώθητι ἐν τοῖς πέρασι τῶν ἐχθρῶν μου· ἐξεγέρθητι Κύριε ὁ Θεός μου ἐν προστάγματι ᾧ ἐνετείλω,
[LXX | EL | OT | Psalms | Chapter 7 | Verse 8] καὶ συναγωγὴ λαῶν κυκλώσει σε· καὶ ὑπὲρ ταύτης εἰς ὕψος ἐπίστρεψον.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 9] Κύριος κρινεῖ λαούς· κρίνον με Κύριε κατὰ τὴν δικαιοσύνην μου, καὶ κατὰ τὴν ἀκακίαν μου ἐπʼ ἐμοί.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 10] Συντελεσθήτω δὴ πονηρία ἁμαρτωλῶν, καὶ κατευθυνεῖς δίκαιον, ἐτάζων καρδίας καὶ νεφροὺς ὁ Θεός.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 11] Δικαία ἡ βοήθειά μου παρὰ τοῦ Θεοῦ τοῦ σώζοντος τοὺς εὐθεῖς τῇ καρδίᾳ.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 12] Ὁ Θεὸς κριτὴς δίκαιος, καὶ ἰσχυρὸς, καὶ μακρόθυμος, μὴ ὀργὴν ἐπάγων καθʼ ἑκάστην ἡμέραν.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 13] Ἐὰν μὴ ἐπιστραφῆτε, τὴν ῥομφαίαν αὐτοῦ στιλβώσει, τὸ τόξον αὐτοῦ ἐνέτεινε, καὶ ἡτοίμασεν αὐτό.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 14] Καὶ ἐν αὐτῷ ἡτοίμασε σκεύη θανάτου, τὰ βέλη αὐτοῦ τοῖς καιομένοις ἐξειργάσατο.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 15] Ἰδοὺ ὠδίνησεν ἀδικίαν, συνέλαβε πόνον, καὶ ἔτεκεν ἀνομίαν.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 16] Λάκκον ὤρυξε καὶ ἀνέσκαψεν αὐτὸν, καὶ ἐμπεσεῖται εἰς βόθρον ὃν εἰργάσατο.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 17] Ἐπιστρέψει ὁ πόνος αὐτοῦ εἰς κεφαλὴν αὐτοῦ, καὶ ἐπὶ κορυφὴν αὐτοῦ ἡ ἀδικία αὐτοῦ καταβήσεται.
[LXX | EL | OT | Psalms | Chapter 7 | Verse 18] Ἐξομολογήσομαι Κυρίῳ κατὰ τὴν δικαιοσύνην αὐτοῦ, ψαλῶ τῷ ὀνόματι Κυρίου τοῦ ὑψίστου.
