[LXX | EL | OT | Psalms | Chapter 102 | Verse 1] Τῷ Δαυίδ. Εὐλόγει ἡ ψυχή μου τὸν Κύριον, καὶ πάντα τὰ ἐντός μου τὸ ὄνομα τὸ ἅγιον αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 2] Εὐλόγει ἡ ψυχή μου τὸν Κύριον, καὶ μὴ ἐπιλανθάνου πάσας τὰς αἰνέσεις αὐτοῦ·
[LXX | EL | OT | Psalms | Chapter 102 | Verse 3] Τὸν εὐιλατεύοντα πάσαις ταῖς ἀνομίαις σου, τὸν ἰώμενον πάσας τὰς νόσους σου,
[LXX | EL | OT | Psalms | Chapter 102 | Verse 4] τὸν λυτρούμενον ἐκ φθορᾶς τὴν ζωήν σου, τὸν στεφανοῦντά σε ἐν ἐλέει καὶ οἰκτιρμοῖς,
[LXX | EL | OT | Psalms | Chapter 102 | Verse 5] τὸν ἐμπιπλῶντα ἐν ἀγαθοῖς τὴν ἐπιθυμίαν σου· ἀνακαινισθήσεται ὡς ἀετοῦ ἡ νεότης σου.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 6] Ποιῶν ἐλεημοσύνας ὁ Κύριος, καὶ κρίμα πᾶσι τοῖς ἀδικουμένοις.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 7] Ἐγνώρισε τὰς ὁδοὺς αὐτοῦ τῷ Μωυσῇ, τοῖς υἱοῖς Ἰσραὴλ τὰ θελήματα αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 8] Οἰκτίρμων καὶ ἐλεήμων ὁ Κύριος, μακρόθυμος καὶ πολυέλεος.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 9] Οὐκ εἰς τέλος ὀργισθήσεται, οὐδὲ εἰς τὸν αἰῶνα μηνιεῖ.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 10] Οὐ κατὰ τὰς ἁμαρτίας ἡμῶν ἐποίησεν ἡμῖν, οὐδὲ κατὰ τὰς ἀνομίας ἡμῶν ἀνταπέδωκεν ἡμῖν.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 11] Ὅτι κατὰ τὸ ὕψος τοῦ οὐρανοῦ ἀπὸ τῆς γῆς, ἐκραταίωσε Κύριος τὸ ἔλεος αὐτοῦ ἐπὶ τοὺς φοβουμένους αὐτόν.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 12] Καθόσον ἀπέχουσιν ἀνατολαὶ ἀπὸ δυσμῶν, ἐμάκρυνεν ἀφʼ ἡμῶν τὰς ἀνομίας ἡμῶν.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 13] Καθὼς οἰκτείρει πατὴρ υἱοὺς, ᾠκτείρησε Κύριος τοὺς φοβουμένους αὐτόν.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 14] Ὅτι αὐτὸς ἔγνω τὸ πλάσμα ἡμῶν· μνήσθητι ὅτι χοῦς ἐσμεν.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 15] Ἄνθρωπος, ὡσεὶ χόρτος αἱ ἡμέραι αὐτοῦ, ὡσεὶ ἄνθος τοῦ ἀγροῦ οὕτως ἐξανθήσει.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 16] Ὅτι πνεῦμα διῆλθεν ἐν αὐτῷ, καὶ οὐχ ὑπάρξει, καὶ οὐκ ἐπιγνώσεται ἔτι τὸν τόπον αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 17] Τὸ δὲ ἔλεος τοῦ Κυρίου ἀπὸ τοῦ αἰῶνος καὶ ἕως τοῦ αἰῶνος ἐπὶ τοὺς φοβουμένους αὐτόν· καὶ ἡ δικαιοσύνη αὐτοῦ ἐπὶ υἱοὺς υἱῶν,
[LXX | EL | OT | Psalms | Chapter 102 | Verse 18] τοῖς φυλάσσουσι τὴν διαθήκην αὐτοῦ, καὶ μεμνημένοις τῶν ἐντολῶν αὐτοῦ τοῦ ποιῆσαι αὐτάς.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 19] Κύριος ἐν τῷ οὐρανῷ ἡτοίμασε τὸν θρόνον αὐτοῦ, καὶ ἡ βασιλεία αὐτοῦ πάντων δεσπόζει.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 20] Εὐλογεῖτε τὸν Κύριον πάντες ἄγγελοι αὐτοῦ, δυνατοὶ ἰσχύϊ ποιοῦντες τὸν λόγον αὐτοῦ, τοῦ ἀκοῦσαι τῆς φωνῆς τῶν λόγων αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 21] Εὐλογεῖτε τὸν Κύριον πᾶσαι αἱ δυνάμεις αὐτοῦ, λειτουργοὶ αὐτοῦ ποιοῦντες τὰ θελήματα αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 102 | Verse 22] Εὐλογεῖτε τὸν Κύριον πάντα τὰ ἔργα αὐτοῦ, ἐν παντὶ τόπῳ τῆς δυναστείας αὐτοῦ· εὐλόγει ἡ ψυχή μου τὸν Κύριον.
