[LXX | EL | OT | Psalms | Chapter 72 | Verse 1] Ψαλμὸς τῷ Ἀσάφ. Ὡς ἀγαθὸς ὁ Θεὸς τῷ Ἰσραὴλ, τοῖς εὐθέσι καρδίᾳ.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 2] Ἐμοῦ δὲ παρὰ μικρὸν ἐσαλεύθησαν οἱ πόδες, παρʼ ὀλίγον ἐξεχύθη τὰ διαβήματά μου.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 3] Ὅτι ἐζήλωσα ἐπὶ τοῖς ἀνόμοις, εἰρήνην ἁμαρτωλῶν θεωρῶν.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 4] Ὅτι οὐκ ἔστιν ἀνάνευσις ἐν τῷ θανάτῳ αὐτῶν, καὶ στερέωμα ἐν τῇ μάστιγι αὐτῶν.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 5] Ἐν κόποις ἀνθρώπων οὐκ εἰσὶ, καὶ μετὰ ἀνθρώπων οὐ μαστιγωθήσονται.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 6] Διὰ τοῦτο ἐκράτησεν αὐτοὺς ἡ ὑπερηφανία, περιεβάλοντο ἀδικίαν καὶ ἀσέβειαν αὐτῶν.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 7] Ἐξελεύσεται ὡς ἐκ στέατος ἡ ἀδικία αὐτῶν· διῆλθον εἰς διάθεσιν καρδίας.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 8] Διενοήθησαν, καὶ ἐλάλησαν ἐν πονηρίᾳ, ἀδικίαν εἰς τὸ ὕψος ἐλάλησαν.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 9] Ἔθεντο εἰς οὐρανὸν τὸ στόμα αὐτῶν, καὶ ἡ γλῶσσα αὐτῶν διῆλθεν ἐπὶ τῆς γῆς.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 10] Διὰ τοῦτο ἐπιστρέψει ὁ λαός μου ἐνταῦθα, καὶ ἡμέραι πλήρεις εὑρεθήσονται ἐν αὐτοῖς.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 11] Καὶ εἶπαν, πῶς ἔγνω ὁ Θεὸς, καὶ εἰ ἔστι γνῶσις ἐν τῷ ὑψίστῳ;
[LXX | EL | OT | Psalms | Chapter 72 | Verse 12] Ἰδοὺ οὗτοι οἱ ἁμαρτωλοὶ καὶ εὐθηνοῦντες εἰς τὸν αἰῶνα, κατέσχον πλούτου.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 13] Καὶ εἶπα, ἄρα ματαίως ἐδικαίωσα τὴν καρδίαν μου, καὶ ἐνιψάμην ἐν ἀθώοις τὰς χεῖράς μου·
[LXX | EL | OT | Psalms | Chapter 72 | Verse 14] Καὶ ἐγενόμην μεμαστιγωμένος ὅλην τὴν ἡμέραν, καὶ ὁ ἔλεγχός μου εἰς τὰς πρωΐας.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 15] Εἰ ἔλεγον, διηγήσομαι οὕτως, ἰδοὺ τῇ γενεᾷ τῶν υἱῶν σου ἠσυνθέτηκα.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 16] Καὶ ὑπέλαβον τοῦ γνῶναι, τοῦτο κόπος ἐστὶν ἐναντίον μου,
[LXX | EL | OT | Psalms | Chapter 72 | Verse 17] ἕως εἰσέλθω εἰς τὸ ἁγιαστήριον τοῦ Θεοῦ, συνῶ εἰς τὰ ἔσχατα.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 18] Πλὴν διὰ τὰς δολιότητας ἔθου αὐτοῖς, κατέβαλες αὐτοὺς ἐν τῷ ἐπαρθῆναι.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 19] Πῶς ἐγένοντο εἰς ἐρήμωσιν; ἐξάπινα ἐξέλιπον, ἀπώλοντο διὰ τὴν ἀνομίαν αὐτῶν.
[LXX | EL | OT | Psalms | Chapter 72 | Verse 20] Ὡσεὶ ἐνύπνιον ἐξεγειρομένου, Κύριε ἐν τῇ πόλει σου τὴν εἰκόνα αὐτῶν ἐξουδενώσεις.
