[LXX | EL | OT | Psalms | Chapter 75 | Verse 1] Εἰς τὸ τέλος ἐν ὕμνοις, ψαλμὸς τῷ Ἀσάφ· ᾠδὴ πρὸς τὸν Ἀσσύριον.
[LXX | EL | OT | Psalms | Chapter 75 | Verse 2] Γνωστὸς ἐν τῇ Ἰουδαίᾳ ὁ Θεὸς, ἐν τῷ Ἰσραὴλ μέγα τὸ ὄνομα αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 75 | Verse 3] Καὶ ἐγενήθη ἐν εἰρήνῃ ὁ τόπος αὐτοῦ, καὶ τὸ κατοικητήριον αὐτοῦ ἐν Σιών.
[LXX | EL | OT | Psalms | Chapter 75 | Verse 4] Ἐκεῖ συνέτριψε τὰ κράτη τῶν τόξων, ὅπλον καὶ ῥομφαίαν καὶ πόλεμον· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 75 | Verse 5] Φωτίζεις σὺ θαυμαστῶς ἀπὸ ὀρέων αἰωνίων,
[LXX | EL | OT | Psalms | Chapter 75 | Verse 6] ἐταράχθησαν πάντες οἱ ἀσύνετοι τῇ καρδίᾳ· ὕπνωσαν ὕπνον αὐτῶν, καὶ οὐχ εὗρον οὐδὲν πάντες οἱ ἄνδρες τοῦ πλούτου ταῖς χερσὶν αὐτῶν.
[LXX | EL | OT | Psalms | Chapter 75 | Verse 7] Ἀπὸ ἐπιτιμήσεώς σου, ὁ Θεὸς Ἰακὼβ, ἐνύσταξαν οἱ ἐπιβεβηκότες τοὺς ἵππους.
[LXX | EL | OT | Psalms | Chapter 75 | Verse 8] Σὺ φοβερὸς εἶ, καὶ τίς ἀντιστήσεταί σοι ἀπὸ τῆς ὀργῆς σου;
[LXX | EL | OT | Psalms | Chapter 75 | Verse 9] Ἐκ τοῦ οὐρανοῦ ἠκούτισας κρίσιν, γῆ ἐφοβήθη καὶ ἡσύχασεν,
[LXX | EL | OT | Psalms | Chapter 75 | Verse 10] ἐν τῷ ἀναστῆναι εἰς κρίσιν τὸν Θεὸν, τοῦ σῶσαι πάντας τοὺς πρᾳεῖς τῇ καρδίᾳ. διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 75 | Verse 11] Ὅτι ἐνθύμιον ἀνθρώπου ἐξομολογήσεταί σοι, καὶ ἐγκατάλειμμα ἐνθυμίου ἑορτάσει σοι.
