[LXX | EL | OT | Psalms | Chapter 95 | Verse 1] Ὅτε ὁ οἶκος ᾠκοδόμηται μετὰ τὴν αἰχμαλωσίαν, ᾠδὴ τῷ Δαυίδ. Ἄσατε τῷ Κυρίῳ ἆσμα καινὸν, ᾄσατε τῷ Κυρίῳ πᾶσα ἡ γῆ.
[LXX | EL | OT | Psalms | Chapter 95 | Verse 2] Ἄσατε τῷ Κυρίῳ, εὐλογήσατε τὸ ὄνομα αὐτοῦ, εὐαγγελίζεσθε ἡμέραν ἐξ ἡμέρας τὸ σωτήριον αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 95 | Verse 3] Ἀναγγείλατε ἐν τοῖς ἔθνεσι τὴν δόξαν αὐτοῦ, ἐν πᾶσι τοῖς λαοῖς τὰ θαυμάσια αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 95 | Verse 4] Ὅτι μέγας Κύριος καὶ αἰνετὸς σφόδρα, φοβερός ἐστιν ἐπὶ πάντας τοὺς θεούς.
[LXX | EL | OT | Psalms | Chapter 95 | Verse 5] Ὅτι πάντες οἱ θεοὶ τῶν ἐθνῶν δαιμόνια, ὁ δὲ Κύριος τοὺς οὐρανοὺς ἐποίησεν.
[LXX | EL | OT | Psalms | Chapter 95 | Verse 6] Ἐξομολόγησις καὶ ὡραιότης ἐνώπιον αὐτοῦ, ἁγιωσύνη καὶ μεγαλοπρέπεια ἐν τῷ ἁγιάσματι αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 95 | Verse 7] Ἐνέγκατε τῷ Κυρίῳ αἱ πατριαὶ τῶν ἐθνῶν, ἐνέγκατε τῷ Κυρίῳ δόξαν καὶ τιμὴν,
[LXX | EL | OT | Psalms | Chapter 95 | Verse 8] ἐνέγκατε τῷ Κυρίῳ δόξαν ὀνόματι αὐτοῦ, ἄρατε θυσίας καὶ εἰσπορεύεσθε εἰς τὰς αὐλὰς αὐτοῦ·
[LXX | EL | OT | Psalms | Chapter 95 | Verse 9] Προσκυνήσατε τῷ Κυρίῳ ἐν αὐλῇ ἁγίᾳ αὐτοῦ, σαλευθήτω ἀπὸ προσώπου αὐτοῦ πᾶσα ἡ γῆ.
[LXX | EL | OT | Psalms | Chapter 95 | Verse 10] Εἴπατε ἐν τοῖς ἔθνεσιν, ὁ Κύριος ἐβασίλευσε· καὶ γὰρ κατώρθωσε τὴν σἰκουμένην, ἥτις οὐ σαλευθήσεται, κρινεῖ λαοῦς ἐν εὐθύτητι.
[LXX | EL | OT | Psalms | Chapter 95 | Verse 11] Εὐφραινέσθωσαν οἱ οὐρανοὶ καὶ ἀγαλλιάσθω ἡ γῆ, σαλευθήτω ἡ θάλασσα καὶ τὸ πλήρωμα αὐτῆς.
