[LXX | EL | OT | Psalms | Chapter 65 | Verse 1] Εἰς τὸ τέλος, ᾠδὴ ψαλμοῦ ἀναστάσεως. Ἀλαλάξατε τῷ Θεῷ, πᾶσα ἡ γῆ,
[LXX | EL | OT | Psalms | Chapter 65 | Verse 2] ψάλατε δὴ τῷ ὀνόματι αὐτοῦ, δότε δόξαν αἰνέσει αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 65 | Verse 3] Εἴπατε τῷ Θεῷ ὡς φοβερὰ τὰ ἔργα σου; ἐν τῷ πλήθει τῆς δυνάμεώς σου ψεύσονταί σε οἱ ἐχθροί σου.
[LXX | EL | OT | Psalms | Chapter 65 | Verse 4] Πᾶσα ἡ γῆ προσκυνησάτωσάν σοι, καὶ ψαλάτωσάν σοι, ψαλάτωσαν τῷ ὀνόματί σου· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 65 | Verse 5] Δεῦτε καὶ ἴδετε τὰ ἔργα τοῦ Θεοῦ, φοβερὸς ἐν βουλαῖς ὑπὲρ τοὺς υἱοὺς τῶν ἀνθρώπων.
[LXX | EL | OT | Psalms | Chapter 65 | Verse 6] Ὁ μεταστρέφων τὴν θάλασσαν εἰς ξηρὰν, ἐν ποταμῷ διελεύσονται ποδί· ἐκεῖ εὐφρανθησόμεθα ἐπʼ αὐτῷ,
[LXX | EL | OT | Psalms | Chapter 65 | Verse 7] τῷ δεσπόζοντι ἐν τῇ δυναστείᾳ αὐτοῦ τοῦ αἰῶνος· οἱ ὀφθαλμοὶ αὐτοῦ ἐπὶ τὰ ἔθνη ἐπιβλέπουσιν, οἱ παραπικραίνοντες μὴ ὑψούσθωσαν ἐν ἑαυτοῖς· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 65 | Verse 8] Εὐλογεῖτε ἔθνη τὸν Θεὸν ἡμῶν, καὶ ἀκουτίσατε τὴν φωνὴν τῆς αἰνέσεως αὐτοῦ,
[LXX | EL | OT | Psalms | Chapter 65 | Verse 9] τοῦ θεμένου τὴν ψυχήν μου εἰς ζωὴν, καὶ μὴ δόντος εἰς σάλον τοὺς πόδας μου.
[LXX | EL | OT | Psalms | Chapter 65 | Verse 10] Ὅτι ἐδοκίμασας ἡμᾶς ὁ Θεὸς, ἐπύρωσας ἡμᾶς ὡς πυροῦται τὸ ἀργύριον.
[LXX | EL | OT | Psalms | Chapter 65 | Verse 11] Εἰσήγαγες ἡμᾶς εἰς τὴν παγίδα, ἔθου θλίψεις ἐπὶ τὸν νῶτον ἡμῶν,
[LXX | EL | OT | Psalms | Chapter 65 | Verse 12] ἐπεβίβασας ἀνθρώπους ἐπὶ τὰς κεφαλὰς ἡμῶν· διήλθομεν διὰ πυρὸς καὶ ὕδατος, καὶ ἐξήγαγες ἡμᾶς εἰς ἀναψυχήν.
[LXX | EL | OT | Psalms | Chapter 65 | Verse 13] Εἰσελεύσομαι εἰς τὸν οἶκόν σου ἐν ὁλοκαυτώμασιν, ἀποδώσω σοι τὰς εὐχάς μου,
[LXX | EL | OT | Psalms | Chapter 65 | Verse 14] ἃς διέστειλε τὰ χείλη μου, καὶ ἐλάλησε τὸ στόμα μου ἐν τῇ θλίψει μου.
