[LXX | EL | OT | Psalms | Chapter 25 | Verse 1] Τοῦ Δαυίδ. Κρίνον με, Κύριε, ὅτι ἐγὼ ἐν ἀκακίᾳ μου ἐπορεύθην, καὶ ἐπὶ τῷ Κυρίῳ ἐλπίζων οὐ μὴ σαλευθῶ.
[LXX | EL | OT | Psalms | Chapter 25 | Verse 2] Δοκίμασόν με, Κύριε, καὶ πείρασόν με, πύρωσον τοὺς νεφρούς μου καὶ τὴν καρδίαν μου.
[LXX | EL | OT | Psalms | Chapter 25 | Verse 3] Ὅτι τὸ ἔλεός σου κατέναντι τῶν ὀφθαλμῶν μου ἐστὶ, καὶ εὐηρέστησα ἐν τῇ ἀληθείᾳ σου.
[LXX | EL | OT | Psalms | Chapter 25 | Verse 4] Οὐκ ἐκάθισα μετὰ συνεδρίου ματαιότητος, καὶ μετὰ παρανομούντων οὐ μὴ εἰσέλθω·
[LXX | EL | OT | Psalms | Chapter 25 | Verse 5] Ἐμίσησα ἐκκλησίαν πονηρευομένων, καὶ μετὰ ἀσεβῶν οὐ μὴ καθίσω.
[LXX | EL | OT | Psalms | Chapter 25 | Verse 6] Νίψομαι ἐν ἀθώοις τὰς χεῖράς μου, καὶ κυκλώσω τὸ θυσιαστήριόν σου, Κύριε·
[LXX | EL | OT | Psalms | Chapter 25 | Verse 7] Τοῦ ἀκοῦσαι φωνῆς αἰνέσεως, καὶ διηγήσασθαι πάντα τὰ θαυμάσιά σου.
[LXX | EL | OT | Psalms | Chapter 25 | Verse 8] Κύριε, ἠγάπησα εὐπρέπειαν οἴκου σου, καὶ τόπον σκηνώματος δόξης σου.
[LXX | EL | OT | Psalms | Chapter 25 | Verse 9] Μὴ συναπολέσῃς μετὰ ἀσεβῶν τὴν ψυχήν μου, καὶ μετὰ ἀνδρῶν αἱμάτων τὴν ζωήν μου,
[LXX | EL | OT | Psalms | Chapter 25 | Verse 10] ὧν ἐν χερσὶν ἀνομίαι, ἡ δεξιὰ αὐτῶν ἐπλήσθη δώρων.
[LXX | EL | OT | Psalms | Chapter 25 | Verse 11] Ἐγὼ δὲ ἐν ἀκακίᾳ μου ἐπορεύθην, λύτρωσαί με καὶ ἐλέησόν με.
[LXX | EL | OT | Psalms | Chapter 25 | Verse 12] Ὁ ποῦς μου ἔστη ἐν εὐθύτητι, ἐν ἐκκλησίαις εὐλογήσω σε Κύριε.
