[LXX | EL | OT | Psalms | Chapter 51 | Verse 1] Εἰς τὸ τέλος συνέσεως τῷ Δαυὶδ,
[LXX | EL | OT | Psalms | Chapter 51 | Verse 2] ἐν τῷ ἐλθεῖν Δωὴκ τὸν Ἰδουμαῖον, καὶ ἀναγγεῖλαι τῷ Σαοὺλ, καὶ εἰπεῖν αὐτῷ, ἦλθε Δαυὶδ εἰς τὸν οἶκον Ἀβιμέλεχ.
[LXX | EL | OT | Psalms | Chapter 51 | Verse 3] Τί ἐγκαυχᾷ ἐν κακίᾳ ὁ δυνατὸς ἀνομίαν; ὅλην τὴν ἡμέραν
[LXX | EL | OT | Psalms | Chapter 51 | Verse 4] ἀδικίαν ἐλογίσατο ἡ γλῶσσά σου· ὡσεὶ ξυρὸν ἠκονημένον ἐποίησας δόλον.
[LXX | EL | OT | Psalms | Chapter 51 | Verse 5] Ἠγάπησας κακίαν ὑπὲρ ἀγαθωσύνην, ἀδικίαν ὑπὲρ τὸ λαλῆσαι δικαιοσύνην· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 51 | Verse 6] Ἠγάπησας πάντα τὰ ῥήματα καταποντισμοῦ, γλῶσσαν δολίαν.
[LXX | EL | OT | Psalms | Chapter 51 | Verse 7] Διὰ τοῦτο ὁ Θεὸς καθέλοι σε εἰς τέλος, ἐκτίλαι σε καὶ μεταναστεύσαι σε ἀπὸ σκηνώματος, καὶ τὸ ῥίζωμά σου ἐκ γῆς ζώντων· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 51 | Verse 8] Καὶ ὄψονται δίκαιοι καὶ φοβηθήσονται, καὶ ἐπʼ αὐτὸν γελάσονται, καὶ ἐροῦσιν,
[LXX | EL | OT | Psalms | Chapter 51 | Verse 9] ἰδοὺ ἄνθρωπος ὃς οὐκ ἔθετο τὸν Θεὸν βοηθὸν αὐτοῦ, ἀλλʼ ἐπήλπισεν ἐπὶ τὸ πλῆθος τοῦ πλούτου αὐτοῦ, καὶ ἐνεδυναμώθη ἐπὶ τῇ ματαιότητι αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 51 | Verse 10] Ἐγὼ δὲ ὡσεὶ ἐλαία κατάκαρπος ἐν τῷ οἴκῳ τοῦ Θεοῦ, ἤλπισα ἐπὶ τὸ ἔλεος τοῦ Θεοῦ εἰς τὸν αἰῶνα καὶ εἰς τὸν αἰῶνα τοῦ αἰῶνος.
[LXX | EL | OT | Psalms | Chapter 51 | Verse 11] Ἐξομολογήσομαί σοι εἰς τὸν αἰῶνα, ὅτι ἐποίησας, καὶ ὑπομενῶ τὸ ὄνομά σου, ὅτι χρηστὸν ἐναντίον τῶν ὁσίων σου.
