[LXX | EL | OT | Psalms | Chapter 44 | Verse 1] Εἰς τὸ τέλος, ὑπὲρ τῶν ἀλλοιωθησομένων τοῖς υἱοῖς Κορὲ εἰς σύνεσιν, ᾠδὴ ὑπὲρ τοῦ ἀγαπητοῦ.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 2] Ἐξηρεύξατο ἡ καρδία μου λόγον ἀγαθὸν, λέγω ἐγὼ τὰ ἔργα μου τῷ βασιλεῖ· ἡ γλῶσσά μου κάλαμος γραμματέως ὀξυγράφου.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 3] Ὡραῖος κάλλει παρὰ τοὺς υἱοὺς τῶν ἀνθρώπων, ἐξεχύθη χάρις ἐν χείλεσί σου, διὰ τοῦτο εὐλόγησέ σε ὁ Θεὸς εἰς τὸν αἰῶνα.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 4] Περίζωσαι τὴν ῥομφαίαν σου ἐπὶ τὸν μηρόν σου δυνατέ· τῇ ὡραιότητί σου, καὶ τῷ κάλλει σου,
[LXX | EL | OT | Psalms | Chapter 44 | Verse 5] καὶ ἔντεινον, καὶ κατευοδοῦ, καὶ βασίλευε· ἕνεκεν ἀληθείας καὶ πρᾳΰτητος καὶ δικαιοσύνης, καὶ ὁδηγήσει σε θαυμαστῶς ἡ δεξιά σου.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 6] Τὰ βέλη σου ἠκονημένα δυνατὲ, λαοὶ ὑποκάτω σου πεσοῦνται, ἐν καρδίᾳ τῶν ἐχθρῶν τοῦ βασιλέως.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 7] Ὁ θρόνος σου ὁ Θεὸς εἰς αἰῶνα αἰῶνος, ῥάβδος εὐθύτητος ἡ ῥάβδος τῆς βασιλείας σου.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 8] Ἠγάπησας δικαιοσύνην, καὶ ἐμίσησας ἀνομίαν, διὰ τοῦτο ἔχρισέ σε ὁ Θεὸς ὁ Θεός σου ἔλαιον ἀγαλλιάσεως παρὰ τοὺς μετόχους σου.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 9] Σμύρνα καὶ στακτὴ καὶ κασία ἀπὸ τῶν ἱματίων σου, ἀπὸ βάρεων ἐλεφαντίνων, ἐξ ὧν ηὔφρανάν σε
[LXX | EL | OT | Psalms | Chapter 44 | Verse 10] θυγατέρες βασιλέων ἐν τῇ τιμῇ σου· παρέστη ἡ βασίλισσα ἐκ δεξιῶν σου, ἐν ἱματισμῷ διαχρύσῳ περιβεβλημένη, πεποικιλμένη.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 11] Ἄκουσον θύγατερ καὶ ἴδε καὶ κλῖνον τὸ οὖς σου, καὶ ἐπιλάθου τοῦ λαοῦ σου, καὶ τοῦ οἴκου τοῦ πατρός σου.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 12] Ὅτι ἐπεθύμησεν ὁ βασιλεὺς τοῦ κάλλους σου, ὅτι αὐτός ἐστιν ὁ Κύριός σου.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 13] Καὶ προσκυνήσουσιν αὐτῷ θυγατέρες Τύρου ἐν δώροις, τὸ πρόσωπόν σου λιτανεῦσουσιν οἱ πλούσιοι τοῦ λαοῦ τῆς γῆς.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 14] Πᾶσα ἡ δόξα αὐτῆς θυγατρὸς τοῦ βασιλέως Ἐσεβὼν, ἐν κροσσωτοῖς χρυσοῖς περιβεβλημένη, πεποικιλμένη·
[LXX | EL | OT | Psalms | Chapter 44 | Verse 15] ἀπενεχθήσονται τῷ βασιλεῖ παρθένοι ὀπίσω αὐτῆς, αἱ πλησίον αὐτῆς ἀπενεχθήσονταί σοι.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 16] Ἀπενεχθήσονται ἐν εὐφροσύνῃ καὶ ἀγαλλιάσει, ἀχθήσονται εἰς ναὸν βασιλέως.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 17] Ἀντὶ τῶν πατέρων σου ἐγενήθησάν σοι υἱοὶ, καταστήσεις αὐτοὺς ἄρχοντας ἐπὶ πᾶσαν τὴν γῆν.
[LXX | EL | OT | Psalms | Chapter 44 | Verse 18] Μνησθήσονται τοῦ ὀνόματός σου ἐν πάσῃ γενεᾷ καὶ γενεᾷ, διὰ τοῦτο λαοὶ ἐξομολογήσονταί σοι εἰς τὸν αἰῶνα, καὶ εἰς τὸν αἰῶνα τοῦ αἰῶνος·
