[LXX | EL | OT | Psalms | Chapter 9 | Verse 1] Εἰς τὸ τέλος, ὑπὲρ τῶν κρυφίων τοῦ υἱοῦ, ψαλμὸς τῷ Δαυίδ.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 2] Ἐξομολογήσομαι σοι Κύριε ἐν ὅλῃ καρδίᾳ μου, διηγήσομαι πάντα τὰ θαυμάσιά σου.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 3] Εὐφρανθήσομαι καὶ ἀγαλλιάσομαι ἐν σοὶ, ψαλῶ τῷ ὀνόματί σου ὕψιστε.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 4] Ἐν τῷ ἀποστραφῆναι τὸν ἐχθρόν μου εἰς τὰ ὀπίσω, ἀσθενήσουσι καὶ ἀπολοῦνται ἀπὸ προσώπου σου.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 5] Ὅτι ἐποίησας τὴν κρίσιν μου καὶ τὴν δίκην μου, ἐκάθισας ἐπὶ θρόνου ὁ κρίνων δικαιοσύνην.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 6] Ἐπετίμησας ἔθνεσι, καὶ ἀπώλετο ὁ ἀσεβὴς· τὸ ὄνομα αὐτῶν ἐξήλειψας εἰς τὸν αἰῶνα, καὶ εἰς τὸν αἰῶνα τοῦ αἰῶνος.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 7] Τοῦ ἐχθροῦ ἐξέλιπον αἱ ῥομφαῖαι εἰς τέλος, καὶ πόλεις καθεῖλες· ἀπώλετο τὸ μνημόσυνον αὐτῶν μετʼ ἤχου,
[LXX | EL | OT | Psalms | Chapter 9 | Verse 8] καὶ ὁ Κύριος εἰς τὸν αἰῶνα μένει· ἡτοίμασεν ἐν κρίσει τὸν θρόνον αὐτοῦ,
[LXX | EL | OT | Psalms | Chapter 9 | Verse 9] καὶ αὐτὸς κρινεῖ τὴν οἰκουμένην ἐν δικαιοσύνῃ, κρινεῖ λαοὺς ἐν εὐθύτητι.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 10] Καὶ ἐγένετο Κύριος καταφυγὴ τῷ πένητι, βοηθὸς ἐν εὐκαιρίαις, ἐν θλίψει.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 11] Καὶ ἐλπισάτωσαν ἐπὶ σὲ οἱ γινώσκοντες τὸ ὄνομά σου, ὅτι οὐκ ἐγκατέλιπες τοὺς ἐκζητοῦντάς σε Κύριε.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 12] Ψάλατε τῷ Κυρίῳ τῷ κατοικοῦντι ἐν Σιὼν, ἀναγγείλατε ἐν τοῖς ἔθνεσι τὰ ἐπιτηδεύματα αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 13] Ὅτι ἐκζητῶν τὰ αἵματα αὐτῶν ἐμνήσθη, οὐκ ἐπελάθετο τῆς δεήσεως τῶν πενήτων.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 14] Ἐλέησόν με Κύριε, ἴδε τὴν ταπείνωσίν μου ἐκ τῶν ἐχθρῶν μου, ὁ ὑψῶν με ἐκ τῶν πυλῶν τοῦ θανάτου·
[LXX | EL | OT | Psalms | Chapter 9 | Verse 15] Ὅπως ἂν ἐξαγγείλω πάσας τὰς αἰνέσεις σου ἐν ταῖς πύλαις τῆς θυγατρὸς Σιών· ἀγαλλιάσομαι ἐπὶ τῷ σωτηρίῳ σου.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 16] Ἐνεπάγησαν ἔθνη ἐν διαφθορᾷ ᾗ ἐποίησαν· ἐν παγίδι ταύτῃ ᾗ ἔκρυψαν συνελήφθη ὁ ποὺς αὐτῶν.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 17] Γινώσκεται Κύριος κρίματα ποιῶν, ἐν τοῖς ἔργοις τῶν χειρῶν αὐτοῦ συνελήφθη ὁ ἁμαρτωλός· ᾠδὴ διαψάλματος.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 18] Ἀποστραφήτωσαν οἱ ἁμαρτωλοὶ εἰς τὸν ᾅδην, πάντα τὰ ἔθνη τὰ ἐπιλανθανόμενα τοῦ Θεοῦ.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 19] Ὅτι οὐκ εἰς τέλος ἐπιλησθήσεται ὁ πτωχὸς, ἡ ὑπομονὴ τῶν πενήτων οὐκ ἀπολεῖται εἰς τὸν αἰῶνα.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 20] Ἀνάστηθι Κύριε, μὴ κραταιούσθω ἄνθρωπος, κριθήτωσαν ἔθνη ἐνώπιόν σου.
[LXX | EL | OT | Psalms | Chapter 9 | Verse 21] Κατάστησον, Κύριε, νομοθέτην ἐπʼ αὐτοὺς, γνώτωσαν ἔθνη ὅτι ἀνθρωποί εἰσι· διάψαλμα.
