[LXX | EL | OT | Psalms | Chapter 71 | Verse 1] Εἰς Σαλωμών. Ὁ Θεὸς τὸ κρίμα σου τῷ βασιλεῖ δὸς, καὶ τὴν δικαιοσύνην σου τῷ υἱῷ τοῦ βασιλέως·
[LXX | EL | OT | Psalms | Chapter 71 | Verse 2] κρίνειν τὸν λαόν σου ἐν δικαιοσύνῃ, καὶ τοὺς πτωχούς σου ἐν κρίσει.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 3] Ἀναλαβέτω τὰ ὄρη εἰρήνην τῷ λαῷ σου, καὶ οἱ βουνοί·
[LXX | EL | OT | Psalms | Chapter 71 | Verse 4] ἐν δικαιοσύνῃ κρινεῖ τοὺς πτωχοὺς τοῦ λαοῦ, καὶ σώσει τοὺς υἱοὺς τῶν πενήτων· καὶ ταπεινώσει συκοφάντην,
[LXX | EL | OT | Psalms | Chapter 71 | Verse 5] καὶ συμπαραμενεῖ τῷ ἡλίῳ, καὶ πρὸ τῆς σελήνης γενεὰς γενεῶν.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 6] Καταβήσεται ὡς ὑετὸς ἐπὶ πόκον, καὶ ὡσεὶ σταγόνες στάζουσαι ἐπὶ τὴν γῆν.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 7] Ἀνατελεῖ ἐν ταῖς ἡμέραις αὐτοῦ δικαιοσύνη, καὶ πλῆθος εἰρήνης ἕως οὗ ἀνταναιρεθῇ ἡ σελήνη.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 8] Καὶ κατακυριεύσει ἀπὸ θαλάσσης ἕως θαλάσσης, καὶ ἀπὸ ποταμοῦ ἕως περάτων τῆς οἰκουμένης.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 9] Ἐνώπιον αὐτοῦ προπεσοῦνται Αἰθίοπες, καὶ οἱ ἐχθροὶ αὐτοῦ χοῦν λείξουσι.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 10] Βασιλεῖς Θαρσὶς καὶ αἱ νῆσοι δῶρα προσοίσουσι, βασιλεῖς Ἀράβων καὶ Σαβὰ δῶρα προσάξουσι.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 11] Καὶ προσκυνήσουσιν αὐτῷ πάντες οἱ βασιλεῖς, πάντα τὰ ἔθνη δουλεύσουσιν αὐτῷ.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 12] Ὅτι ἐῤῥύσατο πτωχὸν ἐκ δυνάστου, καὶ πένητα ᾧ οὐχ ὑπῆρχε βοηθός.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 13] Φείσεται πτωχοῦ καὶ πένητος, καὶ ψυχὰς πένητων σώσει.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 14] Ἐκ τόκου καὶ ἐξ ἀδικίας λυτρώσεται τὰς ψυχὰς αὐτῶν, καὶ ἔντιμον τὸ ὄνομα αὐτῶν ἐνώπιον αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 15] Καὶ ζήσεται, καὶ δοθήσεται αὐτῷ ἐκ τοῦ χρυσίου τῆς Ἀραβίας, καὶ προσεύξονται περὶ αὐτοῦ διαπαντός· ὅλην τὴν ἡμέραν εὐλογήσουσιν αὐτόν.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 16] Ἔσται στήριγμα ἐν τῇ γῇ ἐπʼ ἄκρων τῶν ὀρέων· ὑπεραρθήσεται ὑπὲρ τὸν Λίβανον ὁ καρπὸς αὐτοῦ, καὶ ἐξανθήσουσιν ἐκ πόλεως ὡσεὶ χόρτος τῆς γῆς.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 17] Ἔστω τὸ ὄνομα αὐτοῦ εὐλογημένον εἰς τοὺς αἰῶνας, πρὸ τοῦ ἡλίου διαμενεῖ τὸ ὄνομα αὐτοῦ, καὶ εὐλογηθήσονται ἐν αὐτῷ πᾶσαι αἱ φυλαὶ τῆς γῆς· πάντα τὰ ἔθνη μακαριοῦσιν αὐτόν.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 18] Εὐλογητὸς Κύριος ὁ Θεὸς τοῦ Ἰσραὴλ, ὁ ποιῶν θαυμάσια μόνος,
[LXX | EL | OT | Psalms | Chapter 71 | Verse 19] καὶ εὐλογητὸν τὸ ὄνομα τῆς δόξης αὐτοῦ εἰς τὸν αἰῶνα καὶ εἰς αἰῶνα τοῦ αἰῶνος· καὶ πληρωθήσεται τῆς δόξης αὐτοῦ πᾶσα ἡ γῆ. γένοιτο, γένοιτο.
[LXX | EL | OT | Psalms | Chapter 71 | Verse 20] Ἐξέλιπον οἱ ὕμνοι Δαυὶδ τοῦ υἱοῦ Ἰεσσαί.
