[LXX | EL | OT | Psalms | Chapter 35 | Verse 1] Εἰς τὸ τέλος, τῷ δούλῳ Κυρίου τῷ Δαυίδ.
[LXX | EL | OT | Psalms | Chapter 35 | Verse 2] Φησὶν ὁ παράνομος τοῦ ἁμαρτάνειν ἐν ἑαυτῷ, οὐκ ἔστι φόβος Θεοῦ ἀπέναντι τῶν ὀφθαλμῶν αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 35 | Verse 3] Ὅτι ἐδόλωσεν ἐνώπιον αὐτοῦ, τοῦ εὑρεῖν τὴν ἀνομίαν αὐτοῦ καὶ μισῆσαι.
[LXX | EL | OT | Psalms | Chapter 35 | Verse 4] Τὰ ῥήματα τοῦ στόματος αὐτοῦ ἀνομία καὶ δόλος, οὐκ ἠβουλήθη συνιέναι τοῦ ἀγαθῦναι.
[LXX | EL | OT | Psalms | Chapter 35 | Verse 5] Ἀνομίαν ἐλογίσατο ἐπὶ τῆς κοίτης αὐτοῦ, παρέστη πάσῃ ὁδῷ οὐκ ἀγαθῇ, τῇ δὲ κακίᾳ οὐ προσώχθισε.
[LXX | EL | OT | Psalms | Chapter 35 | Verse 6] Κύριε, ἐν τῷ οὐρανῷ τὸ ἔλεός σου, καὶ ἡ ἀλήθειά σου ἕως τῶν νεφελῶν.
[LXX | EL | OT | Psalms | Chapter 35 | Verse 7] Ἡ δικαιοσύνη σου ὡς ὄρη Θεοῦ, τὰ κρίματά σου ὡσεὶ ἄβυσσος πολλή· ἀνθρώπους καὶ κτήνη σώσεις Κύριε.
[LXX | EL | OT | Psalms | Chapter 35 | Verse 8] Ὡς ἐπλήθυνας τὸ ἔλεός σου ὁ Θεός· οἱ δὲ υἱοὶ τῶν ἀνθρώπων ἐν σκέπῃ τῶν πτερύγων σου ἐλπιοῦσι.
[LXX | EL | OT | Psalms | Chapter 35 | Verse 9] Μεθυσθήσονται ἀπὸ πιότητος οἴκου σου, καὶ τὸν χειμάῤῥουν τῆς τρυφῆς σου ποτιεῖς αὐτούς.
[LXX | EL | OT | Psalms | Chapter 35 | Verse 10] Ὅτι παρὰ σοὶ πηγὴ ζωῆς, ἐν τῷ φωτί σου ὀψόμεθα φῶς.
[LXX | EL | OT | Psalms | Chapter 35 | Verse 11] Παράτεινον τὸ ἔλεός σου τοῖς γινώσκουσί σε, καὶ τὴν δικαιοσύνην σου τοῖς εὐθέσι τῇ καρδίᾳ.
[LXX | EL | OT | Psalms | Chapter 35 | Verse 12] Μὴ ἐλθέτω μοι ποῦς ὑπερηφανίας, καὶ χεὶρ ἁμαρτωλῶν μὴ σαλεύσαι με·
[LXX | EL | OT | Psalms | Chapter 35 | Verse 13] Ἐκεῖ ἔπεσον πάντες οἱ ἐργαζόμενοι τὴν ἀνομίαν, ἐξώσθησαν καὶ οὐ μὴ δύνωνται στῆναι.
