[LXX | EL | OT | Psalms | Chapter 108 | Verse 1] Εἰς τὸ τέλος, ψαλμὸς τῷ Δαυίδ. Ὁ Θεὸς τὴν αἴνεσίν μου μὴ παρασιωπήσῃς,
[LXX | EL | OT | Psalms | Chapter 108 | Verse 2] ὅτι στόμα ἁμαρτωλοῦ καὶ στόμα δολίου ἐπʼ ἐμὲ ἠνοίχθη· ἐλάλησαν κατʼ ἐμοῦ γλώσσῃ δολίᾳ,
[LXX | EL | OT | Psalms | Chapter 108 | Verse 3] καὶ λόγοις μίσους ἐκύκλωσάν με, καὶ ἐπολέμησάν με δωρέαν.
[LXX | EL | OT | Psalms | Chapter 108 | Verse 4] Ἀντὶ τοῦ ἀγαπᾷν με, ἐνδιέβαλλόν με, ἐγὼ δὲ προσηυχόμην.
[LXX | EL | OT | Psalms | Chapter 108 | Verse 5] Καὶ ἔθεντο κατʼ ἐμοῦ κακὰ ἀντὶ ἀγαθῶν, καὶ μῖσος ἀντὶ τῆς ἀγαπήσεώς μου.
[LXX | EL | OT | Psalms | Chapter 108 | Verse 6] Κατάστησον ἐπʼ αὐτὸν ἁμαρτωλὸν, καὶ διάβολος στήτω ἐκ δεξιῶν αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 108 | Verse 7] Ἐν τῷ κρίνεσθαι αὐτὸν, ἐξέλθοι καταδεδικασμένος, καὶ ἡ προσευχὴ αὐτοῦ γενέσθω εἰς ἁμαρτίαν.
[LXX | EL | OT | Psalms | Chapter 108 | Verse 8] Γενηθήτωσαν αἱ ἡμέραι αὐτοῦ ὀλίγαι, καὶ τὴν ἐπισκοπὴν αὐτοῦ λάβοι ἕτερος.
[LXX | EL | OT | Psalms | Chapter 108 | Verse 9] Γενηθήτωσαν οἱ υἱοὶ αὐτοῦ ὀρφανοὶ, καὶ ἡ γυνὴ αὐτοῦ χήρα.
[LXX | EL | OT | Psalms | Chapter 108 | Verse 10] Σαλευόμενοι μεταναστήτωσαν οἱ υἱοὶ αὐτοῦ, καὶ ἐπαιτησάτωσαν, ἐκβληθήτωσαν ἐκ τῶν οἰκοπέδων αὐτῶν.
[LXX | EL | OT | Psalms | Chapter 108 | Verse 11] Ἐξερευνησάτω δανειστὴς πάντα ὅσα ὑπάρχει αὐτῷ, καὶ διαρπασάτωσαν ἀλλότριοι τοὺς πόνους αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 108 | Verse 12] Μὴ ὑπαρξάτω αὐτῷ ἀντιλήμπτωρ, μηδὲ γενηθήτω οἰκτίρμων τοῖς ὀρφανοῖς αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 108 | Verse 13] Γενηθήτω τὰ τέκνα αὐτοῦ εἰς ἐξολόθρευσιν, ἐν γενεᾷ μιᾷ ἐξαλειφθείη τὸ ὄνομα αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 108 | Verse 14] Ἀναμνησθείη ἡ ἀνομία τῶν πατέρων αὐτοῦ ἔναντι Κυρίου, καὶ ἡ ἁμαρτία τῆς μητρὸς αὐτοῦ μὴ ἐξαλειφθείη.
