[LXX | EL | OT | Psalms | Chapter 5 | Verse 1] Εἰς τὸ τέλος, ὑπὲρ τῆς κληρονομούσης, ψαλμὸς τῷ Δαυίδ.
[LXX | EL | OT | Psalms | Chapter 5 | Verse 2] Τὰ ῥήματά μου ἐνώτισαι Κύριε, σύνες τῆς κραυγῆς μου,
[LXX | EL | OT | Psalms | Chapter 5 | Verse 3] πρόσχες τῇ φωνῇ τῆς δεήσεώς μου, ὁ βασιλεύς μου καὶ ὁ Θεός μου· ὅτι πρὸς σὲ προσεύξομαι Κύριε,
[LXX | EL | OT | Psalms | Chapter 5 | Verse 4] τοπρωῒ εἰσακούσῃ τῆς φωνῆς μου· τοπρωῒ παραστήσομαί σοι, καὶ ἐπόψομαι.
[LXX | EL | OT | Psalms | Chapter 5 | Verse 5] Ὅτι οὐχὶ Θεὸς θέλων ἀνομίαν σὺ εἶ· οὐδὲ παροικησει σοι πονηρευόμενος,
[LXX | EL | OT | Psalms | Chapter 5 | Verse 6] οὐδὲ διαμενοῦσι παράνομοι κατέναντι τῶν ὀφθαλμῶν σου· ἐμίσησας Κύριε πάντας τοὺς ἐργαζομένους τὴν ἀνομίαν,
[LXX | EL | OT | Psalms | Chapter 5 | Verse 7] ἀπολεῖς πάντας τοὺς λαλοῦντας τὸ ψεῦδος· ἄνδρα αἱμάτων καὶ δόλιον βδελύσσεται Κύριος.
[LXX | EL | OT | Psalms | Chapter 5 | Verse 8] Ἐγὼ δὲ ἐν τῷ πλήθει τοῦ ἐλέου σου εἰσελεύσομαι εἰς τὸν οἶκόν σου, προσκυνήσω πρὸς ναὸν ἅγιόν σου ἐν φόβῳ σου.
[LXX | EL | OT | Psalms | Chapter 5 | Verse 9] Κύριε ὁδήγησόν με ἐν τῇ δικαιοσύνῃ σου ἕνεκα τῶν ἐχθρῶν μου, κατεύθυνον ἐνώπιόν σου τὴν ὁδόν μου.
[LXX | EL | OT | Psalms | Chapter 5 | Verse 10] Ὅτι οὐκ ἔστιν ἐν τῷ στόματι αὐτῶν ἀλήθεια· ἡ καρδία αὐτῶν ματαία· τάφος ἀνεῳγμένος ὁ λάρυγξ αὐτῶν· ταῖς γλώσσαις αὐτῶν ἐδολιοῦσαν.
[LXX | EL | OT | Psalms | Chapter 5 | Verse 11] Κρίνον αὐτοὺς ὁ Θεός· ἀποπεσάτωσαν ἀπὸ τῶν διαβουλιῶν αὐτῶν· κατὰ τὸ πλῆθος τῶν ἀσεβειῶν αὐτῶν ἔξωσον αὐτοὺς, ὅτι παρεπίκρανάν σε Κύριε.
[LXX | EL | OT | Psalms | Chapter 5 | Verse 12] Καὶ εὐφρανθήτωσαν ἐπὶ σοὶ πάντες οἱ ἐλπίζοντες ἐπὶ σὲ, εἰς αἰῶνα ἀγαλλιάσονται, καὶ κατασκηνώσεις ἐν αὐτοῖς· καὶ καυχήσονται ἐπὶ σοὶ πάντες οἱ ἀγαπῶντες τὸ ὄνομά σου,
[LXX | EL | OT | Psalms | Chapter 5 | Verse 13] ὅτι σὺ εὐλογήσεις δίκαιον Κύριε, ὡς ὅπλῳ εὐδοκίας ἐστεφάνωσας ἡμᾶς.
