[LXX | EL | OT | Psalms | Chapter 80 | Verse 1] Εἰς τὸ τέλος, ὑπὲρ τῶν ληνῶν ψαλμὸς τῷ Ἀσάφ.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 2] Ἀγαλλιᾶσθε τῷ Θεῷ τῷ βοηθῷ ἡμῶν, ἀλαλάξατε τῷ Θεῷ Ἰακώβ.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 3] Λάβετε ψαλμὸν καὶ δότε τύμπανον, ψαλτήριον τερπνὸν μετὰ κιθάρας.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 4] Σαλπίσατε ἐν νεομηνίᾳ σάλπιγγι, ἐν εὐσήμῳ ἡμέρᾳ ἑορτῆς ὑμῶν.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 5] Ὅτι πρόσταγμα τῷ Ἰσραήλ ἐστι, καὶ κρίμα τῷ Θεῷ Ἰακώβ.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 6] Μαρτύριον ἐν τῷ Ἰωσὴφ ἔθετο αὐτὸν, ἐν τῷ ἐξελθεῖν αὐτὸν ἐκ γῆς Αἰγύπτου· γλῶσσαν ἣν οὐκ ἔγνω, ἤκουσεν.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 7] Ἀπέστησεν ἀπὸ ἄρσεων τὸν νῶτον αὐτοῦ· αἱ χεῖρες αὐτοῦ ἐν τῷ κοφίνῳ ἐδούλευσαν.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 8] Ἐν θλίψει ἐπεκαλέσω με καὶ ἐῤῥυσάμην σε· ἐπήκουσά σου ἐν ἀποκρύφῳ καταιγίδος, ἐδοκίμασά σε ἐπὶ ὕδατος ἀντιλογίας· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 9] Ἄκουσον λαός μου καὶ λαλήσω σοι, Ἰσραὴλ, καὶ διαμαρτύρομαί σοι· ἐὰν ἀκούσῃς μου,
[LXX | EL | OT | Psalms | Chapter 80 | Verse 10] οὐκ ἔσται ἐν σοὶ θεὸς πρόσφατος, οὐδὲ προσκυνήσεις θεῷ ἀλλοτρίῳ.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 11] Ἐγὼ γάρ εἰμι Κύριος ὁ Θεός σου, ὁ ἀναγαγών σε ἐκ γῆς Αἰγύπτου, πλάτυνον τὸ στόμα σου καὶ πληρώσω αὐτό.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 12] Καὶ οὐκ ἤκουσεν ὁ λαός μου τῆς φωνῆς μου, καὶ Ἰσραὴλ οὐ προσέσχε μοι.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 13] Καὶ ἐξαπέστειλα αὐτοὺς κατὰ τὰ ἐπιτηδεύματα τῶν καρδιῶν αὐτῶν, πορεύσονται ἐν τοῖς ἐπιτηδεύμασιν αὐτῶν.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 14] Εἰ ὁ λαός μου ἤκουσέ μου, Ἰσραὴλ ταῖς ὁδοῖς μου εἰ ἐπορεύθη,
[LXX | EL | OT | Psalms | Chapter 80 | Verse 15] ἐν τῷ μηδενὶ ἂν τοὺς ἐχθροὺς αὐτῶν ἐταπείνωσα, καὶ ἐπὶ τοὺς θλίβοντας αὐτοὺς ἐπέβαλον ἂν τὴν χεῖρά μου.
[LXX | EL | OT | Psalms | Chapter 80 | Verse 16] Οἱ ἐχθροὶ Κυρίου ἐψεύσαντο αὐτῷ, καὶ ἔσται ὁ καιρὸς αὐτῶν εἰς τὸν αἰῶνα,
[LXX | EL | OT | Psalms | Chapter 80 | Verse 17] καὶ ἐψώμισεν αὐτοὺς ἐκ στέατος πυροῦ, καὶ ἐκ πέτρας μέλι ἐχόρτασεν αὐτούς.
