[LXX | EL | OT | Psalms | Chapter 96 | Verse 1] Τῷ Δαυὶδ, ὅτε ἡ γῆ αὐτοῦ καθίσταται. Ὁ Κύριος ἐβασίλευσεν, ἀγαλλιάσθω ἡ γῆ, εὐφρανθήτωσαν νῆσοι πολλαί.
[LXX | EL | OT | Psalms | Chapter 96 | Verse 2] Νεφέλη καὶ γνόφος κύκλῳ αὐτοῦ, δικαιοσύνη καὶ κρίμα κατόρθωσις τοῦ θρόνου αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 96 | Verse 3] Πῦρ ἐναντίον αὐτοῦ προπορεύσεται, καὶ φλογιεῖ κύκλῳ τοὺς ἐχθροὺς αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 96 | Verse 4] Ἔφαναν αἱ ἀστραπαὶ αὐτοῦ τῇ οἰκουμένῃ, εἶδε καὶ ἐσαλεύθη ἡ γῆ·
[LXX | EL | OT | Psalms | Chapter 96 | Verse 5] τὰ ὄρη ὡσεὶ κηρὸς ἐτάκησαν ἀπὸ προσώπου Κυρίου, ἀπὸ προσώπου Κυρίου πάσης τῆς γῆς.
[LXX | EL | OT | Psalms | Chapter 96 | Verse 6] Ἀνήγγειλαν αἱ οὐρανοὶ τὴν δικαιοσύνην αὐτοῦ, καὶ εἴδοσαν πάντες οἱ λαοὶ τὴν δόξαν αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 96 | Verse 7] Αἰσχυνθήτωσαν πάντες οἱ προσκυνοῦντες τοῖς γλυπτοῖς, οἱ ἐγκαυχώμενοι ἐν τοῖς εἰδώλοις αὐτῶν· προσκυνήσατε αὐτῷ πάντες ἄγγελοι αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 96 | Verse 8] Ἤκουσε καὶ εὐφράνθη Σιὼν, καὶ ἠγαλλιάσαντο αἱ θυγατέρες τῆς Ἰουδαίας, ἕνεκεν τῶν κριμάτων σου Κύριε.
[LXX | EL | OT | Psalms | Chapter 96 | Verse 9] Ὅτι σὺ εἶ Κύριος ὁ ὕψιστος ἐπὶ πᾶσαν τὴν γῆν, σφόδρα ὑπερυψώθης ὑπὲρ πάντας τοὺς θεούς.
[LXX | EL | OT | Psalms | Chapter 96 | Verse 10] Οἱ ἀγαπῶντες τὸν Κύριον, μισεῖτε πονηρόν· φυλάσσει Κύριος τὰς ψυχὰς τῶν ὁσίων αὐτοῦ, ἐκ χειρὸς ἁμαρτωλῶν ῥύσεται αὐτούς.
[LXX | EL | OT | Psalms | Chapter 96 | Verse 11] Φῶς ἀνέτειλε τῷ δικαίῳ, καὶ τοῖς εὐθέσι τῇ καρδίᾳ εὐφροσύνη.
[LXX | EL | OT | Psalms | Chapter 96 | Verse 12] Εὐφράνθητε δίκαιοι ἐν τῷ Κυρίῳ, καὶ ἐξομολογεῖσθε τῇ μνήμῃ τῆς ἁγιωσύνης αὐτοῦ.
