[LXX | EL | OT | Psalms | Chapter 139 | Verse 1] Εἰς τὸ τέλος, τῷ Δαυὶδ ψαλμός.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 2] Ἐξελοῦ με Κύριε ἐξ ἀνθρώπου πονηροῦ, ἀπὸ ἀνδρὸς ἀδίκου ῥῦσαί με·
[LXX | EL | OT | Psalms | Chapter 139 | Verse 3] οἵτινες ἐλογίσαντο ἀδικίας ἐν καρδίᾳ, ὅλην τὴν ἡμέραν παρετάσσοντο πολέμους.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 4] Ἠκόνησαν γλῶσσαν αὐτῶν ὡσεὶ ὄφεως, ἰὸς ἀσπίδων ὑπὸ τὰ χείλη αὐτῶν· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 5] Φύλαξόν με Κύριε ἐκ χειρὸς ἁμαρτωλοῦ, ἀπὸ ἀνθρώπων ἀδίκων ἐξελοῦ με· οἵτινες ἐλογίσαντο τοῦ ὑποσκελίσαι τὰ διαβήματά μου.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 6] Ἔκρυψαν ὑπερήφανοι παγίδα μοι· καὶ σχοινία διέτειναν παγίδας τοῖς ποσί μου, ἐχόμενα τρίβου σκάνδαλον ἔθεντό μοι· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 7] Εἶπα τῷ Κυρίῳ, Θεός μου εἶ σὺ· ἐνώτισαι, Κύριε, τὴν φωνὴν τῆς δεήσεώς μου.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 8] Κύριε Κύριε, δύναμις τῆς σωτηρίας μου, ἐπεσκίασας ἐπὶ τὴν κεφαλήν μου ἐν ἡμέρᾳ πολέμου.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 9] Μὴ παραδῷς με, Κύριε, ἀπὸ τῆς ἐπιθυμίας μου ἁμαρτωλῷ· διελογίσαντο κατʼ ἐμοῦ, μὴ ἐγκαταλίπῃς με, μή ποτε ὑψωθῶσι· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 10] Ἡ κεφαλὴ τοῦ κυκλώματος αὐτῶν, κόπος τῶν χειλέων αὐτῶν καλύψει αὐτούς.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 11] Πεσοῦνται ἐπʼ αὐτοὺς ἄνθρακες πυρὸς ἐπὶ τῆς γῆς, καὶ καταβαλεῖς αὐτοὺς ἐν ταλαιπωρίαις, οὐ μὴ ὑποστῶσιν.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 12] Ἀνὴρ γλωσσώδης οὐ κατευθυνθήσεται ἐπὶ τῆς γῆς· ἄνδρα ἄδικον κακὰ θηρεύσει εἰς καταφθοράν.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 13] Ἔγνων ὅτι ποιήσει Κύριος τὴν κρίσιν τοῦ πτωχοῦ, καὶ τὴν δίκην τῶν πενήτων.
[LXX | EL | OT | Psalms | Chapter 139 | Verse 14] Πλὴν δίκαιοι ἐξομολογήσονται τῷ ὀνόματί σου, κατοικήσουσιν εὐθεῖς σὺν τῷ προσώπῳ σου.
